MP,Date,Language,Title,Url,Content
Ska KELLER,2023-05-11,EN,"European Citizens' Initiative ""Stop Finning – Stop the trade"" (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-11-INT-4-022-0000_EN.html,"  Ska Keller (Verts/ALE).   – Mr President, dear colleagues, every year, thousands of tonnes of fin sharks are being exported from or through the EU because, yes, the sharks are being caught as a whole, they are being landed and then their fins are being cut off. The rest of the shark body is being sold off for stuff that not necessarily everyone wants to eat. And the fins are the stuff that makes the profit from being exported to Asia. And also many shark fins are going through the European Union. So we clearly have a problem that is not yet addressed by the existing and very good legislation. We need to act and we need to act soon.
Clearly, selling shark fins is not about stopping anyone from starving. Shark fins are a luxury good and they cause the shark numbers to decline. Already now, 40% of all shark species are threatened. So we need to cut the incentive here. And in the committee hearing with the representatives of the citizens, an overwhelming majority of colleagues across the board was supporting this initiative. Unfortunately, it seems that some colleagues didn’t take the time back then to talk with the citizens that were there. So I urge the Commission, the Commissioner, to come forward with a proposal that honours the more than 1 million citizens’ requests from all Member States.
"
Ska KELLER,2023-05-11,EN,Protecting and restoring marine ecosystems for sustainable and resilient fisheries - Agreement of the IGC on Marine Biodiversity of Areas Beyond National Jurisdiction (High Seas Treaty) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-11-INT-4-045-0000_EN.html,"  Ska Keller,  on behalf of the Verts/ALE Group. – Mr President, dear colleagues, the oceans are important for their biodiversity, for providing the oxygen that we breathe, for the food that we eat, for their role as a carbon sink – on which we depend – and for the mysteries that the deep sea still holds for us. That’s more than enough reason to protect them, because without healthy oceans, we humans cannot exist, and I’m afraid we very often forget that.
The oceans are not just a resource to be plundered, a resource that will be endlessly there for us. That is unfortunately not the case. The oceans are at their limits and if not beyond their limits already. And before we point fingers at other countries far away or whatnot, we need to do our homework here inside the European Union, in the high seas and also in the more coastal waters. Because all of the problems – overfishing, waste dumping, fertilisers and pesticides flowing into the ocean – all of that happens also here in Europe as well as elsewhere. This needs to change.
Protecting the seas starts at home, not with empty promises, but with real action, with more and truly protected areas, better control of fisheries and an end to plastic waste and the reform of agriculture. We know what to do, but we need to do it, and if we don’t have the political will to do it, we will all suffer the consequences.
"
Ska KELLER,2022-10-20,EN,Commission implementing Regulation (EU) 2022/1614 of 15 September 2022 determining the existing deep-sea fishing areas and establishing a list of areas where vulnerable marine ecosystems are known to occur or are likely to occur (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-10-20-INT-4-060-0000_EN.html,"  Ska Keller (Verts/ALE).   – Madam President, the deep sea is still a mystery to us. We know more about the surface of the moon than about the bottom of the ocean. Yet we are already wrecking this unknown and delicate place with waste and with fishing gear. Bottom trawling destroys everything on the sea floor, no matter whether it will be used later or not. And this has to stop. 
Already in 2016, we adopted the Deep-Sea Regulation which called for more protection, and only now the Commission is moving forward to truly preserve vulnerable marine life in the deep sea. This is a move we should welcome and not complain about. The Commission is simply doing its job to protect marine biodiversity and implementing decisions that we have voted for. 
It is high time we prioritised nature protection because the biodiversity crisis will not go away if we write legislation that we don’t put into practice. And we also have to stop thinking about nature protection and fisheries as being on opposite sides. Nature protection benefits fishers in the long run. We need to move away from fishing methods that have been proven to harm the seabed and delicate marine ecosystems. 
It is time we invested our resources into more sustainable fishing methods. That is how we get a resilient fisheries sector and how we make space for the new generations that want to be part of this sector. With the implementing act, only 1.16% of EU waters in the north-east Atlantic will be newly protected. That is very little given how much the oceans do for us. We need more, not less, protected areas because our lives depend on it. 
"
Ska KELLER,2022-09-14,EN,State of the Union (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-09-14-INT-3-015-0000_EN.html,"  Ska Keller,  on behalf of the Verts/ALE Group. – Madam President, dear Commission President and dear Ms Zelenska, it is a big honour to have you here with us today and your presence reminds us that while we talk a lot about the problems that we’re facing in the EU, the real consequences of this war of aggression of Putin are carried by the people in Ukraine. A brutal invasion led against the peaceful people of Ukraine simply because they chose to live in freedom and democracy. Putin cannot live with the fact that people live in liberty with human and civil rights and that nations work together peacefully. Freedom and democracy – principles the EU was founded on – are the biggest threats to him.
All together, we must face this atrocious aggression with determination and with courage, just as Ukraine is showing us. Europe needs to support and continue to support Ukraine in their fight for peace and self-determination and even scale up those efforts. The past days have shown that the Ukrainian people are able to resist the attack. And it is now that Europe needs to stand by their side, by your side.
While Ukraine suffers most from the attack, there are also consequences for the EU. We must be prepared for tough times ahead. To do that, we must show solidarity to the outside but also to the inside by ensuring that the costs and consequences are carried by the stronger shoulders in our society. With skyrocketing energy and food prices, we must act. We know that many citizens in our Union are fearful of what the winter will bring. Fearful of being unable to heat their homes, feed their children, pay their bills. We cannot turn a blind eye to the situation of the most vulnerable people in our Union. Already now, every fifth person in the EU lives in poverty, and the scale of the increase in prices means that many more households will be at risk. It is our duty to ensure that people who are struggling get support and that the greed and profits of a few don’t lead to the misery of many.
So let’s take bold policy steps to make sure that everyone gets through these tough times. And I welcome the Commission President’s proposal to skim off windfall profits from energy companies, something that we as the Greens/EFA Group have been calling for since the beginning of this crisis.
The only true way to end our energy dependency is, on the one hand, to use less energy and, on the other hand, to produce more renewable energy. Sun and wind provide us with much more power than we could ever possibly use. So let’s profit from that. Fossil fuels have been a driver for ecological disaster and for dangerous dependency. Renewables are the true catalyst for peace, security and stability. Now is the time to scale up investments in renewables, to put solar panels on every roof, insulate buildings, and make sure sun and wind carry us into a new era of sustainable and affordable European energy production.
And let’s make no mistake, Commission President and colleagues, the climate crisis is probably the biggest political test for our generation. All over Europe, we experience the devastation the climate crisis is bringing and will bring to our continent and to the world. This summer, massive droughts and heatwaves paved the way for wildfires, killing a substantial amount of our harvest as well, and led to thousands of deaths that came prematurely. The cost of non-action is immense. It is time to act and to quickly build a brighter, cleaner future to capitalise on the enormous potential that the green transition brings in terms of sustainable economic development, well-paying and future-proofed jobs, cleaner air and a better quality of life for our citizens.
Dear colleagues, dear Commission President, Putin’s war against Ukraine is also targeted at our EU values and at democracy. In order to stand strong against opponents and threats, we have to defend those values within the EU and without exception. I am grateful for your strong words on the rule of law, Commission President, however, we have heard very promising words before. What we are lacking is action. Thanks to Parliament, we have instruments at hand, but now they need to be used, including the rule of law conditionality mechanism. Dear Commission President, please respect the conditionality instrument and the political will of this Parliament. No money should be given to the governments of Poland and Hungary unless they clearly return to the path of rule of law.
And I want to tell our dear colleagues from the EPP and especially you, Mr Weber, to be careful with whom we form partnerships. Looking at Italy, you are playing a risky game, with democracy and with our shared values, just for power. A game that could backfire on all of us. A group that claims to be part of the democratic majority should not partner with people who wear Putin-fancier shirts nor parties with fascist logos. Not in Italy, not in Spain, not in Sweden. Not in the EPP. Nowhere and never. And, it is a bit awkward that I say this as a Green, but the centre right has a very important role to play in Europe and part of this, together with all of us, is to ward off the extreme right. If you open the door to them, you are doing a big, big disservice to Europe but I believe also to your own party.
Dear Commission President and dear colleagues, yes, the state of the Union is full of challenges stemming from the war in Ukraine to the rule of law to the climate crisis. We are facing a big test. However, I am convinced that the EU has the strength to face these challenges if we work together. Work together towards new energy independence, a climate-neutral continent and, maybe most importantly, a European Union that deserves and maintains the trust of our European citizens, founded on values, founded on solidarity.
"
Ska KELLER,2022-09-14,EN,State of the Union (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-09-14-INT-3-092-0000_EN.html,"  Ska Keller,  on behalf of the Verts/ALE Group. – Madam President, things are difficult, but what we need now is the message of ‘Yes, we see all the difficulties that everyone is facing. Yes, we are doing whatever we can to make things better. Yes, we will get through this very difficult time together – there is light at the end of the tunnel. And yes, Europe is a vital part of the solution’. 
And for that, we need action now from the Commission, from the Council and from this House. One opportunity lies just ahead of you with the vote on renewables and on energy efficiency, and I hope we will do the right thing. 
"
Ska KELLER,2022-06-22,EN,"Preparation of the European Council meeting of 23-24 June 2022, including the meeting with Western Balkan leaders on 23 June - Candidate status of Ukraine, the Republic of Moldova and Georgia (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2022-06-22-INT-1-092-0000_EN.html,"  Ska Keller,  on behalf of the Verts/ALE Group. – Mr President, I’m happy that the Commission has taken the historical decision to propose the status of an accession candidate for Ukraine and Moldova, as called for by this House, and I hope that the Council will also decide accordingly. 
The war Russia is raging against Ukraine, is also one against European values and is also one against European integration. And as a European family, we need to stand together. 
Ukraine and Moldova have made important steps and reforms, notably against corruption. Not all is well – much remains to be done – but the progress is there and it will be given new impetus also with a candidate status. 
Georgia, too, has European ambition that we want to support. And I would strongly encourage the Georgian Government not to undermine the country’s past progress and to go forward making the necessary reforms. 
Apart from those three countries, we also need to see a clear commitment and perspective for the Western Balkans. These countries have all been waiting for years for any sort of progress in their accession perspective. Many have made enormous reforms – North Macedonia even changed its name – but are still being held in limbo and this must finally come to an end. We need a clear and reliable path to the EU for the Western Balkans for their own sake, but also for the growth and the strength of our Union. 
While the countries joining have to undertake the tough task to implement reforms, it’s not only their job – the EU needs to grow with this challenge and do everything in its power to unite the Union’s family and to stand up for our values. Let us not let this opportunity slip away. 
And what Ukraine has reminded us is how much drive and how much passion is behind the way towards European membership, how much energy this perspective for the future involves, how much it lifts people’s spirits. 
Too often we who have managed to join this Union forget about this kind of passion, forget about this power of hope that it holds. Let us use this moment as an opportunity to bring new life into the accession process. There is much at stake, but there is also so much to win.
"
Ska KELLER,2022-04-06,EN,Conclusions of the European Council meeting of 24-25 March 2022: including the latest developments of the war against Ukraine and the EU sanctions against Russia and their implementation (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-04-06-INT-3-017-0000_EN.html,"  Ska Keller,  on behalf of the Verts/ALE Group. – Madam President, we are all shocked by the atrocities that Russia is committing in Ukraine. The images, the testimonies of the survivors, they are unbearable. But we must not remain paralysed. There can be no questions. These more crimes cannot remain without reaction. We must take action and respond with further sanctions against Vladimir Putin’s criminal regime. Europe’s answer must be decisive and united. We need to continue to support Ukraine in its efforts to defend its freedom, including comprehensive and immediate financial assistance. And we must ensure that those who are responsible for those atrocious acts will be prosecuted and held accountable in front of the International Criminal Court. Injustice cannot and must not prevail. 
Dear colleagues, the war in Ukraine revealed Europe’s strategic mistakes in the past. Even after the atrocities done in Grozny and in Syria, very similar to what we see today in Bucha, even after Putin invaded Crimea and Eastern Ukraine, some governments continued to hope for good business with Russia and made us more and more dependent on goods from Russia, on energy and on other items. And this has led us today to a situation where we are struggling to free ourselves from the short—sighted dependence on fossil fuels and uranium. 
Many mistakes were made, and now we need to make things right. We need to invest heavily in renewables and transition faster than we ever thought. This is, and will be, an enormous effort, and it won’t happen overnight. But we need to redefine what it means to act as fast as possible. We need to move to light speed. We need to save energy. Therein lies the huge potential that remains untapped so far. And this is true for individuals, sure, but also and even more so for industries and for policies –and the European Parliament must join efforts here as well. 
We also need to recognise that while the effects of the war will hit all of us, they hit us very differently. The biggest cost is obviously carried by the people who have lived and who still live in Ukraine. Those who died, whose close ones were killed, those who were injured and are being injured at the moment, those who fled and those who are fleeing the carnage, losing their home, their life plans, and often leaving family and friends behind. There is so much sorrow and so much despair in this suffering. 
When we are debating here the consequences of sanctions that we are rightfully taking, we need to keep in mind that us here in the Chamber are not the ones who will be most hit by them. Rising energy costs are a nuisance to some and an existential threat to others. We need to support those most in need – the families with small or no income. The European Council hasn’t been very conclusive on the issues of how to support those most in need in the EU and worldwide, looking at the hunger issues, and how to further support Ukraine. 
Of course, many of the instruments needed are indeed national ones, but it is clear that we need solidarity among Member States to deal with this crisis – solidarity in sharing energy and infrastructure, solidarity to enable measures, solidarity with everyone fleeing Ukraine, and solidarity with the sovereign nation of Ukraine. Putin wants to divide us and he has failed miserably. Our unity is our strength, and we need more of it – of unity, but also of courage. 
"
Ska KELLER,2022-03-23,EN,Debriefing of the European Council meeting in Paris on 10 March 2022 - Preparation of the European Council meeting 24-25 March 2022 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-03-23-INT-1-050-0000_EN.html,"  Ska Keller,  on behalf of the Verts/ALE Group. – Madam President, Putin has brought back the horrors of war to Europe, and a cruel reminder of those horrors of the past and present is the violent death of World War Two Nazi concentration camp survivor, Boris Romanchenko, who was killed last week in the shelling of his apartment in Kharkiv. Our condolences go out to his family and friends, and to all Ukrainians who have lost loved ones in this senseless war. 
Millions of people have had to flee from Ukraine. Women, who still a month ago were building their careers, are now homeless. Children who were surrounded by their friends at their last birthday party now hold onto their pets as their only friends left. Students who are studying for their final exams are now stranded and old couples who maybe used to sit in street cafes, watching passers-by, now sit for days in overcrowded trains, hoping to arrive somewhere safe, and yet they have nowhere to go.
In this war, as in so many others, lives have been disrupted from one day to the next and people have been left shattered and scattered. The suffering of those refugees is immense, but there is also immense solidarity among Europeans who give donations, hand out food and even open their homes for those people in need. I want to thank those volunteers wholeheartedly. You are showing what Europe is about. You are showing what humanity is about. 
Member States have eased access at the borders and are setting up housing capacities. This solidarity is important and it is outstanding, but we need to speed up and we need to redouble those efforts. We need to redouble them and we need to protect people without discrimination. 
As always, it’s the countries that are in close geographic proximity that take the biggest inflows, but we all need to share together as Europeans, as European Member States, we need to share this effort of housing refugees among Member States, of registration and supporting those in need. We cannot expect a few countries alone to shoulder this immense task. All Member States have to do their share and they have to do it in the long run. 
Unfortunately, many more people will probably have to leave their home or their temporary shelter in western Ukraine. The least we can do is to offer them a safe shelter, and that safe shelter needs to be organised now. 
Let us not wait until we are sitting in a situation where we don’t know what to do next. Let us prepare. We know what to do. We know that we need to be prepared. So everyone, every single Member State, needs to make the efforts to make sure that those people who are traumatised by the war will finally find a place to rest and to live in safety.
"
Ska KELLER,2022-03-09,EN,"Debate with the Prime Minister of Estonia, Kaja Kallas - The EU's role in a changing world and the security situation of Europe following the Russian aggression and invasion of Ukraine (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2022-03-09-INT-3-081-0000_EN.html,"  Ska Keller,  on behalf of the Verts/ALE Group. – Madam President, the war Putin is waging is targeted against Ukraine, shelling civilian areas and attacking refugees, but his war is also meant against Europe as a whole.
Putin intends to destroy the post—Cold War European security architecture. Putin is waging a war against democracy, rule of law and freedoms, which are universal values. As the European Union, as the Union built for peace, we must act for the European security.
At European level, we need to make sure that the Member States’ defence is functioning, that investments are compatible with one another, that pooling and sharing finally gets implemented, and that we have common standards so equipment cannot be used by one State alone.
But colleagues, if we are exclusively thinking about the army when saying defence and security, then we don’t see the whole picture. Security means much more. It means energy security and energy independence. We need to get rid of the dependence on Russia’s fossil fuels and raw materials – be it gas, oil, coal or uranium. We have plenty of sun and wind to use on our own. We have the technology at hand. We need to reduce our consumption and speed up Fit for 55, investing massively in renewables, in energy efficiency and in energy saving.
Security also means civil protection. In the last years and decades, much of the protective infrastructure in Europe has been neglected. Floods and wildfires in recent years have already shown us the lack of preparedness. The EU and its Member States need to urgently work on how to effectively protect citizens.
Security also means making sure that Europe’s critical infrastructure is well—functioning, well—stocked and in public hands. The same goes for cybersecurity and our digital infrastructure and data. We need to talk about resilient societies, about communities that help each other and are educated to withstand misinformation campaigns and to spot fake news.
Security for Europe means solidarity among Member States, about sharing the efforts, for example, for welcoming the many people fleeing Ukraine. They need to be housed, they need medical care, the children need to go to school, and that will need a shared effort by all Member States and not just a few. We have seen it in the last two weeks. When we act together, we are strong. This is the lesson that we have to carry forward.
"
Ska KELLER,2022-03-08,EN,International Women’s Day – Address by Oksana Zabuzhko,https://www.europarl.europa.eu/doceo/document/CRE-9-2022-03-08-INT-2-103-0000_EN.html,"  Ska Keller,  on behalf of the Verts/ALE Group. – Madam President, we have made advances for gender equality, but the pure fact that I stand here today, as a female politician and the President of my Group, and the fact that we have a female President of the Parliament, is unfortunately nothing to be taken for granted. It is the result of the incredible work of the many women before us who fought for equal rights and for gender equality. With that in mind, today becomes more than a celebration of women’s rights. It becomes a reminder of the hard work that we need to put in for women’s rights, a reminder of how much equality we’re still missing. 
In times of war, women are one of the most vulnerable groups, threatened by gender—based violence, fleeing conflict zones under horrible conditions and at high risk of human trafficking, while often being excluded from the formal negotiations to end the conflicts that they are suffering from. The idea of feminism is about creating a fair world, a world in which we can live freely, equally and in peace. 
In the last two weeks, we have seen these ideals demonstrated by the brave women of Ukraine doing everything in their power to keep their families and their communities safe. I also want to stress that we see all the efforts of women in Russia and in Belarus protesting to show they disagree with this horrific war of Putin’s, who is waging it against Ukraine, all the while not forgetting the efforts and the suffering of women in Syria, Afghanistan, Yemen and so many other conflicts in the world. 
These women show us what courage and resilience look like, and this is the courage that we lose when women are not involved in the decision—making processes. Experience shows that, when women are part of the decision—making and peace-making efforts, the resulting peace is longer lasting and more broadly carried by society because diverse perspectives and additional knowledge are included. 
It is our joint responsibility to make sure that women around the world receive equal opportunities to get their feet in the door and take their rightful place at the table. Feminism is the key to a more equal and more peaceful world, not just for women, but for all of us and for the generations to come. 
"
