MP,Date,Language,Title,Url,Content
Stéphane BIJOUX,2023-12-14,FR,"Outcome of the UN Climate Change Conference 2023 in Dubai, United Arab Emirates (COP28) (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-14-INT-4-044-0000_FR.html,"  Stéphane Bijoux (Renew).   – Monsieur le Président, Madame la Commissaire, le sens des responsabilités, la solidarité: à Dubaï, nous avons eu beaucoup de mal à imposer ces deux éléments fondamentaux pour gagner notre bataille pour le climat.
Pourtant, absolument partout, absolument tout le monde sait aujourd'hui que le rouleau compresseur du dérèglement climatique nous impose de changer immédiatement nos modes de vie. Catastrophe après catastrophe, le signal d'alarme dévastateur exige beaucoup plus que des mots, beaucoup plus qu'une déclaration d'intention.
La COP 28 fixe un nouveau cap et c'est bien. Mais pour des millions d'Européens dans les territoires d'outre-mer, comme pour nos voisins des petits États insulaires, nous sommes en première ligne et notre urgence est de renforcer la coopération internationale pour sauver l'océan, pour préserver la biodiversité et pour gagner la bataille de l'eau. Pour nous, pour nos enfants, pour aujourd'hui et pour demain, nous avons impérativement besoin de nouveaux financements pour construire des solutions. Nous n'avons pas de deuxième planète, nous n'aurons pas de deuxième chance.
"
Stéphane BIJOUX,2023-10-17,FR,Water scarcity and structural investments in access to water in the EU (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-17-INT-2-319-0000_FR.html,"  Stéphane Bijoux,  au nom du groupe Renew. – Monsieur le Président, Monsieur le Commissaire, Monsieur le Secrétaire général, chers collègues, bien évidemment les humains ne peuvent pas vivre sans eau. Pour mille raisons – biologiques, sanitaires, économiques, humanitaires – nous avons impérativement besoin d’eau.
Cette crise de l’eau frappe le monde et est devenue une urgence. C’est même une urgence vitale pour les Européens à Mayotte. En ce moment même, près de 300 000 personnes, 300 000 Européens n’ont plus d’eau. Des hommes, des femmes, des milliers d’enfants sont dans une grande souffrance. Bien évidemment, le gouvernement français intervient et organise la solidarité nationale.
On peut certes polémiquer, on peut tomber dans la facilité de la polémique populiste, mais les Mahorais attendent surtout des solutions durables. Comme chacun de nous, ils savent que le monde entier va être frappé par cette crise de l’eau. Et à cet égard, Mayotte envoie en quelque sorte un signal d’alarme mondial.
Nous devons nous organiser, nous devons accompagner et favoriser le changement de nos modes de vie, comme nous devons – surtout – investir dans des infrastructures et dans des technologies innovantes. Ce combat pour l’eau doit devenir un grand combat européen. C’est un devoir de solidarité. C’est surtout un impératif d’avenir. 
"
Stéphane BIJOUX,2023-09-12,FR,New Agenda for Latin America and the Caribbean in the aftermath of the EU-CELAC Summit (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-366-0000_FR.html,"  Stéphane Bijoux (Renew).   – Madame la Présidente, Monsieur le Haut Représentant, nous sommes nombreux à alerter régulièrement sur le rouleau compresseur chinois qui dévaste nos relations avec le reste du monde, et notamment avec l’Amérique latine et les Caraïbes. Face à cette offensive chinoise, notre responsabilité collective est de riposter.
Beaucoup d’argent a été engagé. Que ferons-nous de cet argent? Une fois encore, je veux plaider pour l’intelligence de la coopération régionale. Dans cette région, nous avons plusieurs territoires européens, français, qui peuvent être des points d’ancrage et, en même temps, des points de projection pour construire cette relation gagnant-gagnant dont nous avons besoin. 
Monsieur le Haut Représentant, je veux une nouvelle fois attirer votre attention sur ces territoires européens de la Caraïbe sur lesquels nous devons miser, et redire que jouer la carte de la coopération régionale, c’est aussi nous donner, en Européens, la capacité à être beaucoup plus efficace.
"
Stéphane BIJOUX,2023-06-15,FR,The water crisis in Europe (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-15-INT-4-030-0000_FR.html,"  Stéphane Bijoux (Renew).   – Madame la Présidente, Madame la Commissaire, l’immense danger qui nous menace nous interdit d’être naïfs. Il faut bien comprendre que, quand Vladimir Poutine fait exploser un barrage hydraulique en Ukraine, c’est bien l’eau qu’il utilise comme une arme de guerre. Parce que Poutine, comme chacun de nous, sait très bien qu’on ne peut pas vivre sans eau. D’ailleurs, l’ONU lance l’alerte sur le fait que, d’ici quelques années, un humain sur deux va manquer d’eau. 
Comment pouvons-nous éviter la catastrophe? Notre responsabilité collective est engagée. Il faut d’abord faire évoluer nos modes de vie. La sobriété n’est plus une option, elle est aujourd’hui indispensable. Les petits gestes comme les grandes solutions sont importants, et l’Europe doit impérativement miser et investir sur la recherche et sur l’innovation, sur le traitement des eaux usées, sur la lutte contre le gaspillage. Chaque effort individuel doit être encouragé, et chaque initiative collective doit être consolidée.
Une fois encore, il faut construire le bon équilibre entre tous les usagers de l’eau. Chacun doit faire preuve de responsabilité, mais aussi de solidarité. 
"
Stéphane BIJOUX,2023-06-14,FR,Implementation and delivery of the Sustainable Development Goals (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-14-INT-3-336-0000_FR.html,"  Stéphane Bijoux (Renew).   – Madame la Présidente, Monsieur le Commissaire, les sept dernières années ont été les plus chaudes jamais enregistrées sur la planète, et cette urgence climatique réduit fortement notre capacité à réaliser les objectifs de développement durable, d’autant plus que le rouleau compresseur climatique déferle absolument partout.
Il faut agir beaucoup plus vite; il faut surtout agir différemment. C’est d’ailleurs l’esprit du grand sommet international organisé à Paris dans quelques jours, à l’initiative du président Emmanuel Macron et de l’État caribéen de la Barbade. 
L’objectif de ce nouveau pacte financier mondial est de trouver de nouveaux fonds pour aider les pays en développement à réaliser ces objectifs de développement durable. Dans ce combat commun pour la planète, nous devons justement mettre en commun ce que nous avons de meilleur: l’innovation, le partage de solutions et la coopération. Cette intelligence collective est un impératif et nous en avons absolument besoin.
"
Stéphane BIJOUX,2023-06-13,FR,Ensuring food security and the long-term resilience of EU agriculture (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-13-INT-2-431-0000_FR.html,"  Stéphane Bijoux,  rapporteur pour avis de la commission du développement. – Monsieur le Président, Monsieur le Commissaire, d’ici la fin de mon intervention, une personne sera morte de faim, quelque part en Afrique de l’Est – un homme, une femme ou un enfant. C’est un drame absolu. C’est une urgence qui nous oblige collectivement à agir.
Partout dans le monde l’insécurité alimentaire est aggravée par la crise climatique. Elle provoque également des conflits terribles, et, en réalité, personne n’est à l’abri. Nous avons cette responsabilité collective de travailler ensemble et de travailler vite. Face aux chocs climatiques et aux crises alimentaires, l’Europe doit être un partenaire fort de la construction de solutions locales, qui sont souvent aussi d’excellentes solutions globales. C’est un impératif pour gagner notre combat commun contre la faim. C’est aussi un véritable défi pour l’humanité et pour notre destin commun.
"
Stéphane BIJOUX,2023-06-12,FR,Assessment of the new Commission communication on outermost regions (short presentation),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-12-INT-1-190-0000_FR.html,"  Stéphane Bijoux (Renew).   – Madame la Présidente, Madame la Vice-Présidente, quelques mots d’abord pour remercier et féliciter le collègue Amaro et pour vous dire également que le rapport que nous allons voter demain réaffirme l’importance d’un engagement fort de l’Europe pour nos régions d’outre-mer. 
Chez moi, à l’île de la Réunion, qui est un territoire européen de l’océan Indien, nos éleveurs, nos agriculteurs, nos pêcheurs, nos petites entreprises, nos jeunes savent que l’Europe est un partenaire fondamental de notre développement. Mais chacun sait aussi que l’efficacité de l’action publique passe par le respect de nos spécificités. Cette adaptation est importante dans tous les combats communs que nous avons à mener. Pour l’emploi, pour le climat, il faut miser sur l’innovation, sur l’audace. Comme il existe une Europe des solutions, il existe aussi des outre-mer des solutions, et l’Europe doit miser sur nous. C’est aujourd’hui non seulement une exigence, mais aussi une urgence.
"
Stéphane BIJOUX,2023-04-20,FR,Cohesion dimension of EU state aid and de minimis rules (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-20-INT-4-084-0000_FR.html,"  Stéphane Bijoux (Renew).   – Madame la Présidente, Monsieur le Commissaire, aujourd’hui plus que jamais il faut impérativement simplifier les procédures européennes. Pour illustrer cette urgence, je vais une fois encore vous parler des hommes et des femmes d’outre-mer, de nos pêcheurs, qui mettent leur vie en danger à chaque fois qu’ils sortent sur des bateaux beaucoup trop vieux, de nos chefs d’entreprises, qui continuent à créer des emplois alors qu’ils croulent sous les factures, de nos agriculteurs, de nos éleveurs, qui travaillent dur face aux contraintes climatiques tropicales. Chez nous, tout le monde travaille dans des conditions extrêmement difficiles, et c’est pourquoi il faut leur simplifier l’accès aux fonds européens et aux aides d’État. 
Je vais être clair: l’objectif n’est pas de se soustraire à la règle. Au contraire, l’objectif, c’est d’adapter la règle pour une plus grande efficacité de l’action publique. C’est le sens de ce réflexe outre-mer que je porte ici, pour une Europe plus solidaire, plus efficace et qui prend en compte la réalité de nos spécificités locales.
"
Stéphane BIJOUX,2023-04-19,FR,EU Global Health Strategy (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-19-INT-3-319-0000_FR.html,"  Stéphane Bijoux (Renew).   – Madame la Présidente, Madame la Commissaire, de toute évidence aucune frontière ne peut stopper une pandémie. De la même façon, aucun mur ne peut arrêter une catastrophe naturelle. La menace est mondiale, il faut donc des solutions globales. 
La santé humaine est directement connectée à la santé environnementale, et c’est bien là que l’Europe a un rôle à jouer avec l’aide au développement. Il faut renforcer nos coopérations: coopération pour les infrastructures de santé, coopération pour la recherche médicale, coopération pour le partage de solutions. 
De toute évidence, si la planète est malade, nous serons tous malades. Il faut donc travailler ensemble, travailler plus, travailler mieux. Nous sommes déjà très en retard.
"
Stéphane BIJOUX,2023-03-16,FR,Advancing the 2022 Bridgetown Agenda (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-16-INT-4-084-0000_FR.html,"  Stéphane Bijoux,  au nom du groupe Renew. – Monsieur le Président, Madame la Commissaire, dans l’hémisphère sud, plus de 3 milliards d’humains vivent sous la menace permanente du dérèglement climatique. En ce moment même, en Afrique de l’Est, le terrible cyclone tropical Freddy fait des ravages et le bilan est déjà à plus de 200 morts pour les petits États insulaires en développement.
La question de la résilience, de la résistance au dérèglement climatique est non seulement une question de survie, mais c’est aussi une question d’argent. Et il faut en parler parce que cela coûte cher de reconstruire, de s’adapter, d’innover. Et ces pays en première ligne ont besoin de plus de financements avec des procédures plus simples et surtout plus rapides. L’agenda de Bridgetown porte des propositions fortes pour débloquer l’accès à des milliards d’euros d’investissements indispensables pour construire cette résilience climatique.
Mais pour réussir, nous devons mettre tout le monde autour de la table: les pays développés, les pays en développement, les institutions financières, le secteur privé également. Cette démarche inclusive est impérative pour arriver à des résultats concrets.
Vous l’avez dit, en juin prochain, la France organisera un sommet crucial pour un nouveau pacte financier mondial. Nous aurons alors l’obligation, l’obligation d’avancer tous ensemble, de partager des solutions, de soutenir des initiatives locales au plus près du terrain pour lutter contre cette spirale infernale du dérèglement climatique. L’heure est à la coopération, à la solidarité, à l’efficacité. Nous devons agir. Agir vite. Nous n’avons plus le temps. 
"
