MP,Date,Language,Title,Url,Content
Stéphane SÉJOURNÉ,2023-12-13,FR,Review of the Spanish Presidency of the Council (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-13-INT-3-067-0000_FR.html,"  Stéphane Séjourné,  au nom du groupe Renew. – Madame la Présidente, Monsieur le Président du gouvernement, chers collègues, une présidence du Conseil en fin de mandature est toujours un défi. Les attentes sont immenses, et à raison. Cela demande du sérieux et de la constance. Alors, mon groupe – et je suis obligé de commencer par—là – aurait préféré que ce début de présidence ne soit pas pollué par l’arrivée sur la scène européenne des questions nationales. Cette assemblée se transforme régulièrement en hémicycle au sein duquel des premiers ministres sont amenés à intervenir. Ce n’est pas une nouvelle, c’est une habitude, maintenant.
Néanmoins, vous connaissez l’attachement de mon groupe aux fondements de l’état de droit, notamment à l’indépendance de la justice. Et je le dis ici: aucune loi nationale ne saurait y déroger, et mon groupe sera, pour le coup, sur ce sujet-là, attentif aux préconisations de la Commission européenne.
Toutefois, la détermination de la présidence espagnole est à saluer. Nous avons voulu et nous voulons des résultats pour nos concitoyens, et vous aussi! Nos collègues qui, des heures durant, ont été enfermés dans une salle lors des négociations sur l’intelligence artificielle peuvent en témoigner: nous sommes le premier continent à écrire les règles du jeu. La réforme du marché de l’électricité était une absolue nécessité pour répondre à l’inflation des prix de l’énergie. Elle avance, et je crois même que ce soir nous pourrions avoir des avancées substantielles à faire connaître. Il est essentiel d’obtenir un accord sur le sujet qui soit acceptable pour tous. Vous avez évoqué un certain nombre de points de l’accord sur les matières premières auquel nous sommes parvenus, accord clé dans la sécurisation de l’approvisionnement de notre économie. Vous avez aussi maintenu le cap fixé par ce Parlement sur la transition écologique, avec des accords concernant la finalisation du pacte vert, la restauration de la nature, l’interdiction de certaines émissions dangereuses pour notre santé, et, tout récemment, la conception écologique des produits.
Mon groupe demande toutefois, Monsieur Sánchez, que vous redoubliez d’efforts pour conclure deux négociations très importantes. D’abord, le pacte européen sur l’immigration et l’asile, qu’a évoqué la présidente de la Commission, et le pacte de stabilité et de croissance. Nous, responsables politiques européens des années 2020, ne pouvons pas répéter les incuries des années 2010 sur ces deux sujets, car elles nous seraient reprochées. Nous pouvons démontrer que l’Europe peut être unie et efficace sur ces questions. C’est aujourd’hui sur ces deux dossiers que se joue l’image de l’Europe, et du même coup l’héritage de votre présidence.
Nous avons encore du travail, cette mandature n’est pas encore achevée. L’ensemble des dossiers européens doit encore être conclu pour pouvoir dresser notre bilan. La présidence du Conseil laissera également son héritage sur ces deux dossiers, dont j’espère qu’ils pourront être conclus rapidement.
"
Stéphane SÉJOURNÉ,2023-11-22,FR,"This is Europe - Debate with the Prime Minister of Bulgaria, Nikolay Denkov (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-22-INT-3-075-0000_FR.html,"  Stéphane Séjourné,  au nom du groupe Renew. – Madame la Présidente, Monsieur le Premier ministre, chers collègues. Merci, Monsieur le Premier ministre, de ce discours très pro-européen. Votre gouvernement, dans la continuité du précédent, a fait d’ailleurs souffler un vent nouveau sur la Bulgarie et notamment sur les aspects européens. C’est l’objet de mon intervention aujourd’hui. Ce vent, il est européen, comme je le disais, il est progressiste. Il est surtout bienvenu et c’est cette nouvelle énergie qui fait de la Bulgarie un solide allié européen, notamment dans le soutien concret à l’Ukraine face à l’agresseur russe. Ma famille politique européenne soutient en tout cas cette orientation politique et ce changement.
J’en profite notamment pour saluer l’esprit de responsabilité de votre parti, qui a également conduit à former une coalition malgré les différences, on l’a vu à l’instant, dans l’intérêt du pays, dans l’intérêt surtout de l’Europe. Il y a souvent eu, dans ces institutions, une forme de fatalisme quant à certaines difficultés de la Bulgarie au sein du Bloc en matière de lutte contre la corruption, en matière de lutte contre le réchauffement climatique ou d’unité du continent du point de vue international. Mais, il faut le dire, les réformes de votre gouvernement, de votre prédécesseur, ont estompé beaucoup de critiques.
Aujourd’hui nous travaillons en commun, avec une vision commune, une vision européenne, celle de l’Europe verte, celle d’une Europe innovante, celle d’une Europe solidaire de l’Ukraine, celle d’une Europe souveraine, celle d’une Europe fondée sur l’état de droit. Et dans cette Europe de demain, la Bulgarie a sa place. Une place prépondérante, notamment dans la perspective de l’élargissement aux Balkans occidentaux.
Vous savez que dans mon groupe, nous avons des députés qui sont très investis sur le sujet, mais nous avons aussi avec nous des responsables européens qui doivent jouer leur rôle. Et il est temps enfin, que la Bulgarie, avec son voisin roumain, entre dans l’espace Schengen. Nous ne pouvons pas décevoir les espoirs des Bulgares et j’en appelle également à mes collègues du PPE.
Monsieur le député, vous le savez, pour ce qui est de Renew, nous avons fait notre part du chemin. Nous avons convaincu nos alliés de prendre cette décision de soutenir les Bulgares dans l’espace Schengen et il faudrait que le PPE puisse convaincre ses alliés également, et notamment je pense aux Autrichiens qui aujourd’hui mènent toujours cette opposition de principe. Monsieur le Premier ministre, avec Renew Europe, vous avez toujours ce chemin, vous aurez toujours un allié et nous vous soutiendrons dans ces efforts.
"
Stéphane SÉJOURNÉ,2023-11-08,FR,Urgent need for immediate measures against the rise of antisemitism (statement by the President),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-08-INT-1-063-0000_FR.html,"  Stéphane Séjourné,  au nom du groupe Renew. – Madame la Présidente, Madame la Présidente de la Commission, Monsieur le Président du Conseil, chers collègues, plus jamais ça. C’est l’une des promesses que nous nous sommes faites ensemble à la sortie de la Seconde Guerre mondiale. C’est d’ailleurs l’une des raisons d’être de l’Europe unie. Plus jamais ça: des enfants, des femmes et des hommes assassinés parce que juifs. Plus jamais ça: des insultes, les agressions, le harcèlement, les tags, les saccages. Plus jamais ça: la peur d’être pris pour cible en raison de sa religion, de son origine. Et pourtant, malgré cette promesse, nos concitoyens européens ont peur à nouveau. Peur, parce que juifs. Peur, parce que les préjugés et la haine ont trouvé une excuse pour se libérer.
Ma conviction, mes chers collègues, c’est que ceux qui voient dans la lutte contre l’antisémitisme autre chose qu’une obligation morale et humaniste font partie du problème. Quel que soit l’état du monde et de nos autres combats légitimes, aucun être humain en Europe ne peut être menacé en raison de sa foi, de son origine, de son genre, de ses choix.
Combattre la haine sous toutes les formes est le premier devoir des élus européens, la première obligation des parlementaires européens. Notre histoire et ce Parlement nous y obligent. Dans ce moment si terrible, je sais que beaucoup de nos concitoyens se sentent seuls. Et je tiens, au nom de mon groupe politique Renew Europe et également au nom de ce Parlement, leur dire: non, ils ne sont pas seuls. L’Europe fera tout pour assurer votre sécurité. L’Europe fera tout pour punir les auteurs de ces crimes et de la haine. L’Europe fera tout pour éduquer, pour transmettre ces valeurs, contre les falsificateurs de l’histoire, contre les extrêmes, contre les partis qui fricotent encore, chers collègues, avec les antisémites et les négationnistes, contre ceux qui confondent la résistance et les résistants avec le terrorisme et les terroristes.
Nous serons là et je pense que ce Parlement européen sera toujours là. Ce Parlement fut présidé par Simone Veil: une femme, juive, française, européenne et rescapée de la Shoah. Ce Parlement a toujours été à vos côtés. L’Union européenne continuera sa mission historique de vaincre l’antisémitisme et les ferments de cette division. Cet inlassable combat pour nos valeurs et pour nos valeurs européennes, pour notre mission commune, c’est également une obligation individuelle.
"
Stéphane SÉJOURNÉ,2023-10-18,FR,"The despicable terrorist attacks by Hamas against Israel, Israel’s right to defend itself in line with humanitarian and international law and the humanitarian situation in Gaza (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-012-0000_FR.html,"  Stéphane Séjourné,  au nom du groupe Renew. – Madame la Présidente, chers collègues, les souffrances du monde ont une nouvelle fois bousculé notre continent. La barbarie absolue des atrocités du Hamas envers des civils israéliens ébranle chacune et chacun d’entre nous. Le terrorisme a encore frappé, et nous sommes aux côtés du peuple israélien, comme le peuple israélien a pu être à nos côtés face au terrorisme.
Je tiens à redire avec la plus grande fermeté au nom de mon groupe: aucun doute, aucun doute n’est possible quant à la qualification des crimes de «terroristes» et du Hamas d’«organisation terroriste». À l’heure où des foyers juifs sont vandalisés, nos concitoyens juifs européens sont menacés dans nos rues. C’est une obligation morale. Et si notre continent venait à connaître des drames antisémites, ceux et celles qui nourrissent aujourd’hui cette ambiguïté auraient une part de responsabilité.
Le risque est en effet immense – vous l’avez dit, chacune et chacun – d’importer ce conflit dans nos sociétés. La tentation est là, chez les extrêmes. Notre responsabilité en tant qu’Européens est donc d’avoir une parole claire, fidèle à nos valeurs, fidèle à nos devoirs, humanitaires notamment. La résolution que nous allons voter doit être à la hauteur de cet enjeu, et je crois que nous pouvons être d’accord sur les points suivants, qui, s’ils sont adoptés par l’ensemble des parlementaires européens, doivent être la base intangible de l’action de l’Union européenne.
Premièrement: la condamnation sans appel du terrorisme, l’urgence à libérer les otages – et je tiens, comme ma collègue Iratxe García Pérez, à saluer les familles aussi des victimes et des otages qui sont présents aujourd’hui à Strasbourg.
Deuxièmement, la réaffirmation du droit d’Israël à assurer sa sécurité, dans le respect du droit international et du droit humanitaire. C’est le titre de ce débat, qui a été, notamment, validé en conférence des présidents avec l’ensemble des groupes politiques.
Troisièmement, la nécessité d’assurer la protection des populations civiles palestiniennes de la bande de Gaza. Nous sommes horrifiés par les images du bombardement de l’hôpital de Gaza. Une vie ne vaut pas plus qu’une autre. Sur ce troisième point, nous saluons également les efforts diplomatiques pour la création d’un corridor humanitaire et le triplement des aides financières aux réfugiés.
Enfin, quatrième point: l’Europe soutient toute initiative qui, à terme, finira par une solution à deux États, sur la base des lignes de 1967, avec deux États souverains démocratiques vivant en paix. Cela doit être notre objectif politique.
Autour de ce consensus doit se dessiner l’action européenne. Qu’importe l’émetteur – président du Conseil, présidente de la Commission européenne, haut représentant, votre parole engage l’Europe. Cette résolution et les réunions à 27 qui ont eu lieu hier soir fixent votre cap.
Mais je tenais à le dire également ici, devant l’ensemble de mes collègues: les cafouillages hasardeux de ces dernières semaines doivent cesser. Les Israéliens et les Palestiniens ont besoin d’une Europe fiable, claire, unie, qui réunit par ailleurs l’ensemble des Européens sur un positionnement clair. Nous avons réussi pour l’Ukraine, nous devons réussir pour toutes les crises internationales qui nous concernent. Et ce Parlement, j’espère, montrera, par sa résolution, son niveau d’exigence comme Europe «puissance».
Je le dis car l’Europe géopolitique n’est pas un terrain de jeu. Elle n’est pas un terrain de jeu partisan et ne doit pas l’être. Elle est la condition de la protection de nos populations et de nos valeurs, et si nous voulons être une actrice productive et constructive dans cette crise, il ne tient qu’à nous d’être à la hauteur.
"
Stéphane SÉJOURNÉ,2023-10-18,FR,A true geopolitical Europe now (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-166-0000_FR.html,"  Stéphane Séjourné,  auteur. – Madame la Présidente, chers collègues, Monsieur le Haut Représentant, Renew propose d’engager ce débat car les dernières semaines ont montré l’urgence, pour l’Europe, de se ressaisir sur le plan géopolitique. Nos concitoyens sont inquiets: ils demandent une Europe qui parle fort, clairement et à l’unisson, une Europe-puissance.
Monsieur le Haut Représentant, mon groupe considère que ce que nous avons acquis comme capital politique, à l’intérieur comme à l’extérieur de notre Union, avec le soutien de l’Ukraine, nous pourrions le perdre par le fait d’une succession de cafouillages. «L’Europe qui protège» n’est maintenant plus un slogan depuis 2019, c’est une réalité: au niveau de l’Ukraine, des vaccins, ou de la protection de nos intérêts commerciaux et industriels. Il est temps que nous revenions à cette volonté, laquelle doit se décliner pour nous sur plusieurs plans. La puissance, c’est à la fois une méthode, des outils et des compétences.
Je commencerai par la méthode. L’Europe doit avoir une méthode: la méthode de la puissance. Et la cacophonie sur l’aide au peuple palestinien, l’échec de l’accord avec la Tunisie, notre apathie sur le Kosovo, ce n’est pas une question de traités, ce n’est pas une question législative, c’est une absence de coordination, une absence de travail communautaire. Il nous faut suivre un objectif, un continent, une voix. C’est un objectif, en soi, que nous avions également porté lors des débats de l’installation de la Commission: une commission géopolitique. Notre groupe ne demande pas qu’une seule personne soit responsable de la politique étrangère, il demande que nous ayons des intérêts collectifs, portés par une voix, par un message. De mémoire, sur l’Ukraine, nous avions réussi à avoir plusieurs messagers, mais un seul message. L’Europe n’a pas besoin d’un seul numéro de téléphone, comme certains le disent, mais elle a besoin que ses dirigeants s’appellent et – d’abord, peut-être – se coordonnent entre eux. Mon groupe a toujours eu un regard critique sur l’intergouvernementalisme. À nos institutions communautaires, aussi, de prouver qu’elles sont aussi efficaces, voire plus efficaces, que les États membres, qu’elles viennent compléter. Quand on déroge à cette méthode, il faut des rappels à l’ordre. Et M. Várhelyi aurait dû être – je pense – désavoué par la Commission. Mon groupe avait déjà demandé, à plusieurs reprises, qu’il y ait un rappel à l’ordre. C’est aussi cela la méthode qui doit avoir cours au sein de la Commission.
Deuxièmement, l’Europe doit disposer d’un outil: la puissance. Les politiques publiques sur la sécurité ou sur les affaires extérieures tardent souvent à s’unifier. Nous avons fait un pas de géant avec l’achat de la production commune d’armes et la mobilisation de la facilité européenne pour la paix. Toutefois, nous multiplions les projets sans véritable unité, en matière de défense. Je répertorie notamment quatre projets de chars et trois projets de bouclier antimissiles. Il faut de nouvelles capacités budgétaires pour renforcer notre autonomie stratégique. Cela peut se faire également – c’est notre avis – à traités constants.
Toutefois – et vous le savez –, nous avons aussi des problèmes structurels, et ce serait mon dernier point: l’Europe doit avoir des compétences en matière de puissance. Nos traités ne sont pas forcément équipés pour la prise de décision rapide – on le rappelle assez souvent dans cet hémicycle. La liste des sanctions contre le régime de Poutine et l’aide à ces populations dépendent encore du veto d’un certain nombre d’États. Certains, d’ailleurs, jouent le cheval de Troie pour d’autres puissances, comme c’est le cas à Budapest. Nous demandons des changements de traités pour que l’Europe puisse avoir une voix singulière dans le monde. À ce titre, mettre fin à la règle de l’unanimité demeure une demande à l’ordre du jour, de la part de mon groupe.
Madame la Présidente, avec une approche en trois temps – le court terme, le moyen terme, le long terme –, peut-être l’Europe trouvera-t-elle son chemin. Il n’y a aucune solution miracle, je pense, seulement du travail, de la constance et une grande humilité pour répondre aux demandes de nos concitoyens.
"
Stéphane SÉJOURNÉ,2023-09-13,FR,State of the Union (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-014-0000_FR.html,"  Stéphane Séjourné,  au nom du groupe Renew. – Madame la Présidente, Madame la Présidente de la Commission, chers collègues, cette session plénière sur l’état de l’Union n’est pas comme les autres. C’est la dernière de la mandature, c’est la dernière avant les élections européennes. Vous l’avez dit, Madame la Présidente, ces quatre dernières années ont été parmi les plus marquantes de l’histoire récente de la construction européenne. Renew Europe est fier d’avoir été en responsabilité pendant cette période, fier d’avoir été utile au sein d’une coalition qui n’était pas évidente, mais qui a rassemblé les pro-européens de bonne volonté. Je voudrais également remercier les groupes qui ont travaillé à des majorités, parfois différentes, à droite et à gauche, parfois coordonnées en format «Von der Leyen», avec les critiques qu’a formulées ma collègue. Mais nous avons réussi à avancer, avancer de manière coordonnée, avancer pour l’Europe.
Si je veux résumer l’état d’esprit de mon groupe, nous sommes fiers du bilan commun. Nous souhaitons que ces derniers mois soient utiles, à l’image de ces quatre dernières années. Mais Renew Europe est aussi lucide sur certaines priorités, et certaines priorités de mon groupe – nous n’y sommes pas encore, j’y reviendrais à la fin de mon intervention, Madame la Présidente.
Si je commence par les éléments positifs, je considère que l’Europe a été utile à nos concitoyens, plus que jamais dans cette période: elle a été là dans la pandémie, elle a été là face à l’agression russe en Ukraine pour unir les Européens. L’Europe est là pour les générations futures. Le pacte vert fait de l’Europe le continent le plus exemplaire en matière de transition écologique. Nous n’avons pas à avoir l’écologie honteuse. Je ne connais aucune autre chambre parlementaire dans le monde qui a pris des décisions aussi courageuses que celles que nous avons prises ces quatre dernières années sur ce sujet.
Nous sommes là pour nos travailleurs, nos entreprises. La réindustrialisation du continent est désormais une réalité enclenchée, au nom de notre souveraineté, de nos emplois, du pouvoir d’achat. Nous sommes là pour chacun de nos concitoyens sur leurs droits. Le «Far West» numérique est désormais régulé par des lois européennes. L’indépendance de nos médias sera bientôt garantie par une législation spécifique. Nous sommes là pour la sécurité collective et le fondement d’une défense commune. Et sur tous ces sujets, nous irons jusqu’au bout – je pense notamment au pacte vert.
Si je continue sur ce qui nous reste à faire – vous l’avez dit également, Madame la Présidente –, il faut trouver une solution durable pour les questions migratoires. Cela fait partie des textes que nous devons finaliser, avec le paquet énergie, avec une réponse industrielle européenne. Ces neuf derniers mois, je le répète, devront être utiles. Et par ailleurs, je me félicite que vous ayez également entendu mon groupe. Être utile ne veut pas dire réguler pour réguler. Nous devons réduire la bureaucratie qui pèse sur nos citoyens, sur nos entrepreneurs. Être utile, c’est aussi investir à la hauteur de nos objectifs. Les transitions vertes et digitales ne seront réussies que si nos lois sont simples, intelligibles et financées.
Madame la Présidente, pour terminer, un sujet qui fâche. Mon groupe, vous le savez, est déterminé à défendre le modèle démocratique. Je mesure le travail qui a été fait par nos commissaires. Je me tourne également vers les représentants du Conseil, en tant que colégislateurs, nous avons vu que parfois, ça traînait des pieds du côté des chefs d’État et de gouvernement. L’Europe ne répond pas encore aux appels désespérés des juges polonais et hongrois, de la presse indépendante, de la société civile. Je reste sidéré quand des procureurs italiens changent l’état civil d’enfants et donc retirent des droits à des mères parce qu’elles sont lesbiennes. Mon groupe appelle à toujours plus d’efficacité, toujours plus de simplicité, toujours plus de réformes. Nous savons que l’unanimité est un poison. Rendez-vous compte: l’ampleur de notre soutien ukrainien, notre solidarité commune, dépendent aujourd’hui de Viktor Orban. Madame la Présidente, nous refusons le basculement de l’Europe, nous refusons l’orbanisation de notre continent. C’est un réel danger, pas seulement du point de vue politique, mais aussi du point de vue économique et social. Le risque de corruption endémique, le risque de voir des communautés prises pour cible: le contraire de notre ADN européen, en somme; je dirais même le contraire de notre projet civilisationnel pour notre Europe.
Madame la Présidente, vous vouliez une commission géopolitique, vous l’avez évoqué dans votre discours. Elle a été, par le gré de l’histoire, bien plus que cela. Mais attention, les démocraties meurent rarement des menaces extérieures, elles meurent souvent des menaces intérieures. À nous, démocrates, d’agir à temps. Merci pour votre discours. Nous en partageons l’essentiel, et que ces neuf prochains mois soient utiles.
"
Stéphane SÉJOURNÉ,2023-09-13,FR,State of the Union (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-096-0000_FR.html,"  Stéphane Séjourné,  au nom du groupe Renew. – Madame la Présidente, notre collègue Lamberts a toujours de bonnes citations de fin. Je voudrais d’abord remercier l’ensemble des orateurs, prendre au mot également mes collègues du PPE, du S&D et des Verts sur la fin de mandat et le fait d’être utiles sur les derniers textes – il y en a encore cet après-midi, des textes, notamment sur la qualité de l’air. Il faut qu’on trouve des majorités et des procédés ambitieux pour y arriver.
Vous l’avez compris, Madame la Présidente, nous souhaitons être utiles sur les neuf mois qui restent. Évidemment, la question de l’énergie, la question de l’immigration sont nos priorités. Il faudra, à un moment donné, parler aussi des institutions et de notre capacité à renforcer les pouvoirs de ce Parlement. Je n’ai évidemment pas évoqué ce sujet. Ce n’est jamais le moment de parler des institutions, mais à un moment donné, à force de repousser une réforme, notre capacité à modifier, notre capacité aussi à décider, en Europe, plus rapidement, on perd finalement de l’efficacité politique.
Voilà, Madame la Présidente, le maître-mot est «l’ambition» pour ces neuf derniers mois, évidemment. Et puis la question de la démocratie, comme je l’ai évoqué dans mon discours à la fin, est précieuse. L’état de droit sera toujours l’ADN de mon groupe.
"
Stéphane SÉJOURNÉ,2023-07-11,FR,Nature restoration (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-11-INT-2-015-0000_FR.html,"  Stéphane Séjourné,  au nom du groupe Renew. – Monsieur le Président, chers collègues, nous y sommes. Après des semaines de débats, de surenchères, nous sommes appelés à nous prononcer sur la loi sur la restauration de la nature. À titre personnel, je crois en une loi ambitieuse. Mon groupe croit en un texte qui puisse réunir tous ceux qui ont l’écologie à cœur, tous ceux qui, depuis le début, ont soutenu le pacte vert. Mais, disons-le, le débat a dérapé. Il a dérapé sur la forme comme sur le fond. Et, à ce stade, c’est l’histoire d’un immense gâchis qui aura des responsables si ce texte était rejeté.
D’une part, du côté de la Commission européenne, je ne peux que déplorer l’absence ici du commissaire Timmermans. On ne crée pas aujourd’hui de majorités parlementaires sans être au contact de cet hémicycle. Et, vous le savez, pour cette loi, il y a aujourd’hui un besoin de narratif, un besoin de stratégie – besoins auxquels nous avions réussi à répondre pour l’ensemble des autres textes politiques qu’a présenté la Commission sur le pacte vert. Il y a eu tellement de fausses informations sur ce projet de loi. Combien de malentendus aurions-nous pu éviter si la Commission avait tissé une stratégie globale sur ces textes sur le pacte vert?
D’autre part, vous l’avez déjà dit dans les interventions, le groupe des conservateurs est tout heureux de démontrer qu’une alliance des droites avec des climatosceptiques est possible. En réalité, Monsieur Weber, vous le savez, vous ne voulez pas de ce texte, quels que soient les amendements, peut-être par pur opportunisme politique. Vous le savez, il fait aujourd’hui 37 degrés à Strasbourg. Et je vous assure, chers collègues du PPE, que ces objectifs partisans ne seront pas audibles des générations futures et de nos enfants.
Alors, d’un côté, l’aveuglement et le manque de stratégie de la Commission européenne, de l’autre côté, la surenchère politique et partisane. Voilà en quelque sorte les responsables de la situation actuelle. Le texte risque d’être rejeté. Mon groupe essaie encore péniblement de faire l’impossible. Nous avons proposé des amendements. Tout n’est pas perdu. Nous avons 24 heures. La nature et la biodiversité méritent effectivement ces efforts. Mon groupe parlementaire essaye à la fois de faire son unité en interne – et j’en suis aussi l’acteur – et l’unité également du Parlement européen.
Chers collègues, ne créons pas de nouveaux précédents. Pourquoi le pacte vert a-t-il fonctionné depuis maintenant quelques années? Parce que nous sommes allés au-delà de nos clivages. Nous sommes allés au-delà de nos clivages, mais un certain nombre de groupes essaient d’en créer de nouveaux. Pour moi, la nature et la biodiversité n’a pas de couleur politique. Croyez-moi, cette stratégie est de court terme. Seuls les extrêmes bénéficieront de cette polarisation parlementaire.
Mesdames, Messieurs, nous allons faire le travail. Nous proposerons dans les 24 heures qui viennent une stratégie pour avoir une majorité, en tout cas pour éviter le rejet de ce texte. J’en appellerai avec l’ensemble des responsables politiques, avec ceux qui ont travaillé, avec les présidents de commission parlementaire, avec nos rapporteurs et nos rapporteurs fictifs, à une stratégie pour que ce texte puisse aboutir. J’en appelle à la responsabilité, à gauche comme à droite. En tout cas, jusqu’au dernier moment, nous serons là pour faire de ce texte une victoire. 
"
Stéphane SÉJOURNÉ,2023-06-13,FR,"This is Europe - Debate with the President of Cyprus, Nikos Christodoulides (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-13-INT-2-077-0000_FR.html,"  Stéphane Séjourné,  au nom du groupe Renew. – Madame la Présidente, Monsieur le Président, permettez-moi tout d’abord de vous souhaiter la bienvenue au Parlement européen. En vous élisant, les Chypriotes ont réaffirmé leur ambition européenne, mais ont aussi démontré qu’ils n’aimaient pas qu’on leur impose le statu quo. C’est toujours un bon signal de vitalité démocratique.
Vous le savez, Monsieur le Président, mon groupe est particulièrement attentif aux réformateurs et aux pro-européens qui bousculent les conservatismes et les fausses évidences politiques. Votre engagement sans ambiguïté auprès de l’Ukraine et votre soutien aux solutions européennes sur le pacte européen sur l’immigration et l’asile en sont aussi la preuve. Nous sommes d’ailleurs fiers de compter, à Renew Europe, des membres de notre famille politique comme parties constitutives de votre gouvernement – dans votre majorité. C’est toujours avec respect que nous accueillons ici les chefs d’État ou de gouvernement qui privilégient aussi un travail avec les groupes pro-européens. 
Nous soutenons vos priorités – celle de relancer le processus de paix à Chypre et d’arriver à une réunification de l’île. Oui, l’Union européenne a un rôle à jouer. Nous avons trop souvent eu à Bruxelles le sentiment que cette affaire était avant tout un sujet chypriote, ou, parfois, un sujet entre Chypre et la Turquie, et nous pensons que c’est une erreur. Chypre, ce sont 1,4 million de concitoyens européens qui vivent dans une zone fortement militarisée, avec des regains de tensions possibles. Le conflit chypriote nous concerne aussi directement car la zone verte est devenue un lieu de passage privilégié pour l’immigration illégale – depuis la Turquie en passant par l’île pour ensuite rentrer dans l’Union européenne. Nous connaissons tous les difficultés de la Grèce, de l’Italie, de l’Espagne et de Malte. Chypre est aussi gravement confrontée à des flux, et nous ne pouvons pas ignorer cette situation. 
Oui, la question chypriote est une question européenne, et nous sommes prêts à prendre notre part dans la résolution du conflit. Mon groupe soutient votre proposition d’un émissaire européen auprès du négociateur de l’ONU. L’analyse est bonne, elle aussi: la clef se trouve bien du côté turc. Nous n’accepterons jamais une solution à deux États. Nous ne pouvons accepter les dérives militaristes et les provocations. Les conditions posées d’ailleurs il y a quelques jours par le président Erdoğan l’ont été en violation du droit international. L’Europe est garante du droit international, elle qui est d’ailleurs fondée sur ses bases et ses principes. 
Nous l’avons démontré et montré avec la Grèce par le passé, nous devons également le montrer avec Chypre si besoin: la souveraineté chypriote est la souveraineté européenne. En cela, Monsieur le Président, mon groupe soutiendra vos efforts et votre programme pour que la paix et le droit prévalent dans l’est de la Méditerranée. Vous pourrez toujours compter sur le groupe Renew Europe.
"
Stéphane SÉJOURNÉ,2023-06-12,FR,Order of business,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-12-INT-1-037-0000_FR.html,"  Stéphane Séjourné,  au nom du groupe Renew. – Madame la Présidente, mon groupe avait prévu de parler des classes moyennes et de remettre au centre de l’économie européenne les classes moyennes. Par ailleurs, l’ordre du jour du Conseil n’aborde pas les questions migratoires et nous voulions un débat séparé sur les questions migratoires, avec la possibilité d’avoir une expression de tous les groupes. Je comprends qu’il y a une majorité dans ce sens. Donc, évidemment, on ira voter la proposition de consensus. Je dis juste qu’il y aura un certain nombre d’aspects, notamment les questions tunisiennes, qu’il faudra aborder également dans ce débat avec la présidente de la Commission.
"
