MP,Date,Language,Title,Url,Content
Stéphanie YON-COURTIN,2023-11-23,FR,International day for the elimination of violence against women (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-23-INT-4-059-0000_FR.html,"  Stéphanie Yon-Courtin (Renew).   – Monsieur le Président, Madame la Commissaire, viols, mutilations génitales, violences physiques, harcèlement, trafic humain, mariage forcé avant ses 18 ans, voilà à quoi doit s’attendre une femme sur trois aujourd’hui dans sa vie. Ces statistiques font froid dans le dos. Mais ce ne sont pas de simples chiffres, ce sont les vies de mères, de sœurs et de filles ici en Europe et ailleurs. Chaque cas de violence est une tragédie qui doit trouver une réponse ferme et unifiée de notre part en Europe. Une femme doit vivre sans crainte, sans être réduite au silence par la peur. Nous rejetons catégoriquement toute les formes de violence, qu’elles soient sexuelles, physiques, morales, économiques, psychologiques, en ligne comme hors ligne.
J’appelle donc à l’action collective, à la mise en place de politiques et de législations plus strictes pour punir les agresseurs, pour protéger et recueillir la parole des victimes. La honte doit changer de camp: cela ne doit pas être qu’un slogan, ce doit être une réalité. 
L’éducation est la clé: nous devons enseigner le respect mutuel, le consentement dès le plus jeune âge, aux filles et aux garçons. Nous construirons ensemble un avenir exempt de violences et de discriminations, et cela fait partie du pacte Simone Veil que nous avons initié au sein du groupe Renew. Oui, l’Europe doit devenir un exemple de tolérance zéro envers la violence à l’égard des femmes. Après les paroles, maintenant agissons!
"
Stéphanie YON-COURTIN,2023-11-22,FR,Reducing regulatory burden to unleash entrepreneurship and competitiveness (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-22-INT-3-161-0000_FR.html,"  Stéphanie Yon-Courtin (Renew).   – Madame la Présidente, Monsieur le Commissaire, la semaine dernière, le maire d’une petite commune de Normandie me disait avoir mobilisé un agent pendant une semaine pour répondre à un appel à projet européen. Résultat des courses: aucun fonds européen accordé et un maire qui considère désormais l’Europe comme une technostructure inaccessible au plus grand nombre. Cette situation, c’est le lot quotidien de nos maires et des dirigeants de millions de PME européennes, qui se battent chaque jour pour accéder à ce que l’Europe peut à leur offrir et en bénéficier concrètement. L’Europe concrète, l’Europe des territoires, n’est pas encore une réalité.
Preuve en est que nous n’avons jamais parlé autant d’Europe que lorsque la rumeur a enflé sur le fait que l’Europe (la Commission européenne) voulait interdire les boîtes de camembert ou les bourriches d’huîtres. Je viens de Normandie et je me réjouis que nous ayons pu voter un amendement pour déroger à ce texte.
Agissons au plus vite pour que les élus locaux et les chefs d’entreprise européens parlent d’Europe, et en bien. L’Union européenne régule, et c’est une bonne chose pour le fonctionnement de notre marché intérieur, pour notre compétitivité et notre sécurité, mais ce millefeuille réglementaire peut rapidement devenir indigeste, surtout lorsqu’on n’a pas le numéro d’urgence de l’Europe en cas d’indigestion.
L’annonce de madame la présidente Ursula von der Leyen de la création d’un représentant des PME et votre confirmation est un signal positif qui doit être concrétisé et amplifié au plus vite. Monsieur le Commissaire, agissons dès maintenant pour nos millions de petites entreprises et pour la compétitivité en Europe.
"
Stéphanie YON-COURTIN,2023-11-22,FR,Cyprus Confidential - need to curb enablers of sanctions-evasion and money-laundering rules in the EU (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-22-INT-3-280-0000_FR.html,"  Stéphanie Yon-Courtin (Renew).   – Monsieur le Président, Madame la Commissaire, alors que nous sommes au 11ᵉ train de sanctions contre la Russie, un consortium de journalistes dénonce de potentielles opérations de blanchiment d’argent de la part d’oligarques russes à Chypre, au sein même de l’Union européenne. C’est un scandale de trop qui ne fragilise pas qu’un seul État membre, mais toute l’Europe, tant notre système financier est interconnecté.
À l’heure où le monde est touché par des conflits multiples où prospèrent la corruption et le blanchiment de capitaux, des fléaux qui, avec la digitalisation de l’économie, ne connaissent aucune frontière, nous avons besoin en urgence de plus d’Europe. Plus d’Europe avec nos nouvelles règles pour lutter efficacement contre le blanchiment d’argent et s’assurer d’une application efficace des sanctions. Plus d’Europe avec la future Autorité européenne de lutte contre le blanchiment d’argent, l’AMLA, qui sera un outil clé pour y parvenir en travaillant en étroite coopération avec l’Autorité de surveillance des marchés financiers, l’AEMF, basée à Paris.
Car le second sujet, c’est bien celui de la supervision des marchés financiers. Les autorités de surveillance nationales ont toujours un pouvoir important, mais elles doivent coopérer entre elles parce que cela a des conséquences sur tout notre marché. Il faut donc étendre les pouvoirs de l’AEMF pour envisager une supervision directe sur nos marchés financiers. Donc une institution forte avec un règlement unique pour une application harmonisée sur l’ensemble du marché intérieur, c’est la solution pour mettre fin au Forum Shopping et en finir enfin avec ces scandales qui affaiblissent nos démocraties.
"
Stéphanie YON-COURTIN,2023-11-20,FR,Framework of measures for strengthening Europe’s net-zero technology products manufacturing ecosystem (Net Zero Industry Act) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-20-INT-1-142-0000_FR.html,"  Stéphanie Yon-Courtin (Renew).   – Madame la Présidente, rappelez-vous: la loi sur la réduction de l’inflation réservait son marché aux productions de technologies propres produites sur le sol américain, et en conséquence le marché européen a été submergé de panneaux photovoltaïques chinois à des prix défiant toute concurrence. Une situation de dépendance inacceptable dans le secteur photovoltaïque, où un seul pays produit désormais 80 % des composants dans le monde. Notre objectif d’ici 2030: la capacité de production de l’Union européenne pour ces technologies stratégiques doit atteindre au moins 40 % des besoins annuels de l’Union.
Oui, nous sortons de la naïveté. Oui, nous sommes le continent le mieux-disant en politique environnementale et sociale, mais ces standards doivent aussi s’appliquer à nos partenaires et ne pas se faire au détriment de nos entreprises et de nos ménages sur notre marché intérieur.
Lors d’un appel d’offres en Europe, le prix le plus bas n’est plus le seul critère à prendre en compte. Il faut aussi penser à résilience, à la durabilité et aux objectifs sociaux. Les entreprises qui ont investi pour la transition climatique doivent être reconnues, et celles utilisant le travail forcé doivent être interdites de participer aux marchés publics européens. Transformons l’essai et élargissons cette approche pour favoriser la production européenne du numérique, tout aussi indispensable à notre souveraineté.
"
Stéphanie YON-COURTIN,2023-10-18,FR,Fighting disinformation and dissemination of illegal content in the context of the Digital Services Act and in times of conflict (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-362-0000_FR.html,"  Stéphanie Yon-Courtin (Renew).   – Monsieur le Président, Monsieur le Commissaire, bébés décapités, femmes violées, attaques racistes ou antisémites, appels au meurtre ou à la haine: un tsunami de photos et de vidéos insupportables déferle ces derniers jours sur les réseaux sociaux ici, en Europe. Hélas, les exemples ne s’arrêtent pas là: ingérence étrangère dans nos élections, fausses informations, théories complotistes. Tous ces contenus circulent en toute impunité en ligne. Dans les guerres qui font rage en Ukraine et au Moyen-Orient, l’information est utilisée comme une arme de destruction massive. Ce sera la même chose pour les élections européennes, en juin prochain. Il n’y a plus de temps à perdre.
Depuis cinquante jours, le règlement sur les services numériques met fin au far west en ligne. C’est une première mondiale, bravo! Mais peut-on encore cautionner qu’une vidéo d’appel au meurtre du professeur Samuel Paty puisse rester en ligne trois semaines avant d’être retirée? Non.
Alors, Messieurs Elon Musk, Mark Zuckerberg, Shou Zi Chew, Neal Mohan – respectivement PDG de X, Meta, TikTok et YouTube –, c’est à vous que je m’adresse: désormais, vous avez des responsabilités à la hauteur de l’audience que vous touchez. Si vous ne voulez pas avoir du sang sur les mains, appliquez ce principe: action, réaction! Non, vous ne pourrez plus dire: «Je ne savais pas», ou: «Je m’en lave les mains».
"
Stéphanie YON-COURTIN,2023-09-12,FR,Single market emergency instrument (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-174-0000_FR.html,"  Stéphanie Yon-Courtin (Renew).   – Madame la Présidente, il y a presque un an, jour pour jour, lors du discours sur l’état de l’Union, la Commission européenne présentait son nouvel instrument du marché unique pour les situations d’urgence. Tirant les leçons de la pandémie de Covid et de l’invasion de l’Ukraine, ce nouvel outil vise à garantir la libre circulation des personnes, des biens, des services, même en temps de crise. Car les citoyens, à raison, n’ont pas compris le manque de coordination entre les États membres ni les pénuries que nous avons vécues durant la pandémie. Or, nous le savons, notre marché unique est notre meilleur atout en gestion des crises, l’achat en commun des vaccins en est un exemple – on salue ici notre Commissaire Breton.
Il nous faut donc mieux structurer les réponses d’urgence qui ne peuvent être garanties ni par de l’improvisation ni par des mesures nationales prises chacun dans son coin. Désormais, nous garantissons, en temps de crise, l’approvisionnement rapide pour les biens et services critiques. Nous mettons en place un mécanisme qui permet aux États membres de lancer un appel à la solidarité en cas de pénurie. En dernier recours, si la situation l’impose, nous permettons la commande prioritaire et contraignante auprès des opérateurs économiques. Pour répondre aux crises actuelles et futures, dotons-nous des moyens nécessaires à la coordination, à la solidarité et à la cohérence de la réponse européenne. Il en va de la protection de notre marché unique.
"
Stéphanie YON-COURTIN,2023-09-11,FR,Consumer credits (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-11-INT-1-161-0000_FR.html,"  Stéphanie Yon-Courtin,  au nom du groupe Renew. – Monsieur le Président, demain, nous voterons pour un texte qui va lutter efficacement contre le surendettement de milliers de citoyens européens et adapter nos règles à la numérisation de la société. Aujourd’hui, nous consommons en un clic, et nous pouvons aussi souscrire un crédit en quelques clics. C’est une bonne chose pour faciliter la vie des consommateurs, des PME et l’essor du commerce électronique. Mais emprunter de l’argent n’est pas sans risque, et les dangers ont augmenté avec les nouveaux types de crédit qui, jusqu’à présent, n’offraient pas de protection adéquate du consommateur. Je veux parler ici des crédits «achetez maintenant, payez plus tard», des crédits de moins de 200 € et des crédits souscrits sur des plateformes participatives.
Désormais, tout créditeur devra s’assurer que le consommateur est bien en mesure de rembourser ce crédit et qu’il est bien informé en amont de tous les risques. Les nouvelles règles comprennent aussi des mesures pour lutter contre les taux délirants de certains crédits à la consommation.
En ce jour d’hommage à ma collègue Véronique Trillet-Lenoir, véritable architecte du plan cancer, je veux souligner notre combat commun pour introduire le «droit à l’oubli» dans la législation européenne. Nous avons inscrit l’obligation, pour tous les États membres, d’introduire cette période de «droit à l’oubli». C’est une première étape qui devra être suivie dans d’autres domaines, comme le crédit immobilier. Je veux le dire à toutes les victimes du cancer en Europe: la double peine, c’est fini.
"
Stéphanie YON-COURTIN,2023-07-11,FR,Financial activities of the European Investment Bank – annual report 2022 - Control of the financial activities of the European Investment Bank - annual report 2022 (joint debate - European Investment Bank),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-11-INT-2-474-0000_FR.html,"  Stéphanie Yon-Courtin (Renew).   – Monsieur le Président, Monsieur le Président Hoyer, chers collègues, dans ce rapport annuel, nous saluons l’action de la BEI et de son président, Monsieur Hoyer, qui ont été au rendez-vous des transitions auxquelles notre société et notre économie doivent faire face.
La BEI a répondu efficacement à la pandémie. Elle a intensifié ses efforts pour soutenir la transition verte, numérique, et s’est véritablement engagée dans le cadre de la guerre en Ukraine. Nous devons poursuivre et intensifier ses ambitions. La BEI est le véritable bras financier de l’Union européenne pour soutenir tous ces objectifs politiques.
Cela passe par le nécessaire soutien à l’industrie de la défense européenne, alors que la guerre frappe à nouveau aux portes de l’Union, mais aussi par le soutien à l’innovation, à nos PME, à l’industrie et à la numérisation. Nous devons faire encore davantage pour mobiliser l’investissement privé dans la transition verte. Mais la BEI, c’est aussi l’Europe concrète. Et l’action de la BEI au sein de nos territoires, de nos régions, permet de rendre les financements européens très accessibles. La BEI, c’est relancer les projets d’investissements durables au cœur des territoires via la rénovation urbaine, l’éducation, le développement des mobilités douces et des transports publics propres.
En tant qu’élue régionale, j’en ai été témoin avec, en Normandie, le prêt de 80 millions de la BEI consacré à la rénovation de 20 collèges en Seine-Maritime. L’Europe investit, l’Europe agit grâce à la BEI.
"
Stéphanie YON-COURTIN,2023-06-12,FR,Competition policy - annual report 2022 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-12-INT-1-124-0000_FR.html,"  Stéphanie Yon-Courtin,  au nom du groupe Renew. – Monsieur le Président, Madame la Vice-Présidente, Monsieur le rapporteur, chers collègues, l’exercice annuel du rapport sur la politique de concurrence nous permet de saluer tout le travail de la Commission européenne, et encore davantage ces derniers mois, au cours desquels la concurrence a été au cœur de la réponse à la pandémie, à la crise énergétique.
C’est aussi l’occasion de rappeler le rôle de nos règles de concurrence dans la double transition, verte et numérique, et la résilience de notre marché unique, car, oui, la politique de concurrence – vous l’avez rappelé, Madame la Vice-Présidente – est un des moyens pour atteindre les objectifs ambitieux que nous nous sommes démocratiquement fixés. Mais nous ne parviendrons à atteindre notre autonomie stratégique qu’en articulant toutes nos politiques européennes et notre boîte à outils. Avec le règlement sur les subventions étrangères, nous avons enfin dit stop à la concurrence déloyale des États tiers et nous devons désormais délivrer des résultats concrets sur ces priorités pour nos citoyens et nos entreprises – la fin des voitures à moteur thermique sera un vrai test. Nos nouvelles règles doivent nous protéger de la concurrence déloyale des voitures électriques chinoises à bas coût, largement subventionnées par la Chine, qui viendraient inonder le marché européen.
Au sein même de notre marché unique, comment garantir une concurrence loyale entre nos entreprises européennes si nous n’accélérons pas sur le fonds de souveraineté, qui viendrait compenser d’éventuelles disparités en matière d’aides d’État? Notre réponse européenne à la loi américaine sur la réduction de l’inflation doit s’accompagner de ce volet financier.
En matière de souveraineté numérique, la réglementation sur le marché numérique pallie les limites de notre droit de la concurrence pour l’adapter aux défis actuels. L’heure est maintenant à la mise en œuvre concrète de cet acte. Nous devons aussi repenser la juste rémunération des réseaux. Il faut veiller à ce qu’une poignée d’entreprises ne puisse pas monopoliser le trafic exponentiel de données sans contribuer effectivement aux infrastructures qu’elles utilisent.
"
Stéphanie YON-COURTIN,2023-05-11,FR,Protecting and restoring marine ecosystems for sustainable and resilient fisheries - Agreement of the IGC on Marine Biodiversity of Areas Beyond National Jurisdiction (High Seas Treaty) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-11-INT-4-069-0000_FR.html,"  Stéphanie Yon-Courtin (Renew).   – Monsieur le Président, Monsieur le Commissaire, chers collègues, avec ce plan d’action, l’Europe montre certes qu’elle a une longueur d’avance pour protéger nos écosystèmes marins, mais si on veut atteindre nos objectifs, ça se prépare, ça s’accompagne, et ça se discute. Comme je l’ai rappelé dans le rapport sur la cogestion des pêches, c’est le dialogue avec toutes les parties prenantes qui nous permettra d’obtenir des solutions performantes, sur mesure, et acceptées par tous.
Je soutiens ce plan d’action, mais je regrette que la Commission européenne envisage la fin de la pêche de fond dans toutes les aires marines protégées, sans aucune consultation et sans aucune prise en compte des spécificités des zones concernées. Oui, je suis inquiète pour nos pêcheurs artisanaux. En Normandie, dans ma région, caractérisée par la pêche artisanale, la proposition radicale de la Commission ferait un grand vide. Par exemple, dans la Manche, elle ferait disparaître 80 % des petits bateaux. L’amélioration de nos pratiques est nécessaire parce que protéger l’environnement, c’est assurer la durabilité de l’activité de pêche. Mais c’est en individualisant les mesures qu’elles seront vraiment efficaces et adaptées. Veillons à ne pas imposer des interdictions uniformes qui pointent du doigt toute une profession, et condamnent la pêche artisanale et côtière.
Ce qui nous importe, c'est l’état des fonds marins. Alors continuons à investir, notamment via le Fonds européen pour les affaires maritimes, la pêche et l’aquaculture, le FEAMPA dans nos régions, dans les techniques de pêche plus sélectives, moins dommageables. Accompagnons la transition du secteur, accompagnons les pêcheurs, car ce sont bien eux qui s’efforcent de nous nourrir. Ce sont eux qui participent à la souveraineté alimentaire quand nous importons aujourd’hui plus de 70 % des produits de la pêche.
"
