MP,Date,Language,Title,Url,Content
Susanna CECCARDI,2023-11-23,IT,International day for the elimination of violence against women (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-23-INT-4-020-0000_IT.html,"  Susanna Ceccardi (ID).   – Signor Presidente, onorevoli colleghi, figlia mia, sei nata femmina. Ho sempre desiderato una figlia femmina per condividere insieme i giochi con le bambole, per portarti a lezione di danza e pianoforte, se lo vorrai, per consigliarti meglio quando, da adolescente, avrai le prime cotte e quando, da più grande, ti innamorerai davvero. Avrai qualche delusione, ma saprai rialzarti se sarò stata una buona madre. 
Ti insegnerò a credere in te stessa, ad essere indipendente psicologicamente ed economicamente, ad amare qualcuno intensamente ma senza annientarsi mai. Ti dirò, quando avrai l'età per capire, che non dovrai mai accettare nessun sopruso, nessuna violenza, anche se piccola o apparentemente innocua, e neanche per scherzo. Ti insegnerò a denunciare, a difenderti, a imparare ad allontanare le persone che vorranno ferirti. Ti insegnerò ad odiare la violenza, a non subirla e a non infliggerla agli altri. Cresci e non pentirti mai di essere una donna. Vanne fiera e a testa alta. Ricordati di amare con tutto il cuore e senza paura. 
Quando è nata, quattro anni fa, mia figlia, le ho scritto questo messaggio e penso che la prima campagna antiviolenza la facciamo noi genitori in casa ogni giorno. Nella storia i risultati più importanti per l'emancipazione femminile sono stati ottenuti grazie alla consapevolezza di sé che le donne hanno raggiunto. È ancora questa la strada da percorrere per continuare a difendere le donne: libertà e consapevolezza. 
Oggi in Aula, purtroppo, ci sono pochi uomini, siamo tutte donne. Di questo dobbiamo interrogarci: questo è un dibattito esclusivamente per donne o riguarda anche gli uomini? Riguarda anche i padri, riguarda anche figli, riguarda anche le madri. I padri, ma anche le madri, hanno il compito di educare i figli. 
"
Susanna CECCARDI,2023-11-21,IT,Packaging and packaging waste (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-249-0000_IT.html,"  Susanna Ceccardi (ID).   – Signor Presidente, onorevoli colleghi, io quando sento che la Commissione europea ha dei programmi ambiziosi, ho paura perché preferirei che i progetti fossero un po' meno ambiziosi e un po' più calati nella realtà, un po' più equilibrati. 
Io ho fatto il sindaco prima di essere parlamentare europeo e, insieme ai miei colleghi, ho passato anni a spiegare ai cittadini come fare bene la raccolta differenziata. Ora che tanti Paesi hanno raggiunto gli obiettivi sul riciclo, diciamo: no, no! Cambiamo tutto, cambiamo le abitudini di tutti i cittadini europei ma soprattutto creiamo un problema alla produzione. 
E qui stiamo parlando di agricoltura, della filiera della produzione alimentare, della ristorazione. Chi per ignoranza o malafede acconsentirà a questa ennesima ecofollia sferrerà un colpo mortale a economie dell'Europa, come l'economia italiana, che fattura 600 miliardi di euro l'anno, con 1,3 milioni di imprese e 3,6 milioni di addetti. Pensiamoci. 
"
Susanna CECCARDI,2023-11-08,IT,Order of business,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-08-INT-1-026-0000_IT.html,"  Susanna Ceccardi (ID).   – Signora Presidente, onorevoli colleghi, la mia Toscana, la regione da cui provengo, in queste ultime settimane è stata flagellata dal maltempo. Ci sono stati otto morti!
La Toscana, che molti di voi conoscono, con le sue bellezze artistiche, con il suo grande popolo, adesso è in ginocchio; le famiglie hanno le case allagate, molte aziende hanno perso tutto, i danni ammontano a più di 300 milioni di euro.
È per questo che chiedo alla Commissione europea di attivare il Fondo di solidarietà, come molto spesso è stato attivato in passato in casi come questo. Aiutate la nostra Toscana a rialzarsi, la Toscana che, con le sue bellezze e con la sua arte, ha illuminato tutta Europa e il mondo.
Aiutate la Toscana a riavere la propria luce.
"
Susanna CECCARDI,2023-10-18,IT,Islamist terrorist attack on French schools and the need to protect people and promote social cohesion (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-482-0000_IT.html,"  Susanna Ceccardi (ID).   – Signor Presidente, onorevoli colleghi, la gente ha paura. Mi hanno scritto diverse persone per sapere se possono prendere tranquillamente l'aereo, se possono andare al supermercato, se possono portare i figli a scuola. L'Europa, con la sua debolezza, ha lasciato che la guerra entrasse nelle nostre città.
La sinistra diceva che i terroristi non sarebbero mai arrivati sui barconi e invece eccoli qua. Avete continuato a sostenere, in nome del diritto alla libertà di culto, la costruzione di moschee in tutta Europa e, proprio lì, in quelle moschee, senza controllo, gli immigrati irregolari si sono radicalizzati.
C'è bisogno di dare una svolta vera a questa Europa e porre da subito stringenti misure antiterrorismo. Servono controlli in tutte le moschee sulle dichiarazioni degli imam. Bisogna fermare immediatamente la costruzione di nuovi luoghi di culto in tutta Europa ed espellere gli irregolari.
In Italia, gli imam stanno dicendo che l'aggressione palestinese è resistenza. Si soffia sul fuoco dell'odio e i cani sciolti si esaltano. In Belgio, in Francia e in Svezia ci sono quartieri dove non si può più entrare. È tardi, è già tardi, ma qualcosa si può ancora fare.
Bisogna smettere di aver paura, bisogna abbandonare il politicamente corretto. Bisogna tornare a essere orgogliosi di essere europei. Bisogna difendere quello che siamo, le nostre radici giudaico-cristiane, le nostre lingue nazionali, i nostri confini e i nostri valori. Solo così, con la rabbia e l'orgoglio di cui parlava Oriana Fallaci, potremo difendere ciò che siamo.
"
Susanna CECCARDI,2023-10-04,IT,Need for a speedy adoption of the asylum and migration package (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-099-0000_IT.html,"  Susanna Ceccardi (ID).   – Signor Presidente, onorevoli colleghi, pochi giorni fa una giudice italiana ha rilasciato tre irregolari tunisini da un centro per il rimpatrio, sostenendo che quei trattamenti contrastano con le norme europee. Questa giudice condivideva sui social le raccolte firme per sfiduciare Matteo Salvini e raccolte firme perché l'Europa dovesse aprire le porte ai migranti pagandogli direttamente il biglietto aereo per portarli qua.
Non bastavano le norme europee inefficaci. A questa folle ideologia immigrazionista si aggiungono anche i giudici italiani politicizzati. La difesa dei confini e dei nostri cittadini è una battaglia di civiltà che solo la Lega sta combattendo fino in fondo. Il nostro governo deve capire che l'Unione europea non risolverà mai il problema. Questa Europa è schiava delle sinistre che distruggono la nostra economia e favoriscono l'invasione. Il governo Meloni ha dato fiducia all'Europa, per esempio sul memorandum con la Tunisia, ma siamo stati traditi. La soluzione sono le elezioni europee del 2024: solo se il centrodestra vincerà e governerà compatto, senza l'abbraccio mortale della sinistra, cambieranno le cose...
(il Presidente toglie la parola all'oratrice)
"
Susanna CECCARDI,2023-10-04,IT,The spread of ‘anti-LGBTIQ’ propaganda bills by populist parties and governments in Europe (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-435-0000_IT.html,"  Susanna Ceccardi (ID).   – Signor Presidente, onorevoli colleghi, nel mio paese, l'Italia, – rispondo alle varie accuse che sono state formulate in quest'Aula – si rispettano i diritti degli omosessuali, come negli altri paesi europei, non di meno. Qualcuno, proprio in quest'Aula, ha fatto della politica strumentale, paragonando l'Italia, un paese membro e fondatore, all'Uganda, e soltanto per la vostra strumentalizzazione politica.
Vi do una notizia: gli omosessuali non sono tutti di sinistra in Europa, ce ne sono moltissimi di destra e ce ne sono moltissimi di centrodestra, proporzionalmente a tutti gli altri elettori. E quegli omosessuali di centrodestra non si sentono rappresentati dalla vostra politica assolutamente strumentale e sono venuti da me e dagli altri esponenti di centrodestra a denunciare come siano stati emarginati più volte dalle associazioni di sinistra LGBTQI perché la pensano diversamente. Questa è discriminazione! E voi non rappresentate tutti gli omosessuali d'Europa, fatevene una ragione.
"
Susanna CECCARDI,2023-10-04,IT,"Human rights situation in Afghanistan, in particular the persecution of former government officials",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-463-0000_IT.html,"  Susanna Ceccardi (ID).   – Signor Presidente, onorevoli colleghi, in Afghanistan un'intera generazione per vent'anni è cresciuta credendo nel cambiamento, fidandosi di noi come alleati leali e sperando in un paese moderno e laico, governato dalla legge e non dalla forza bruta, e aveva acquisito fiducia nel futuro, un futuro di libertà, seppur in mezzo a tante difficoltà e tanti problemi. L'abbiamo tradita quella fiducia.
Solo nel primo anno del rinnovato dominio talebano le Nazioni Unite hanno contato almeno 218 esecuzioni sommarie. Molti di loro erano agenti di polizia e membri dell'esercito nazionale afghano. Molti altri erano civili, funzionari e non. L'Europa in questi anni ha accolto chiunque, ma ha dimenticato spesso chi ha prestato servizio accanto ai nostri uomini e soldati, a cominciare dagli interpreti afghani.
Ricordiamocelo sempre: non esistono talebani moderati. Abbiamo il dovere morale di proteggere coloro che si sono fidati di noi. Grazie per essere qui a Ahmad Massoud, uomo coraggioso. L'Occidente dovrebbe avere più coraggio, ha molto da imparare.
"
Susanna CECCARDI,2023-10-03,IT,Medicine shortages and strategic healthcare autonomy in the EU (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-265-0000_IT.html,"  Susanna Ceccardi (ID).   – Signor Presidente, onorevoli colleghi, si parla spesso di sovranità energetica e di sovranità alimentare, ma dovremmo parlare di più di sovranità farmaceutica, un settore trainante per le economie nazionali ed europee.
La maggior parte dei principi attivi, come è stato detto, è prodotta in Cina e in India. Questo dato è allarmante per la nostra sicurezza farmaceutica. Se avessimo una crisi mondiale, per esempio, molti dei farmaci salvavita che conosciamo, per esempio quelli antidiabetici, non potrebbero salvare la vita a milioni di persone in Europa. 
E purtroppo negli ultimi vent'anni l'Unione europea ha perso il 25 % dei finanziamenti, perché altri paesi hanno investito di più: l'Arabia Saudita, la Cina e gli USA.
La proposta della Commissione europea svantaggia gli Stati comunitari perché rischia di aumentare le delocalizzazioni. Quindi no alle delocalizzazioni. Proteggiamo la proprietà intellettuale e gli investimenti.
"
Susanna CECCARDI,2023-10-03,IT,Question Time with Commissioners – EU-China trade relations,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-321-0000_IT.html,"  Susanna Ceccardi (ID).   – Signor Commissario, l'Unione europea è un grande partner commerciale della Cina: il terzo per le esportazioni e il primo per le importazioni. Quindi capiamo, è evidente, che la Cina ha intenzione di vendere, ma meno di comprare, chiede le frontiere aperte ma tiene chiuse le proprie frontiere. È una globalizzazione a senso unico e questo deve cambiare.
Per esempio, l'Italia, con il governo del Movimento 5 Stelle, firmò il memorandum della Belt and Road Initiative e, da allora, abbiamo aumentato le esportazioni di 3 miliardi, ma la Cina le aumentate di 26.
Quindi, il dumping commerciale che tutta l'Unione europea ha subito in questi anni, a danno delle imprese e a danno dei lavoratori, con la nuova strategia per la transizione green non potrà che aumentare, perché la Cina non ha alcuna intenzione di cambiare la propria politica commerciale o anche sulla transizione ecologica. Quindi, che cosa avete intenzione di fare per evitare che il dumping aumenti?
Poi, ha già parlato, giustamente, dell'indagine che ha annunciato anche Ursula von der Leyen, ma non ce ne potevamo accorgere prima? Perché così tardi?... (il Presidente toglie la parola all'oratrice)
"
Susanna CECCARDI,2023-10-02,IT,One-minute speeches on matters of political importance,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-02-INT-1-231-0000_IT.html,"  Susanna Ceccardi (ID).   – Signora Presidente, onorevoli colleghi, l'Italia è sottoposta a una pressione migratoria senza precedenti e rischia di scoppiare di clandestini, mentre l'Europa continua a fare la buona con i confini degli altri, cioè i nostri.
La Commissaria Johansson probabilmente non se n'è neanche accorta, così impegnata a fare la calza com'è. La Germania, probabilmente in compagnia di altri paesi europei, ha finanziato le ONG per portare gli immigrati in Italia. È così bello fare i buoni con i confini degli altri.
Le risorse promesse alla Tunisia non sono arrivate, se non in piccola parte. Chiaramente ci sono da rispettare i diritti umani. Ma questo non valeva per Erdoğan, a cui negli anni abbiamo dato più di 20 miliardi di euro. Lì i diritti umani non valevano.
Noi italiani non possiamo effettuare respingimenti. Dei giudici hanno respinto l'istanza del governo di rimandare in Tunisia alcuni migranti perché si appellano alle norme europee.
Ecco, le norme europee hanno stufato gli italiani. Gli italiani sono stufi e la pazienza degli italiani finirà prima della calza della Johansson.
"
