MP,Date,Language,Title,Url,Content
Sven SIMON,2023-12-11,DE,The European Elections 2024 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-11-INT-1-058-0000_DE.html,"  Sven Simon,  Berichterstatter. – Herr Präsident, meine sehr geehrten Damen und Herren, Kolleginnen und Kollegen! Nach der Europawahl 2019 waren viele Menschen enttäuscht. Die Parteien waren mit Spitzenkandidaten angetreten, und dann ist etwas geschehen, das man als demokratisch nicht verantwortlich bezeichnen muss: Die Sozialisten haben den Spitzenkandidaten der Europäischen Volkspartei nicht anerkannt, obwohl er die Wahl gewonnen hatte. Die Liberalen waren tagelang nicht erreichbar, weil sie im Rat andere Pläne verfolgten.
Wir können froh sein, dass sich die schließlich gewählte Kommissionspräsidentin als Glücksfall für die Europäische Union erwiesen hat. Sie hat in der Pandemie beherzt zugepackt und sich um die Impfstoffversorgung gekümmert, obwohl die Europäische Union eigentlich keine Zuständigkeit dafür hatte. Sie hat uns Europäer in dem schrecklichen Angriffskrieg Russlands gegen die Ukraine zusammengehalten und getan, was sie tun konnte. Ursula von der Leyen hat Europa im wahrsten Sinne des Wortes ein Gesicht gegeben. Wir sind mit ihr gut vertreten, auf Augenhöhe mit der Welt.
Dennoch müssen wir den Prozess nach der nächsten Europawahl besser organisieren. Und dazu dient der vorliegende Bericht. Denn in einer Demokratie muss Wählen auch zählen. Deshalb muss der Ausgang der Europawahl am 9. Juni Einfluss auf die Wahl der Kommissionspräsidentschaft haben. Das ist der Zweck von Spitzenkandidaten – Gesicht zeigen, wählbar und abwählbar sein. 
Leider haben die Europawahlen keinen Einfluss auf die Zusammensetzung der Europäischen Kommission. Das ist in meinen Augen ein Konstruktionsfehler des Vertrags von Lissabon. Umso wichtiger ist es, dass wir den Prozess einhalten, der in diesem Bericht beschrieben wird. Der Bericht ist erstens ein Verhandlungsmandat für eine Vereinbarung mit dem Rat. Wir erwarten zweitens, dass die europäischen Parteien mit einem Spitzenkandidaten oder einer Spitzenkandidatin in die Wahl gehen und sie benennen. Der Verhandlungsauftrag muss drittens nach der Wahl wie beschrieben bei der Kandidatin oder dem Kandidaten liegen, die oder der die größte Fraktion im Parlament hinter sich vereinen kann, mit dem Versuch, eine Mehrheit zu bilden. Wenn dies nicht gelingt, geht er an die zweitgrößte Fraktion über. So stellen wir sicher, dass Prinzipien der parlamentarischen Demokratie auch in Europa gelebt werden.
Meine Damen und Herren, wir stehen vor großen Herausforderungen, die kein Staat alleine in Europa bewältigen kann. Die Europäer müssen sich selbst verteidigen können. Es geht um Sicherheit nach innen und nach außen. Die Menschen erwarten von uns, dass wir die illegale Massenmigration stoppen, dem Sterben im Mittelmeer endlich ein Ende bereiten und es nicht länger den Schlepperbanden überlassen, wer nach Europa kommt. Sie erwarten, dass Europa wieder wettbewerbsfähig wird und wir das Wohlstandsversprechen erneuern. Und schließlich braucht es europäische Führung und weltweite Maßstäbe bei der Gestaltung der digitalen Transformation. Den Grünen Deal müssen wir vernünftig weiterentwickeln.
Für all das brauchen wir nach der Europawahl ein geordnetes Verfahren, das in diesem Bericht beschrieben wird. Es soll die Europäische Union auch institutionell handlungsfähig machen. So lange, bis wir über eine Änderung der Verträge die Verantwortlichkeiten auf europäischer Ebene besser sichtbar machen, brauchen wir diese Absprachen unter Demokraten. Denn auch in Europa muss gelten: Wählen muss zählen. Deshalb bitte ich Sie um Zustimmung zu diesem Bericht.
"
Sven SIMON,2023-12-11,DE,The European Elections 2024 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-11-INT-1-094-0000_DE.html,"  Sven Simon,  Berichterstatter. – Frau Präsidentin, meine lieben Kolleginnen und Kollegen! Fünf Punkte zum Abschluss dieser Debatte: Erstens hat sie wieder einmal gezeigt, dieses Parlament krankt einfach daran, dass zu wenige Kollegen hier im Plenum sitzen. Wir brauchen eine Debatte. Die Debattenkultur muss sich verbessern. Das muss geändert werden beim nächsten Mal. Wir brauchen mehr Präsenz.
Zweitens: Es ist deutlich geworden, dass die meisten Kolleginnen und Kollegen den von mir angesprochenen Konstruktionsfehler im Vertrag von Lissabon genauso sehen. Wir haben eine politische Union gegründet – gut so, richtig so –, wir haben eine politische Kommission, die muss aber in einer Demokratie wählbar und abwählbar sein. Es muss beendet werden, dass die Mitgliedstaaten ihre Kommissare entsenden und die Wahl keine Auswirkungen auf die Zusammensetzung der Kommission hat.
Drittens: Der Vorwurf, Frau von der Leyen kandidiere nicht, obwohl sie gegebenenfalls noch einmal als Kommissionspräsidentin kandidiert – dieser Vorwurf ist ja Unsinn, denn sie würde ja für ein Parlament kandidieren, in dem sie den Sitz nicht behalten könnte. Sie würde ja den Wähler eigentlich mehr betrügen, wenn sie fürs Parlament kandidiert und den Sitz danach sofort wieder abgeben muss, weil sie in Wahrheit ja als Kommissionspräsidentin gegebenenfalls kandidieren möchte.
Vierter Punkt: Der Gipfel der Debatte war der Vorwurf von Herrn Eroglu – der Kollege von den Freien Wählern und der Renew-Gruppe –, der gesagt hat, Herr Weber sei verantwortlich dafür, dass das Spitzenkandidatenprinzip beim letzten Mal nicht funktioniert habe. Das ist nun wirklich geradezu grotesker Unsinn, denn es ist ja nun seine Fraktion gewesen, die Renew-Fraktion, die sich nicht gemeldet hat, die im Rat hintertrieben hat, sodass das Spitzenkandidatenprinzip zerstört wird an dieser Stelle. Also das war schon wirklich eine politische Unverfrorenheit.
Und letzter Punkt: Wir brauchen eine europäische Öffentlichkeit. Das, was die rechte Seite des Hauses gesagt hat – Kollege Hoogeveen –, dass wir das wieder nationalisieren müssten, das ist nun auch Unsinn, denn es wird ja auf europäischer Ebene entschieden. Wir brauchen ja eine europäische Debatte, europäische Öffentlichkeit. Und Demokratie in Europa muss genauso wie überall sonst in der Welt wählbar und abwählbar werden – und das auf europäischer Ebene.
"
Sven SIMON,2023-11-21,EN,Proposals of the European Parliament for the amendment of the Treaties (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-267-0000_EN.html,"  Sven Simon,  rapporteur. – Mr President, colleagues, do we change the Treaties with this report? No. This week we have to answer two questions. First, do we want a convention to discuss Treaty change? Second, is this draft a sufficient basis to open up a discussion? My answer to those questions is ‘Yes’.
16 years ago, the Lisbon Treaty was signed. But the world has changed since then. We are facing new challenges. The financial crisis, Brexit, migration, Russia’s war on Ukraine are forcing us to act.
I have with this report three priorities. I want the European Union to become more focused, more capable to act, and more democratically accountable. It is not about old ideas of federalism versus the Europe of nations. It is about improving the European Union where it really matters to the Europeans.
We must create a defence union, bringing the defence industries together in order to be able to defend ourselves, which is not the case today. Colleagues, if you think about the fact that we in Europe have 178 main weapon systems and the United States has 30, it comes with no surprise that we waste taxpayers’ money – pay more, get less.
We must strengthen our energy cooperation to achieve energy independence and decarbonisation. We must ensure that the internal energy market does not just exist on paper, but also functions in reality.
I want to fulfil the voters – my voters’ – demands and protect our borders against illegal migration and trans-national crime. But for this, we have to change and amend the Treaties. The European Union does nearly have no competency and we are blocked by vetoes and unnecessary bureaucracy.
It is true that we need to improve the protection of the rule of law, but the legal procedure needs to be in front of a court. This would stop the blame game in this House, which doesn’t bring us any further, but divides us all the more.
It was a structural mistake of the Lisbon Treaty that the European elections have no influence on the Commission, on the composition of the Commission. We need a European Commission that can be elected and voted out of office.
Colleagues, this report is a very substantial one. It may be those are right who say it is simply too much, too difficult to understand, not the right time, and too difficult to explain, especially when you have to fight against right-wing populists at home who instrumentalised the whole thing. I’m also aware that we have totally different debates in different Member States.
But those colleagues who are concerned, let me say: this is a very first step on a long road to go; a road that requires the consent of all Member States; that will include lengthy discussions. As in any compromise in this House, it is not a perfect report for anyone. Every political group had to make concessions, but at the end of the day, there are again two questions on the table.
First, do we want a convention? Second, do we think that this draft is a sufficient basis to open up a discussion? Not more, not less. For me, the answer to those questions is a very convinced yes.
Colleagues, we have no time to waste. Depending on the outcome of the next US election, Europe is only a little more than a year away from losing its nuclear umbrella. We need to wake up. We as Europeans need to grow up as a Union and grow up fast. The way to get there is through a reform of competences and institutions. Let us take the first step by voting for this report.
"
Sven SIMON,2023-10-18,DE,A true geopolitical Europe now (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-171-0000_DE.html,"  Sven Simon,  im Namen der PPE-Fraktion. – Frau Präsidentin, meine sehr geehrten Damen und Herren, Herr Außenbeauftragter! Sie haben zwar die Redezeit um 14 Minuten überzogen, aber gesagt haben Sie nichts, außer ein bisschen Gefasel. Meine Damen und Herren, Anfang des 20. Jahrhunderts waren die Europäer 20 Prozent der Weltbevölkerung. Heute sind wir noch 7 Prozent. Anfang 2050 werden wir 5 Prozent sein. Der afrikanische Kontinent wächst fast jede Woche um eine Million Menschen. Die anderen werden mehr, und wir werden weniger. 
Ökonomisch ist es auch nicht mehr so gut um uns bestellt. 90 Prozent des weltweiten Wachstums finden außerhalb Europas statt. Wir haben nur noch einen Anteil von 20 Prozent am globalen Bruttosozialprodukt. Deshalb hat der Kollege Stéphane Séjourné völlig recht: Es ist absolut dringlich, dass wir uns jetzt auf eine geopolitische Union verständigen.
Der ehemalige Außenminister Henry Kissinger hat einmal gefragt: Welche Telefonnummer muss ich eigentlich wählen, wenn ich Europa anrufen will? Ursula von der Leyen ist die erste Kommissionspräsidentin, der es gelungen ist, eine Antwort zu geben. Es ist klar: Man muss sie anrufen. Sie hat Europa ein Gesicht gegeben. Das ist auch gerade jetzt wieder im Umgang mit dem schrecklichen Angriff gegen Israel deutlich sichtbar geworden. Die Kommission muss politischer werden. Der Außenbeauftragte muss im Auftrag der Kommissionspräsidentin handeln und nicht zur eigenen Profilierung. Wir brauchen Mehrheitsentscheidungen im Rat, um nicht immer von einem Mitgliedstaat erpressbar zu sein. Wir müssen die Mittel in der Sicherheitspolitik deutlich erhöhen, um glaubwürdig agieren zu können.
Meine Damen und Herren, es brennt an unseren Grenzen, in der Ukraine, im Nordkosovo, in Bergkarabach und jetzt in Gaza. Wir Europäer müssen aufwachen, dass wir gemeinsam geschlossen als geopolitische Union wieder eine Rolle spielen in der Welt und nicht diese Situation verschlafen.
"
Sven SIMON,2023-10-03,DE,European Media Freedom Act (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-113-0000_DE.html,"  Sven Simon (PPE).   – Frau Präsidentin, sehr geehrte Kolleginnen und Kollegen! Das Medienfreiheitsgesetz ist ein wichtiger Schritt, um Pluralismus und Meinungsvielfalt in der europäischen Presselandschaft zu schützen.
Wir führen neue Regeln gegen Marktkonzentration im Medienbereich ein, europaweite Standards für den öffentlich-rechtlichen Rundfunk, besseren Quellenschutz für Journalisten durch ein Verbot des Einsatzes von Spionagesoftware. Natürlich ist das eine europäische Kompetenz und ein europäisches Thema.
Aber wie immer, wenn die Europäische Union etwas harmonisiert, gibt es – möglicherweise auch berechtigt – Sorge, dass funktionierende nationale Systeme durch unpassende Regeln überformt werden. In diesem Fall bin ich dennoch der Überzeugung, dass Journalisten in allen Mitgliedstaaten von diesem Gesetz profitieren werden. Denn fehlender Pluralismus in der Medienlandschaft ist ein Problem in mehr Mitgliedstaaten, als wir klischeeweise annehmen.
Ich bin Frau Kollegin Sabine Verheyen ganz besonders dankbar, dass sie mit so großer Erfahrung und einem klaren Blick dieses Gesetz gestaltet hat. Denn wenn ich hier höre, was von der rechtsradikalen Seite kommt, dann ist Medienfreiheit wirklich bedroht in Europa, sobald Rechte und Rechtsradikale an die Regierung kommen. Aber auch bei den Grünen ist Medienfreiheit und Pluralismus offensichtlich nicht in guten Händen.
Heute ist ein guter Tag für Pressefreiheit und Pressevielfalt. Vielen Dank, Sabine Verheyen und allen Kolleginnen und Kollegen, die so konstruktiv daran mitgearbeitet haben.
(Der Redner ist damit einverstanden, auf eine Frage nach dem Verfahren der ""blauen Karte"" zu antworten.)
"
Sven SIMON,2023-10-03,DE,European Media Freedom Act (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-115-0000_DE.html,"  Sven Simon (PPE),  Antwort auf eine Frage nach dem Verfahren der „blauen Karte“. – Ja, selbstverständlich, natürlich sollten wir uns das anschauen. Das wird sich ja auch angeschaut. Es ist ja alles transparent, es ist ja zugänglich, aber es gibt einen ganz großen Unterschied: Medienkonzentration.
Was die Frage anbelangt, welches Medium im Eigentum einer Person oder einer Gesellschaft steht, ist das eine. Die missbräuchliche Ausnutzung einer Monopolstellung und die Einschüchterung von Journalisten ist etwas anderes, und das findet bei Ihnen im Land in besonders schlimmer Weise statt.
"
Sven SIMON,2023-09-14,DE,"Parliamentarism, European citizenship and democracy (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-14-INT-4-035-0000_DE.html,"  Sven Simon (PPE).   – Herr Präsident, meine sehr geehrten Damen und Herren! Hier ist viel Kluges gesagt worden.
Ich will mal zwei Zitate herausgreifen. Das eine stammt von Herrn Kollegen Othmar Karas, der, wie ich finde, etwas sehr Kluges gesagt hat. Er hat gesagt: „Die Errungenschaften einer Generation können in der nächsten verloren gehen“, und das müssen wir immer im Kopf behalten. Ich werde immer eintreten für die liberale Demokratie. Und ich bin auch der Meinung, dass – in der Bewältigung der Pandemie – die liberale Demokratie unter Beweis gestellt hat, dass sie das überlegenere System ist gegenüber den autoritären Regimen, wie zum Beispiel in China, wo man die Leute viele, viele Monate mehr weggesperrt hat.
Dazu gehört allerdings auch, dass ich zutiefst davon überzeugt bin, dass die repräsentative, die parlamentarische Demokratie die Staatsform ist, mit der wir die besten Erfahrungen gemacht haben. Und deshalb müssen wir an verschiedenen Punkten vorsichtig sein. Das betrifft erstens die Bürgerbeteiligung. Natürlich kann man Bürger beteiligen und schlauer werden. Aber im Grunde rennen wir die ganze Zeit im Wahlkreis herum und beteiligen Bürger, deshalb Vorsicht. Zweitens: Bei der Krisenbewältigung haben wir es in Europa zu stark zugelassen, dass Entscheidungen getroffen wurden ohne Parlamentsbeteiligung.
Bei der Änderung der Geschäftsordnung gestern ist das freie Mandat und die parlamentarische Demokratie mit Füßen getreten worden. Sie wird geschwächt mit dem Quatsch, der da beschlossen worden ist. Und was wir auch nicht einfach so zulassen dürfen, ist, dass eine Kollegin sechs Monate weggesperrt wird, ohne dass die Immunität aufgehoben worden ist.
"
Sven SIMON,2023-07-12,EN,"Recommendations for reform of the European Parliament’s rules on transparency, integrity, accountability and anti-corruption (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-12-INT-3-408-0000_EN.html,"  Sven Simon (PPE).   – Madam President, dear colleagues, Benjamin Franklin is often credited with the quote: ‘Those who would give up liberty to purchase a little temporary safety deserve neither liberty nor safety.’
The same applies to the functioning of this House. Those who disregard the freedom of the mandate, those who aim to severely restrict it in order to have waterproof security against illegitimate influence, will ultimately harm this institution, this Parliament.
The resolution before us today has a serious impact on the functioning of the House. Members of Parliament should disclose their assets, and open—source checks will be introduced for employees. All this is suggested against a backdrop of very different political cultures within the EU. The disclosure of assets is common practice in some Member States – in others it constitutes an unthinkable infringement on fundamental rights. 
The resolution does not sufficiently take into account these differences. I fear that in practice its proposals will not lead to concrete improvements, but rather to plenty of opportunities for cheap headlines. 
What we must always keep in mind and take into account is that, in the Kaili case, a colleague, a network, infringed criminal law intentionally. We will not hinder that with any of the kind of proposals in this resolution. 
"
Sven SIMON,2023-07-12,DE,"India, the situation in Manipur",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-12-INT-3-468-0000_DE.html,"  Sven Simon,  Verfasser. – Frau Präsidentin, sehr geehrte Kolleginnen und Kollegen! Die Lage im Bundesstaat Manipur im Nordosten Indiens ist ernst. Seit Mai wurden bei Auseinandersetzungen zwischen zwei Volksgruppen, den überwiegend hinduistischen Meitei und den überwiegend christlichen Kuki, über 120 Menschen getötet. Über 50 000 Menschen sind auf der Flucht. Über 250 Kirchen, theologische Institute, christliche Schulen und Krankenhäuser wurden niedergebrannt, ohne dass die Täter von den lokalen Behörden daran gehindert wurden.
Wir fordern die indische Regierung auf, alles dafür zu tun, die Ordnung wiederherzustellen, die Täter zur Rechenschaft zu ziehen und die Gewaltexzesse zu stoppen. Wir möchten von dieser Stelle hier aus niemanden mit erhobenem Zeigefinger belehren. Mit dieser Entschließung des Europäischen Parlaments fordern wir von dem bevölkerungsreichsten Land der Welt nur ein, wozu es sich selbst in seiner Verfassung verpflichtet hat: die Wahrung der Religionsfreiheit, auch für die Christen in Manipur.
Eines hat mich bei den Verhandlungen mit den anderen Fraktionen in der Tat irritiert: wie schwer es doch den grünen und linken Kolleginnen und Kollegen fällt, zu benennen, dass Christen die Betroffenen sind! Man windet sich mit Plattitüden über Diskriminierungen allgemein und religiöse Intoleranz darum herum, das Offensichtliche zu benennen: Christenverfolgungen sind auch in der Gegenwart real, und es ist unsere Aufgabe, dafür zu kämpfen, dass sie weltweit aufhören, auch in Manipur.
"
Sven SIMON,2023-06-15,EN,"Composition of the European Parliament (A9-0214/2023 - Loránt Vincze, Sandro Gozi)  (vote)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-15-INT-4-093-0000_EN.html,"  Sven Simon (PPE).   – Mr President, colleagues, I think with this vote on the composition of the next Parliament, we send different messages in different Member States. In some Member States, increasing the number of seats will be understood as a free-for-all at the expense of the taxpayer. In other Member States, taking seats away from them will equally not be understood, and will strengthen Eurosceptics in these places.
As pro-Europeans, we can do two things at the same time: be mindful of our responsibility towards the taxpayers and stand in solidarity with our colleagues in the East and South-East who are affected by demographic changes. In our time, colleagues, European unity is more important than decimal points on a distribution scale. 
That is why I ask for the following amendment to Article 3(1): ‘The composition of the European Parliament remains as it is.’ 
I ask you to allow the vote on that amendment. Those who rise against it, rise against a solution that would unite us all.
"
