MP,Date,Language,Title,Url,Content
Svenja HAHN,2023-12-12,DE,EU-Taiwan trade and investment relations (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-088-0000_DE.html,"  Svenja Hahn (Renew).   – Herr Präsident! Die EU ist doch ein Leuchtfeuer, ein Leuchtfeuer für all jene, die nach Demokratie streben, und besonders jene, die von autokratischen Schatten bedroht werden. Denn im Konflikt Autokratie versus Demokratie müssen wir als EU unbeirrt an der Seite von Demokratien wie Taiwan stehen. Taiwan ist nämlich nicht nur ein wichtiger Handelspartner, sondern vor allen Dingen ein Wertepartner in der Region.
Ich finde, es ist höchste Zeit, dass wir endlich den politischen Mut finden, Gespräche für ein Freihandels- und Investitionsabkommen mit Taiwan aufzunehmen. Ich muss ehrlicherweise sagen: Ich finde, das Wegducken der Kommission bei diesem Thema wird immer unverantwortlicher.
Es ist doch aus der Zeit gefallen, die Zusammenarbeit mit Taiwan an ein Abkommen mit China knüpfen zu wollen, das, wie wir alle wissen, völlig zu Recht auf Eis liegt. Und als Erstes sollte die Kommission dafür vor allen Dingen mit unseren taiwanesischen Partnern ein Rahmenprogramm erarbeiten zur gezielten Förderung von Handels- und Investitionsbedingungen, damit wir Handel erleichtern, bürokratische Hemmnisse abbauen und Anerkennung von Abschlüssen, Lizenzen und Standards vereinfachen und dieses Potenzial heben.
Denn Taiwans Einbindung in internationale Organisationen, internationale Zusammenarbeit wird auch entscheidend für die Zukunft der Demokratie in der Region sein – essenziell für die Freiheit der Bürgerinnen und Bürger Taiwans, auch in Zukunft frei über ihre eigene Zukunft entscheiden zu können.
"
Svenja HAHN,2023-12-12,DE,European Economic Security Strategy (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-432-0000_DE.html,"  Svenja Hahn (Renew).   – Herr Präsident! Die Dekade der außen- und wirtschaftspolitischen Naivität ist vorbei. Wir müssen die Bedrohung durch Autokratien für unsere Demokratie, für unsere Gesellschaft, für unsere Wirtschaft bitterernst nehmen. Unsere Antwort darauf darf doch nicht sein, zu ähnlichen Methoden für unsere Systemrivalen zu greifen. Unsere Antwort darf nicht sein, unseren Binnenmarkt abzuschotten und Champions zu pampern, anstatt die Vielfalt unserer Wirtschaft mit ihren vielen kleinen und mittelständischen Unternehmen im Blick zu haben. Denn die Spirale aus Subventionen und Protektionismus ist pures Gift für fairen Wettbewerb und Wachstum. Unsere Antwort muss es doch sein, unseren Binnenmarkt zu stärken.
Von der Leyens Kommission muss vor allen Dingen auch zeigen, dass Bürokratieabbau mehr ist als ein Lippenbekenntnis in der Rede zur Lage der Union. Wir müssen geplante europäische Gesetze auf den Prüfstand stellen und bestehende verschlanken. Wir müssen neue Absatzmärkte durch mehr Freihandel ermöglichen, Zugang zu Energie und Rohstoffen durch mehr Partnerschaften ermöglichen. Denn wenn die Kommission ökonomische Sicherheit in Europa ernsthaft stärken will, dann darf sie Unternehmen nicht länger davon abhalten, stärker zu werden.
"
Svenja HAHN,2023-11-23,DE,International day for the elimination of violence against women (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-23-INT-4-051-0000_DE.html,"  Svenja Hahn (Renew).   – Herr Präsident! Kollegen, wir haben heute schon gehört, wie viele unterschiedliche Gesichter die Gewalt gegen Frauen und Mädchen hat. Ich möchte gerne vor allen Dingen heute über das Thema digitale Gewalt reden, denn jeden Tag werden Frauen auf Social Media beleidigt, belästigt und bedroht. Und diese Nachrichten dringen pfeilschnell in unsere Privatsphäre ein, denn wir alle haben unser Handy stets griffbereit.
Eine von zehn Frauen in der EU hat schon Belästigung online erlebt. Das ist eine schrecklich hohe Zahl, aber nicht schrecklich überraschend. Auch ich bin eine von ihnen, und ich würde darauf wetten, dass viele Kolleginnen hier auch schon Belästigung online erlebt haben, denn wenn Frauen exponiert sind, wenn sie eine starke Meinung vertreten, werden sie sehr schnell mit Anfeindungen und Belästigungen überzogen – insbesondere oft befeuert von politischen Parteien hier auf der rechten Seite des Hauses.
Wir dürfen nicht zulassen, dass Frauen sich aus öffentlichen Räumen zurückziehen, sich aus Debatten fernhalten, weil sie Angst haben müssen – Angst um ihre körperliche und mentale Gesundheit und ihre Sicherheit. Wir müssen Online-Belästigung genauso ernst nehmen wie jede Belästigung offline. Und wir müssen das vor allen Dingen mit aller Härte des Rechtsstaats verfolgen, denn eine lebendige Demokratie braucht starke weibliche Stimmen im Diskurs.
"
Svenja HAHN,2023-11-21,DE,EU/New Zealand Free Trade Agreement (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-198-0000_DE.html,"  Svenja Hahn (Renew).   – Frau Präsidentin! Mehr Handel mit mehr Partnern macht die EU unabhängiger, auch wenn hier viele linke Kollegen heute anderer Meinung sind. Es ist mehr Handel mit mehr Demokratien, der unsere Wirtschaft und die Demokratie weltweit stärkt. Freihandel mit Neuseeland wird unsere Wirtschaft und unsere Wertepartnerschaft wachsen lassen. Unsere EU-Exporte können um 4,5 Milliarden Euro jährlich steigen, unsere Unternehmen rund 140 Millionen an Zöllen sparen.
Das Freihandelsabkommen mit Neuseeland ist aber vor allem ein strategischer Erfolg. Es ist das Zeichen, dass die EU überhaupt noch in der Lage ist, Freihandelsabkommen abzuschließen. Deshalb muss dieser Erfolg vor allem ein Funke sein, der endlich eine Offensive für mehr Freihandel startet.
Ich erwarte von der Kommission ganz klar, dass sie Handelspolitik zu ihrer absoluten Toppriorität macht – insbesondere die Verhandlungen mit Australien und Indien. Und im Europäischen Parlament müssen wir noch in dieser Legislaturperiode die abgeschlossenen Handelsabkommen ratifizieren, allen voran das Mercosur-Abkommen – das sage ich hier so klar. Neuseeland darf nur der Anfang einer Offensive für mehr Freihandel sein. Denn die Zeit zu handeln ist jetzt.
"
Svenja HAHN,2023-11-09,EN,Outcome of the EU-US summit (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-09-INT-2-022-0000_EN.html,"  Svenja Hahn (Renew).   – Mr President, I believe the EU-US summit has shown very clearly that we stand united in our fight for democracy and against the autocrats of this world. But the transatlantic partnership is so much more than just standing against autocrats. It is also working closer together than we do with other partners. It is also growing together. And the best way to do so is by trade. And in that regard, the result of the summit has been disappointing.
And in the EU, just like in the US, we want to strengthen our economic security. More trade with more partners will make us less dependent and more trade with more democratic partners will make our economies and our democracy stronger. And the dispute remaining from the Trump tariffs needs to be solved by the end of this year. We need to see the promised agreement on sustainable steel and aluminium, and we need to see an agreement on critical minerals to ensure fair competition for European companies. Let us strengthen the transatlantic partnership by abolishing tariffs, foster more cooperation through the Trade and Technology Council, and let us work towards a vision for EU-US free trade agreement. 
"
Svenja HAHN,2023-10-04,DE,"Need to complete new trade agreements for sustainable growth, competitiveness and the EU’s strategic autonomy (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-373-0000_DE.html,"  Svenja Hahn (Renew).   – Frau Präsidentin! Wer „strategische Unabhängigkeit“ sagt, meint oft Protektionismus. Dabei ist Handel mit mehr Partnern die strategische Unabhängigkeit, die wir brauchen, vor allem von autokratischen Regimen. Denn Wohlstand entsteht nicht durch Subventionen, Wohlstand entsteht durch Wettbewerb.
Deshalb müssen wir jetzt auch auf die Bremse treten bei zusätzlicher Bürokratie. Die EU muss attraktiver werden für Investitionen in die Zukunft und Ideen, die groß werden können. Denn wir dürfen nicht vergessen: Die EU ist keine außenpolitische Macht. Die Stärke unseres Binnenmarktes bestimmt unsere Rolle in der Welt, und der Fokus der letzten Jahre im Handel auf Defensive statt Offensive hat viele unserer Partner vor den Kopf gestoßen.
Ich will, dass die EU ein verlässlicher Partner ist. Deshalb müssen wir jetzt den Turbo für Wirtschaftswachstum zünden; deswegen erwarte ich auch von der Kommission Hochdruck bei laufenden Verhandlungen wie mit Indien oder Australien. Im Parlament müssen wir noch in dieser Wahlperiode die abgeschlossenen Handelsabkommen ratifizieren, insbesondere mit Neuseeland und dem Mercosur. Wir brauchen jetzt eine Offensive für mehr Handel, für strategische Unabhängigkeit der Europäischen Union.
"
Svenja HAHN,2023-10-02,DE,Economic coercion by third countries (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-02-INT-1-132-0000_DE.html,"  Svenja Hahn,  Verfasserin der Stellungnahme des mitberatenden Ausschusses für Binnenmarkt und Verbraucherschutz. – Frau Präsidentin, liebe Kollegen! Wir wissen sehr genau: Der Konflikt unserer Zeit ist Autokratie versus Demokratie. Das sehen wir in der Außenpolitik, in der Digitalpolitik, aber ganz besonders in der Wirtschaftspolitik. Autoritäre Länder wie Russland oder China bauen gezielt Abhängigkeiten auf, um sie dann als Waffe gegen uns nutzen zu können. Wir brauchen eine starke Handelsoffensive. Wir brauchen mehr Handel mit mehr Partnern, damit wir eben nicht von einzelnen Ländern abhängig sind.
Wir brauchen aber auch eine starke Defensive. Wir müssen uns als EU wehren können, wenn autoritäre Länder Druck auf uns ausüben – Druck auf unsere Unternehmen, auf einzelne Länder oder auf die gesamte EU ausüben. Wenn Länder sich nicht mehr an die Regeln halten, wenn Handel nicht mehr ein Instrument von Zusammenarbeit ist, dann müssen wir als EU unsere wirtschaftlichen Interessen verteidigen – selbstbewusst und unmissverständlich.
Deswegen werde ich auch dem Instrument gegen Zwangsmaßnahmen zustimmen. Denn als Liberale werde ich immer dafür kämpfen, dass die Stärke des Rechts gewinnt und nicht das Recht des Stärkeren. Denn der Zusammenarbeit von Autokratien und ihren gezielten Angriffen gegen uns Demokratien müssen wir entschlossen entgegenstehen. Die Grundlage einer Allianz der Demokratien ist für mich die Geschlossenheit der Europäischen Union. Und es ist auch unsere gemeinsame Entschlossenheit, mit der wir Demokratie, Freiheit und den regelbasierten Freihandel verteidigen.
"
Svenja HAHN,2023-09-13,EN,"Human rights situation in Bangladesh, notably the case of Odhikar",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-396-0000_EN.html,"  Svenja Hahn,  on behalf of the Renew Group. – Mr President, colleagues, you mentioned it: the human rights situation in Bangladesh is deteriorating. We see reports on extrajudicial killings and forced disappearances and restriction on freedom of expression. The decade-long case against Odhikar is such an example. We see human rights defenders and the opposition being oppressed ahead of the elections next year. 
It is this serious violation of international conventions that has led to the EU and Bangladesh being in an enhanced engagement on the current trade preferences. The minimum criteria for preferential access to the single market is meeting international human rights standards. Therefore, we must see Bangladesh comply with ILO core standards and they must guarantee free and fair elections in 2024. 
The human rights commitments in order to gain EU trade preferences are not just a checkbox to cross off once. I expect the Commission to work closely with Bangladesh to live up to their current human rights obligation, and in order to meet further commitments under the soon-to-be-revised GSP scheme, because if the human rights situation does not improve, we must draw the conclusions also on the trade side. 
"
Svenja HAHN,2023-09-12,DE,Single market emergency instrument (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-183-0000_DE.html,"  Svenja Hahn (Renew).   – Frau Präsidentin! Wir sprechen hier über das Binnenmarkt-Notfallinstrument. Der Name sagt es, es soll um Notfälle gehen. Da sind viele gute Dinge drin, aber eine Sache möchte ich sehr klar ansprechen: Unter dem Stichwort der Krisenbewältigung wird es der EU-Kommission möglich sein, oder soll es ihr möglich sein, in die Produktion in der EU einzugreifen.
Die Kommission will Produktionsaufträge priorisieren oder Unternehmen vorschreiben, strategische Reserven anzulegen. Das wären massive Eingriffe in die Marktwirtschaft. Das wären vor allen Dingen auch unverhältnismäßige Eingriffe und es wären unnötige Eingriffe. Denn wir haben in der Corona-Krise gesehen, wie Kleidungsunternehmen Masken produziert haben, wie Destillen Desinfektionsmittel statt Drinks hergestellt haben. Wir müssen Unternehmen nicht politisch vorschreiben, wie Verantwortung geht. Wir müssen es ihnen leichter machen, dieser Verantwortung auch nachzukommen und sie umzusetzen. Wir müssen Europa im Krisenfall handlungsfähig halten. Deshalb finde ich auch Maßnahmen wie die Sofortmaßnahmen, wie die Fast Lanes oder die Schnellzulassung für kritische Güter gut oder auch die temporäre Aussetzung von produktspezifischen Regeln.
Aber ich muss ganz klar sagen, ich stelle mich entschieden gegen Eingriffe in die Marktwirtschaft durch staatliche Produktionsvorgaben für Unternehmen. 
"
Svenja HAHN,2023-07-13,DE,Global Convergence on Generative AI (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-13-INT-4-053-0000_DE.html,"  Svenja Hahn (Renew).   – Herr Präsident, liebe Kollegen! Das Potenzial von künstlicher Intelligenz ist so groß, das können wir uns heute noch gar nicht vorstellen. Mit dem KI-Gesetz wollen wir deshalb vor allen Dingen einen Rahmen setzen: Welche Art von Anwendungen wollen wir in einer liberalen Demokratie haben? Wenn wir damit ein Gesetz schaffen, das für alle Zeit alle möglichen Herausforderungen abdecken wird – nein. Müssen wir das machen? Nein! Ich glaube, wir müssen eher gucken: Wie sieht die technologische Entwicklung aus? Gibt es tatsächliche Gesetzeslücken? Und dann müssen wir die schließen.
Aber genau das Gegenteil habe ich erlebt, als ChatGPT immer größer wurde. Da wurde sehr schnell der Ruf sehr laut, dass wir generative KI möglichst streng regulieren müssen, am besten vielleicht sogar noch verbieten, denn man wüsste ja nicht genau, was man damit machen kann, und das wäre ja hochgefährlich.
Liebe Kollegen, aus Angst nach Verboten zu rufen, das sollten wir nicht tun. Wir sollten doch lieber gucken: Wie können wir zum Fortschrittskontinent werden? Wie können wir Offenheit für Technologie und Freude an Innovation so nutzen, dass es uns als Gesellschaft ausmacht, dass es uns kennzeichnet, dass wir durch Fortschritt auch unseren Wohlstand sichern?
Aber wir dürfen natürlich auch nicht naiv sein. Wir dürfen nicht unsere Augen verschließen davor, dass Chance auch immer mit einem Risiko daherkommt. Denn in dem Konflikt unserer Zeit – Autokratie versus Demokratie – wird der Umgang mit Technologie ganz entscheidend sein. Wird KI ein Mittel, das unser Leben erleichtert? Hilft generative KI mir in meinem Job, macht sie mir Kochvorschläge oder hilft sie mir bei der Urlaubsplanung? Oder wird künstliche Intelligenz ein Mittel zur Unterdrückung der Bevölkerung, wie wir das in China sehen? Wird generative KI zum Brandbeschleuniger für Desinformation und für einen Angriff auf Demokratie?
Ich glaube, unser Ziel muss es sein, dass es die Demokratien sind, die den Maßstab setzen, wie wir als Gesellschaft das Potenzial künstlicher Intelligenz nutzen wollen. Dafür ist es meiner Meinung nach absolut essenziell, dass wir mit unseren internationalen Partnern vorangehen. Die Zusammenarbeit wie beim Hiroshima AI Process oder der Verhaltenskodex von Kommissarin Vestager oder der Vorstoß von Kommissarin Jourová sind dafür wichtige Initiativen. Ich bin überzeugt, ein gemeinsamer globaler Rahmen zu generativer KI wäre ein echter Meilenstein für eine demokratisch geprägte technologische Zukunft.
"
