MP,Date,Language,Title,Url,Content
Sylvia LIMMER,2023-12-14,DE,"Outcome of the UN Climate Change Conference 2023 in Dubai, United Arab Emirates (COP28) (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-14-INT-4-033-0000_DE.html,"  Sylvia Limmer (ID).   – Herr Präsident! Wie wären eigentlich die 70 000 Teilnehmer der Klimakonferenz ohne fossile Energiequellen nach Dubai gekommen? Wohl kaum mit dem Lastenfahrrad. Es ist also auch für die Klima-Berufsheulsusen gut, dass kein verbindlicher Ausstieg aus fossilen Energieträgern beschlossen wurde und Kernenergie als Lösung gesehen wird. Beide sind sowohl Primärenergiequellen als auch jederzeit bedarfsgerecht verfügbar, ganz im Gegensatz zu elektrischer Energie oder den sogenannten volatilen Erneuerbaren.
Übrigens wird – abhängig vom atmosphärischen CO2-Gehalt – über die Hälfte der anthropogenen CO2-Emissionen von Pflanzen oder Ozeanen resorbiert. Selbst wenn man also die absurde Idee hat, CO2 sei der alleinige Klimatreiber, bedeutet Netto-Null eben nicht null menschliche Emissionen. Zu dieser Erkenntnis bedürfte es aber zumindest einer basalen naturwissenschaftlichen Intelligenz. Die kann ich leider bei der Majorität nicht erkennen.
"
Sylvia LIMMER,2023-12-12,DE,European Health Data Space (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-168-0000_DE.html,"  Sylvia Limmer (ID).   – Frau Präsidentin! Diese Verordnung zum Europäischen Raum für Gesundheitsdaten mit ihrer zwangsdigitalen Patientenakte ist die Pervertierung jeglichen Datenschutzes, der eigentlich für das Sammeln personenbezogener Daten eine aktive Zustimmung vorsieht. Es ist eine politische Kastration der Mitgliedstaaten, wenn nationale Gesundheitspolitik durch eine totalitäre Datenkrake Brüssel ersetzt wird. Es ist das Ende der ärztlichen Schweigepflicht und eine Entmündigung aller Bürger ohnegleichen, wenn neben sämtlichen medizinischen Behandlungen, Behinderungen, psychischen Leiden oder Impfungen – macht es klingelingeling? – auch – wörtlich – Beobachtungen zum sozialen Hintergrund, beruflichen Status, Bildung, Lebensstil, Verhaltensdaten zum Beispiel aus Wellnessanwendungen oder medizinische Warnungen ohne jegliches Widerspruchsrecht verbunden mit ihrem Namen und Wohnort gespeichert werden.
Sind sie zu dick, zu dünn, trinken Wein, rauchen oder sind anderweitig nicht brav? Brüssel und die halbe Welt wissen es in Zukunft, und eine nicht gewählte Kommission kann jederzeit neu zu erhebende Daten hierzu erfinden. Selbst Daten, die vor Inkrafttreten der Patientenakte erhoben wurden, können nachträglich eingearbeitet werden. Wer Gesundheitsberufen den Zugang zu seinen Daten beschränkt, der soll mit der Einschränkung der ärztlichen Haftung bestraft werden. Und der Widerspruch zur sogenannten Sekundärnutzung, also zur unkontrollierten Weitergabe der gesammelten Daten an Politik, Forschung und Big Pharma, ist löchrig wie Schweizer Käse, denn zum Schutz von anderen Personen – COVID lässt hier schön grüßen – und bei anderweitigen Notständen, die die Kommission ausruft, ist Schluss damit – Notstände wie eine Beeinträchtigung wirtschaftlicher Vermögenswerte der Union oder die Klimakrise.
Es ist nicht nur das Ende unserer Krankenkassen-Solidargemeinschaft und der Anfang einer Selber-Schuld-Medizin. Diese Verordnung hat alles, was es braucht, um Bürger in Zukunft wie unreife Mündel zu erziehen. Zeigen wir Brüssel endlich die rote Karte.
"
Sylvia LIMMER,2023-11-22,DE,Sustainable use of plant protection products (A9-0339/2023 - Sarah Wiener)  (vote),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-22-INT-3-126-0000_DE.html,"  Sylvia Limmer,  im Namen der ID-Fraktion. – Frau Präsidentin! Ich möchte das auf Deutsch ausführen. Es geht um unseren Änderungsantrag 376 Teil 2, für den unsere ID-Fraktion eine namentliche Abstimmung beantragt hat, und zwar fristgerecht. Und in dieser aktuellen Liste, die im Übrigen erst heute Vormittag – das ist eigentlich skandalös – die erst heute Vormittag tatsächlich herumgegangen ist, ist das nicht aufgeführt, und deshalb beantrage ich, dass diese namentliche Abstimmung noch eingefügt wird.
"
Sylvia LIMMER,2023-11-21,DE,Sustainable use of plant protection products (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-015-0000_DE.html,"  Sylvia Limmer,  im Namen der ID-Fraktion. – Frau Präsidentin, Frau Kyriakides, werte Kollegen! Der vorliegende Vorschlag der EU-Kommission zur Verwendung von Pflanzenschutzmitteln hätte katastrophale Folgen nicht nur für die deutschen Landwirte. Und in noch stärkerem Maße trifft dies für die vom Ausschuss erarbeitete Version zu.
Nicht nur mich haben unzählige Zuschriften zu Recht erboster Landwirte erreicht, die schlicht um ihre Existenz bangen. Pauschale Verbote in sogenannten Schutzgebieten, die beispielsweise in Nordrhein-Westfalen auf 90 % der Ackerflächen zuträfen. Statt Entwicklung von modernen Applikationstechniken die weitere Ausweitung der bereits jetzt erdrückenden Dokumentationspflichten und Rechtfertigungspflichten, die gut ausgebildete Landwirte zu Befehlsempfängern von legislativen Technokraten degradieren. Es wäre das Ende für viele landwirtschaftliche Betriebe.
Daher insbesondere mein Appell an meine deutschen Kollegen von der CDU/CSU, aber natürlich auch an die gesamte EVP-Fraktion: Stimmen Sie für unseren ID-Antrag auf Ablehnung, wenn Sie nicht Teil der grünen Mogelpackung bleiben wollen! Denn bisher haben Sie leider begeistert für den Grünen Deal und die Strategie „Vom Hof auf den Tisch“ gestimmt und diese fatale Entwicklung mit Ihrer Mehrheit erst möglich gemacht.
Heute zeigt sich also mehr denn je, ob für Sie Sachpolitik und das Anliegen der Landwirte und unsere Ernährungssicherheit über Ihrer Doktrin der Parteiideologie stehen. Und, Frau Wiener: Ihr plumpes Angstschüren, als wären unsere heimischen Lebensmittel pures Gift, ist einfach nur peinlich. Dank Ihnen würde ein Großteil unserer Lebensmittel in Zukunft aus Drittstaaten mit zweifelhafter Herkunft kommen.
"
Sylvia LIMMER,2023-11-08,DE,Type-approval of motor vehicles and engines with respect to their emissions and battery durability (Euro 7) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-08-INT-1-219-0000_DE.html,"  Sylvia Limmer,  im Namen der ID-Fraktion. – Herr Präsident, Frau Kommissarin, werte Kollegen! Gleich vorneweg: Der Kommissionsvorschlag zu den Euro-7-Normen ist völlig inakzeptabel. Reicht Ihnen denn die Abschaffung der Autoindustrie in der EU ab 2035 nicht? Wollen Sie den Termin auf 2025 vorverlegen?
Der heute zur Abstimmung stehende Vorschlag aus dem Ausschuss ist zwar besser, aber eben nicht gut. Mir geht es jetzt auch nicht um einzelne Inhalte – ein eh schwieriges Unterfangen in lächerlichen 90 Sekunden, die einem dafür zur Verfügung stehen –, sondern darum, dass es ein Skandal ist, dass wir Marktliberale, wir Konservative uns von einer Minderheit links-grün woker Wohlstandsvernichter, von ideologisch-politischen Abdeckern unserer Wirtschaft und unserer Freiheit am Nasenring durch die politische Arena schleifen lassen.
Sollen wir einem zwar abgemilderten, aber immer noch schlechten Vorschlag zustimmen, um noch schlechteren grünideologischen Unsinn zu verhindern? Begnügen wir uns also mit schlechter Politik um des Kompromisses willen? Dafür sind wir nicht gewählt worden. In Umkehrung des hier allseits beliebten Spruches sollte es besser heißen: „Let‘s leave those green socialists behind.“ Wir müssen diesen gefährlichen grün-sozialistischen Utopisten kategorisch die rote Karte zeigen, wenn wir nicht unsere wirtschaftliche Zukunft – und dazu zählt auch unsere Autoindustrie – verspielen wollen.
"
Sylvia LIMMER,2023-10-19,DE,European protein strategy (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-19-INT-4-067-0000_DE.html,"  Sylvia Limmer (ID).   – Herr Präsident! Nun glaubt man in Brüssel, sich einer Proteinstrategie annehmen zu müssen. Und auch wenn der vorliegende Entwurf an vielen Stellen durchaus vernünftig ist, habe ich prinzipiell Folgendes dazu zu sagen. Erstens: Es gilt immer noch das Subsidiaritätsprinzip – zumindest theoretisch. Zweitens: Insekten als Nahrung über die Köpfe der Bürger hinweg legislativ durchzudrücken, ist auch aus hygienischer und gesundheitlicher Sicht kategorisch abzulehnen und noch nicht einmal nachhaltig. Drittens: Das gilt auch für im Labor gezüchteten Zellmatsch.
Das heißt also, viertens: Wenn Sie, liebe Grün-Link-Gelb-Schwarze, kauend die Welt retten wollen, dann gehen Sie doch zum Grasen auf die Wiese, aber lassen Sie gefälligst meinen Teller in Ruhe! Und zu guter Letzt: Der rosa Elefant im Raum ist nicht die Abhängigkeit oder die Welternährung, sondern die steigende Weltbevölkerung. Aber nicht hier in Europa, hier explodieren nur die illegalen Migrationszahlen – kümmern Sie sich doch um die.
"
Sylvia LIMMER,2023-10-19,DE,Generational renewal in the EU farms of the future (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-19-INT-4-099-0000_DE.html,"  Sylvia Limmer (ID).   – Herr Präsident! Nun, woran könnte es liegen, dass uns die Junglandwirte ausgehen und der Generationswechsel in der Landwirtschaft nicht so richtig klappt? Was dagegen hervorragend funktioniert, ist das Höfesterben.
Gehen Sie doch mal raus, liebe Kollegen, machen Sie sich die Lack- und Lederschuhe mit Stallmist schmutzig! Wie erzählte mir kürzlich ein Landwirt: Ich behalte einfach genug Land für meine eigene Versorgung, den Rest verpachte ich an die Windindustrie – das dürfte Ihnen gefallen –, die Jungen sollen was anderes lernen, und was die grünen Städter essen, ist mir wurscht. Das dürfte Ihnen dann weniger gefallen.
Eine katastrophale Gängelung der Landwirte durch die Strategie „Vom Hof auf den Tisch“, Formularkrieg, Behördenwahnsinn, Verbote beim Düngen, beim Pflanzenschutz, bei der Tierhaltung und vielem mehr – und jetzt der Landwirt als CO2-Gärtner. Kurzum: Sie, die den Landwirt zu Ihrem Prügelknaben gemacht haben, und Ihre Politik sind das Problem.
"
Sylvia LIMMER,2023-10-18,DE,"The despicable terrorist attacks by Hamas against Israel, Israel’s right to defend itself in line with humanitarian and international law and the humanitarian situation in Gaza (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-044-0000_DE.html,"  Sylvia Limmer (ID).   – Herr Präsident, werte Kollegen! Das feige, hinterhältige Massaker der palästinensischen Hamas an israelischen Zivilisten ist auch ein Angriff auf unsere westliche Zivilisation, auf Werte wie Toleranz und Miteinander. Es ist ein Angriff auf unser aller religiöses Erbe. Aber hier, in der EU, stehen Sie nur mit bloßer Symbolpolitik und hohlen Worten an Israels Seite. Schlimmer noch! Indem Sie nicht müde werden, Israel zur Einhaltung der Menschenrechte anzumahnen, relativieren Sie nicht nur den Horror der Terrorattacke und betreiben schäbige Opfer-Täter-Umkehr, sondern ignorieren, dass es der arabisch-muslimische, palästinensisch-libanesische, syrische und vor allem iranische Mullah-Hass ist, der den Staat Israel von der Landkarte tilgen will.
Und Sie? Erhöhen stattdessen sogar die Zahlungen an eine die Allahu-Akbar-Terrorbrut unterstützende Palästinensische Autonomiebehörde. Es ist dies die moralische Bankrotterklärung eines tief sitzenden linken Antisemitismus. Ich schäme mich zutiefst für diese EU.
"
Sylvia LIMMER,2023-10-05,DE,Urban wastewater treatment (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-05-INT-4-047-0000_DE.html,"  Sylvia Limmer (ID).   – Herr Präsident, verehrte Kollegen! Generell ist eine Richtlinie über kommunales Abwasser sinnvoll. Nur, was hat sie in den Händen einer EU-Kommission zu suchen? Diese vom Bürger bestens alimentierten Technokraten müssen nicht die milliardenschweren Mehrkosten, die eine unsinnige und flächendeckende vierte Reinigungsstufe verursacht, fürchten; es ist jedoch katastrophal für die Bürger, die bereits jetzt durch den Grünen Deal, Preistreiberei und Inflation an den Grenzen ihrer monetären Belastbarkeit oder darüber hinaus angelangt sind.
Aber genau das ist ja auch der eigentliche Grund für die Neufassung der Richtlinie: Der Energieneutralitätsschwachsinn soll bis 2040 nun auch den Kläranlagen übergestülpt werden. Die Realität, dass innerhalb der EU erhebliche Unterschiede bei der Abwasserbehandlung zwischen den Mitgliedstaaten bestehen, und das eigentliche Problem, nämlich Leckagen in einer maroden Kanalisation, interessieren hier niemanden. Letzteres lässt sich ja auch prima als landwirtschaftliche Bodenbelastung den Landwirten in die Schuhe schieben. Also alles wie immer.
"
Sylvia LIMMER,2023-10-04,DE,The proposed extension of glyphosate in the EU (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-270-0000_DE.html,"  Sylvia Limmer (ID).   – Herr Präsident, Frau Kommissarin, verehrte Kollegen! Seit Jahrzehnten machen immer aggressiver auftretende Anti-Glyphosat-NGOs Stimmung gegen die Anwendung von Glyphosat. Nicht selten sind diese Lobbygruppen fürstlich von der Biobranche alimentiert, die sich so der lästigen Konkurrenz entledigen möchte.
Dabei ist Glyphosat nicht nur mit fast 50 Jahren in der Anwendung das dienstälteste Pflanzenschutzmittel, sondern auch das bestuntersuchte. Es ist daher nicht verwunderlich, dass sowohl die EFSA als auch die Europäische Chemikalienagentur nach der Auswertung von 2 400 Studien – das ist beispiellos – zu dem Schluss kamen, dass es keinerlei Karzinogene, Mutagene, Teratogene oder neurotoxischen Wirkungen gibt.
Außerdem fehlt schlicht eine äquivalente Alternative. Bei einem Verbot von Glyphosat bliebe nur die mechanische Unkrautbekämpfung, die nicht nur wirtschaftlich nicht vertretbar wäre. Und an die lieben Grünen: Es gilt immer: „Die Dosis macht das Gift.“ Selbst Wasser wirkt letal, Sie müssen einfach nur genug davon inkorporieren. Toxisch sind dagegen viele im Biolandbau zugelassenen Substanzen, zum Beispiel das erwiesenermaßen auch für den Menschen neurotoxische Pyrethrin. Es tötet auch zuverlässig die Verwandten von Biene Maja und Onkel Willi.
Es bleibt also zu hoffen, dass die Kommission ihren eigenen Leitspruch „Follow the science“ befolgt und Glyphosat die Wiederzulassung erteilt.
"
