MP,Date,Language,Title,Url,Content
Sylvie BRUNET,2023-09-14,FR,Improving firefighters’ working conditions (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-14-INT-4-092-0000_FR.html,"  Sylvie Brunet,  au nom du groupe Renew. – Madame la Présidente, Madame la Commissaire, chers collègues, merci au président de notre commission de l’emploi, Dragoş Pîslaru, d’avoir eu l’idée de mettre le sujet des conditions de travail de nos pompiers à l’ordre du jour. Nous le savons, c’est un métier exigeant en termes d’exposition à des substances dangereuses, en termes de santé mentale, de santé physique et, avec le changement climatique, malheureusement, de plus en plus d’interventions, tous les étés, tous les ans, et donc des dangers accrus. 
Dans ce contexte, nous attendons de la Commission et du Conseil des initiatives pour mieux protéger et soutenir nos pompiers en Europe. Quelles sont nos propositions? Des standards européens, nous l’avons dit, pour les équipements, qui doivent être modernisés et adaptés aux situations de crise intense; davantage d’échanges entre les États membres en matière de formation – on pourrait réfléchir au développement d’un centre d’excellence européen dans le domaine de la protection civile; une surveillance médicale adéquate, accrue, avec un protocole de décontamination, puisque les pompiers sont particulièrement exposés aux substances dangereuses telles que le plomb et l’amiante – les textes sur lesquels nous travaillons vont être importants à cet effet; susciter davantage de vocations en améliorant leurs conditions de travail et en promouvant l’engagement volontaire en Europe; et enfin, renforcer les capacités de la réserve RescEU pour mieux lutter ensemble contre les catastrophes. 
"
Sylvie BRUNET,2023-09-11,FR,Order of business,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-11-INT-1-038-0000_FR.html,"  Sylvie Brunet,  au nom du groupe Renew. – Madame la Présidente, chers collègues, au nom du groupe Renew, je souhaite demander, selon l’article 158 du règlement, un vote sur un ajout à l’ordre du jour en cette ouverture de session. Notre groupe souhaiterait proposer l’ajout d’une déclaration du Conseil et de la Commission sur l’aide aux plus démunis dans le contexte d’une précarité croissante en Europe, sans résolution. Le débat serait ajouté mercredi après-midi comme cinquième point. En conséquence, la session serait prolongée d’une heure.
Pourquoi cette demande, chers collègues? Dans plusieurs États membres, la situation devient alarmante pour de nombreuses associations d’aide aux plus démunis. Avec l’inflation des prix alimentaires, les demandes d’aide explosent, et par ailleurs les coûts de fonctionnement augmentent, avec des coûts croissants pour l’énergie notamment. Enfin, les dons diminuent malheureusement, ou ne suffisent plus.
Tous les indicateurs sont au rouge, les chiffres sont alarmants et les associations qui fournissent une aide alimentaire accueillent des bénéficiaires qu’elles ne voyaient pas auparavant: des personnes âgées, des familles monoparentales, des étudiants, des chômeurs, des réfugiés ukrainiens. Le problème est tel que certaines demandes ne peuvent plus ou ne pourront plus être honorées. Au nom de Renew Europe, je pense que cette question mérite débat et qu’elle requiert une déclaration de la Commission et du Conseil.
"
Sylvie BRUNET,2023-07-12,FR,Putting the European economy at the service of the middle class (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-12-INT-3-288-0000_FR.html,"  Sylvie Brunet (Renew).   – Monsieur le Président, Monsieur le Commissaire, chers collègues, aujourd’hui en 2023, face au risque de pauvreté et d’exclusion sociale qui progresse, face aux crises qui fragilisent les Européens, les classes moyennes ne sont pas épargnées. Je suis frappée de voir que différentes enquêtes récentes révèlent la peur de nos concitoyens de tomber dans la pauvreté et leurs inquiétudes sur le pouvoir d’achat. 
À ces grandes crises s’ajoutent les grandes mutations dans le monde du travail, dues à l’automatisation et ses conséquences sur l’emploi. Donc, plus que jamais, nous devons défendre une Europe sociale et inclusive, s’appuyant sur les 20 grands principes du socle européen des droits sociaux, avec des emplois de qualité, des salaires décents, des conventions collectives bien négociées, la lutte contre la précarité énergétique.
Nous devons aussi rappeler tous les programmes sur lesquels nous avons voté au cours de cette mandature, tels que le plan de relance, le pacte vert, le Fonds social pour le climat, la réindustrialisation de l’Union européenne, les plans de reconversion et de perfectionnement professionnel.
Enfin, en cette Année européenne des compétences, il faut plus que jamais investir sur les compétences pour permettre à nos concitoyens de s’adapter aux métiers de demain. 
"
Sylvie BRUNET,2023-02-14,FR,Council of Europe Convention on preventing and combating violence against women and domestic violence: EU accession (continuation of debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-02-14-INT-2-178-0000_FR.html,"  Sylvie Brunet (Renew).   – Madame la Présidente, Madame la Commissaire, vous souvenez-vous de cette phrase célèbre de Hillary Clinton, aux Nations unies: «Les droits des femmes sont des droits de l’homme»?
Eh bien, six États membres n’ont toujours pas ratifié la convention d’Istanbul, dont la Lettonie, dont nous accueillions le président tout à l’heure, qui a rappelé l’importance de l’état de droit. Or, les droits des femmes font partie de l’état de droit.
Alors, à l’heure où nous travaillons activement sur la directive pour lutter contre les violences faites aux femmes, notamment dans le monde du travail – Madame la Commissaire, vous l’avez rappelé –, nous sommes passés de 11 à 31 % de violences au travail.
À l’heure où nous réaffirmons l’importance des droits sexuels et reproductifs, auxquels nous sommes très attachés, particulièrement dans le groupe Renew Europe, nous comptons sur la présidence suédoise pour avoir le courage de proposer enfin la ratification par l’Union européenne de la convention d’Istanbul.
"
Sylvie BRUNET,2022-12-13,FR,Prospects for the two-State solution for Israel and Palestine (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-12-13-INT-2-423-0000_FR.html,"  Sylvie Brunet (Renew).   – Monsieur le Président, chers collègues, je réaffirme mon soutien à une solution du conflit israélo-palestinien fondée sur la coexistence de deux États – c’est bien le sens de cette résolution. La violence ne peut qu’entraîner la violence et je la condamne, de quelque côté qu’elle vienne. Je pense fortement que le droit international doit être vraiment respecté, particulièrement la résolution 2334 du Conseil de sécurité des Nations unies, qui condamne l’extension des colonies en Palestine de la part de l’État d’Israël.
L’Union européenne peut, et doit, jouer un rôle actif et majeur pour l’obtention d’une paix durable, j’en suis absolument convaincue. Cette conférence de paix internationale est vraiment à organiser rapidement. Une autre enceinte d’action est l’Assemblée parlementaire de l’Union pour la Méditerranée, dont je fais partie. La stratégie «Global Gateway» est également importante. Les fonds européens que nous donnons sont aussi évalués, donc il faut absolument maintenir cette aide.
"
Sylvie BRUNET,2022-11-23,FR,Eliminating violence against Women (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-11-23-INT-3-188-0000_FR.html,"  Sylvie Brunet (Renew).   – Madame la Présidente, Madame la Commissaire, Monsieur le Ministre, mes chers collègues, je voulais vraiment saluer une nouvelle fois le travail accompli, Madame la Commissaire, sur cette proposition de directive extrêmement importante pour nous toutes et nous tous. 
En France, depuis le début de l’année, 118 femmes sont décédées sous les coups de leur conjoint ou de leur compagnon. C’est une situation absolument atroce. Je voulais vous dire aussi que je vais particulièrement insister sur le sujet des violences faites aux femmes sur les lieux de travail, puisque nous allons travailler à ce sujet en commission de l’emploi et des affaires sociales. Cela me semble un point majeur, car comment les femmes peuvent-elles briser le plafond de verre si elles ne sont pas en sécurité sur leur lieu de travail, où elles passent des heures? 
Enfin, je voulais vous dire que j’ai eu la chance la semaine dernière de rencontrer la directrice des programmes aux Nations unies, à l’ONU Femmes, sur l’égalité des genres et que le monde attend beaucoup de nous, de l’Europe, de nos propositions en matière de lutte contre les violences faites aux femmes. Et, Monsieur le Ministre, on attend aussi beaucoup de votre présidence pour faire avancer le sujet.
"
Sylvie BRUNET,2022-10-19,FR,Fighting sexualised violence - The importance of the Istanbul Convention and a comprehensive proposal for a directive against gender-based violence (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-10-19-INT-3-301-0000_FR.html,"  Sylvie Brunet (Renew).   – Madame la Présidente, Madame la Commissaire, merci pour cette directive ambitieuse visant à lutter contre les violences sexistes, même si elle doit être améliorée, notamment sur les questions de harcèlement sexuel au travail, de formation des professionnels en contact avec les victimes et de la situation des personnes handicapées. Ce sont des combats prioritaires que je vais essayer de mener en tant que rapporteure fictive pour mon groupe au sein de la commission de l’emploi.
Au-delà des avancées nécessaires que va apporter cette directive, je me demande comment et pourquoi, en 2022, la convention d’Istanbul n’est toujours pas ratifiée par six États membres et donc par l’Union européenne, alors que sept femmes par jour meurent sous les coups de leur partenaire en Europe et que les violences continuent.
Nous attendons donc beaucoup de la présidence tchèque, qui n’est hélas pas présente, du Conseil et de la Commission pour, enfin, lutter efficacement contre les violences faites aux femmes.
"
Sylvie BRUNET,2022-10-17,FR,Guidelines for the employment policies of the Member States (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-10-17-INT-1-226-0000_FR.html,"  Sylvie Brunet (Renew).   – Monsieur le Président, Monsieur le Commissaire, cher Nicolas, chers collègues, je veux redire ma conviction qu’il est urgent de mettre en place un semestre structurellement plus social. À cet effet, je voudrais souligner quelques points.
Il faut apporter des réponses sociales aux grandes crises que nous traversons, hélas! ‒ que ce soit la pandémie, que ce soit la guerre ‒ et je pense notamment au programme SURE, qu’il est absolument important de rendre permanent pour accompagner le chômage partiel.
Il est également indispensable de lutter contre la grande pauvreté, de continuer à lutter contre la grande pauvreté. Nous nous sommes donné comme objectif de réduire de 15 millions le nombre de personnes pauvres d’ici à 2030. Je me demande où nous en sommes en ce qui concerne ce grand objectif; je n’ai pas personnellement de chiffres.
Par ailleurs, il est aussi important d’instaurer des objectifs de création d’emplois de qualité, bien rémunérés, décents, par la coordination des politiques sociales et de l’emploi.
Enfin, puisque 2023 sera l’année des compétences, il faut continuer à investir en matière de formation pour ces compétences et pour les transitions numérique et verte. 
"
Sylvie BRUNET,2022-09-13,FR,Adequate minimum wages in the European Union (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-09-13-INT-2-135-0000_FR.html,"  Sylvie Brunet (Renew).   – Monsieur le Président et cher Monsieur le Commissaire, cher Nicolas, d’abord, je voudrais remercier et féliciter mes deux collègues, Agnes Jongerius et Dennis Radtke, pour cet énorme travail. C’est un travail d’équipe et, pour nous, c’est une grande victoire de la présidence française de l’Union européenne. Nous nous étions engagés, avec ma délégation, l’Europe ensemble, et c’est une promesse que nous avons tenue.
Quand je pense aux enjeux de l’Europe sociale, lutter contre les inégalités, améliorer la convergence sociale, mais aussi améliorer l’attractivité dans certains métiers, j’ai l’image d’une fusée et je pense que nous avons construit le premier étage de cette fusée. 
"
Sylvie BRUNET,2022-07-05,FR,Mental health in the digital world of work (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-07-05-INT-2-050-0000_FR.html,"  Sylvie Brunet (Renew).   – Monsieur le Président, cher Commissaire Nicolas Schmit, chers collègues, les problématiques de santé mentale au travail se sont accrues avec la crise de la COVID-19 – j’allais dire toutes les crises, y compris la transition numérique. Ces crises ne sont pas une fatalité et nous devons les prendre en compte, notamment par le dialogue social à tous niveaux.
Je voudrais vraiment remercier Maria Walsh pour cet excellent rapport qui donne des pistes concrètes, comme le renforcement de l’accès à des services de soutien ou encore à des services d’intermédiation en matière de risques psychosociaux. Et je voudrais aussi insister et donner tout mon soutien, dans ce contexte, à une directive sur le droit à la déconnexion, d’autant que les partenaires sociaux européens viennent de s’accorder sur la nécessité d’un cadre contraignant sur la déconnexion dans leur programme de travail 2022-2024. Je pense que c’est un sujet majeur, particulièrement pour notre jeunesse, très éprouvée par ces différentes crises.
"
