MP,Date,Language,Title,Url,Content
Sylvie GUILLAUME,2023-11-22,FR,The lack of legislative follow-up by the Commission to the PEGA resolution (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-22-INT-3-351-0000_FR.html,"  Sylvie Guillaume (S&D).   – Monsieur le Président, voici cinq mois que nos recommandations pour lutter contre l’utilisation abusive de logiciels espions en Europe ont été présentées et adoptées. Mais malgré l’ampleur du phénomène et les conséquences dévastatrices pour des citoyens européens et l’état de droit, la Commission européenne n’a toujours rien mis en route pour y donner suite. Cette inaction ne peut plus durer.
Vous nous annoncez une initiative et elle sera la bienvenue, car on se demande quel est l’intérêt de laisser libre cours à une sorte de jungle en Europe où des armes numériques de différentes natures se déploient et se multiplient sans entraves. Les abus s’accumulent dans de nombreux domaines connexes, aussi. Voyons la France, par exemple, où des enquêtes dans les médias révèlent que la police nationale utiliserait illégalement, depuis 2015, un logiciel israélien de reconnaissance faciale, ce qui est interdit en France. Le ministère de l’Intérieur ne connaîtrait pas l’utilisation de cet outil, qui permet notamment d’analyser les visages filmés dans la rue et dont personne n’a pris la peine de tenir informée la CNIL.
Alors la question est simple combien de scandales sur les logiciels espions, comme ceux que je viens de décrire, doit-on encore attendre en Europe pour que la Commission réagisse?
"
Sylvie GUILLAUME,2023-11-21,FR,Recent developments at the EU’s external border between Finland and Russia and the need to uphold EU law (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-502-0000_FR.html,"  Sylvie Guillaume (S&D).   – Madame la Présidente, l’instrumentalisation des migrants existe, c’est indéniable, et je la condamne. Elle est le fait de dirigeants politiques sans scrupules, ici de Russie, et est organisée de manière à déstabiliser l’Union européenne au travers de la position géographique de certains États membres qui la composent.
Mais la réponse proposée sous la forme d’un règlement n’est pas adaptée, parce que celui-ci cible les victimes de l’instrumentalisation, notamment les ressortissants de pays tiers, et ce n’est pas le cœur du problème. Réduire le nombre de points d’enregistrement, supprimer des entretiens personnels, fixer des conditions d’accueil dégradées et en gros, autoriser des dérogations pour rendre l’accès à la procédure d’asile plus compliquée, n’est pas la solution.
Ce sont, d’abord et avant tout, les auteurs qu’il faut cibler et il faut également s’attaquer aux responsables de l’instrumentalisation: les chefs d’État de certains pays tiers. La voie diplomatique nous a montré qu’elle est non seulement juste, mais qu’elle a déjà fait ses preuves par le passé par le biais des sanctions. L’adoption d’un règlement européen en l’état, avec des critères discutables, ne correspond pas à la situation.
"
Sylvie GUILLAUME,2023-10-05,FR,Schengen Borders Code (A9-0280/2023 - Sylvie Guillaume)  (vote),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-05-INT-4-123-0000_FR.html,"  Sylvie Guillaume,  rapporteure. – Monsieur le Président, mes chers collègues, ce que présente ici M. Garraud est une réécriture du texte, une réalité alternative. Ce sont des conjectures, des extrapolations, j’allais dire une instrumentalisation politique par rapport au contenu réel du rapport.
L’extrême droite a donc décidé de remettre en cause le large accord trouvé en commission LIBE sur la réforme du code frontières Schengen, accord rendu possible par l’engagement et la compréhension politique d’une majorité de rapporteurs fictifs que je tiens à remercier pour leur collaboration.
Voter contre ce mandat, c’est en fait accepter des décisions incohérentes ou erratiques de fermeture des frontières intérieures. Ce que nous voulons à travers ce rapport, c’est protéger l’espace de libre circulation et c’est aussi permettre une prise de décision coordonnée et réfléchie quant à la réintroduction de contrôles aux frontières intérieures.
Soutenir ce mandat, c’est prendre la défense de l’une des plus belles réalisations de l’Union, qui n’existe nulle part ailleurs: la libre circulation de plus de 400 millions de personnes inscrite dans les traités. C’est précieux en soi, mais c’est aussi précieux pour les citoyens européens. Je suis certaine que nombreux sont aujourd’hui les partisans raisonnés d’un espace Schengen rénové. C’est pourquoi je vous serais reconnaissante de soutenir ce mandat et de voter en sa faveur. 
"
Sylvie GUILLAUME,2023-10-03,FR,European Media Freedom Act (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-103-0000_FR.html,"  Sylvie Guillaume (S&D).   – Madame la Présidente, Madame la Vice-présidente, chers collègues, nous avons débuté l’examen de ce règlement il y a longtemps. Il va déterminer la manière dont nous allons favoriser la liberté de la presse et le pluralisme des médias en Europe.
Il y a quelques années, quand nous réfléchissions aux menaces et aux dangers à contrer, quelques exemples de pays venaient tout naturellement à l’esprit, car la situation des médias nous y avait particulièrement alertés. Depuis, les mauvais exemples nous montrent que la liberté de la presse est susceptible d’être menacée partout en Europe, partout dans nos États membres.
La liberté de la presse est fragile. Ce règlement est loin d’être un luxe. Il nous permettra d’examiner des situations très concrètes et parfois délicates, quelquefois inquiétantes. Les questions de concentration des médias, les questions d’indépendance éditoriale, tout comme celles de la protection des sources, qui sont des questions sur lesquelles nous ne devons pas transiger.
Les mesures contenues dans cette position ambitieuse du Parlement seront des garde-fous pour protéger la liberté de la presse, les journalistes et le pluralisme des médias, ce dont nos démocraties dépendent. 
"
Sylvie GUILLAUME,2023-10-03,FR,Situation in Nagorno-Karabakh after Azerbaijan’s attack and the continuing threats against Armenia (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-363-0000_FR.html,"  Sylvie Guillaume (S&D).   – Madame la Présidente, en deux jours, les Arméniens d’Artsakh ont connu un rebondissement tragique du conflit qui les oppose à l’Azerbaïdjan. Dans l’indifférence des soldats russes censés assurer la paix sur place, ils ont dû fuir leur terre, leur maison, toute leur vie. Ils sont plus de 100 000 à avoir tout laissé derrière eux. On a délogé un peuple de son histoire. L’Union a été impuissante à éviter un nettoyage ethnique. Il est en cours.
Beaucoup d’autres choses m’indignent dans cette histoire. Comment, par exemple, la Commission européenne peut-elle promouvoir et assumer un partenariat énergétique avec un gouvernement dont les exactions sont répétées? 15,6 milliards d’euros ont été distribués à Bakou l’année dernière, rien que pour son gaz. Alors, soyons clairs: il faut fermer le marché gazier et prendre des sanctions économiques contre le régime d’Aliyev.
Je soutiendrai cette résolution et j’appelle également à une aide humanitaire renforcée à l’égard des réfugiés d’Artsakh. L’Union doit réagir avant qu’il ne soit trop tard et que l’Arménie ne fasse elle-même les frais du cynisme politique. 
"
Sylvie GUILLAUME,2023-09-13,FR,Regulation of prostitution in the EU: its cross-border implications and impact on gender equality and women’s rights (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-422-0000_FR.html,"  Sylvie Guillaume (S&D).   – Monsieur le Président, de mes précédents mandats d’élue locale en France, chargée des affaires sanitaires et sociales, je garde en mémoire de nombreux échanges avec des personnes prostituées et leurs associations proches qui attestent que la prostitution est excessivement rarement un choix et une liberté.
Et c’est finalement le cœur des questions qui sont abordées dans le rapport de ma collègue Maria Noichl, que je félicite. La prostitution est de plus un phénomène qui affecte la société dans son ensemble, notamment en affectant l’égalité des genres et le regard sur les femmes. La demande qu’elle induit nourrit les réseaux de traite des êtres humains et la violence physique et psychologique.
Pour toutes ces raisons, et celles que détaille le rapport, je partage l’option d’abolition et j’y ajoute une recommandation: si ce rapport d’initiative vient à trouver corps dans une législation – ce que je souhaite – celle-ci devra insister pour que l’accompagnement et la mise en place de programmes sociaux de sortie de la prostitution fassent l’objet d’efforts importants de conception et de financement pour s’adresser à toutes les victimes.
"
Sylvie GUILLAUME,2023-09-12,FR,2022 Report on Türkiye (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-485-0000_FR.html,"  Sylvie Guillaume (S&D).   – Madame la Présidente, le rapport de mon collègue Nacho Sánchez Amor sur les relations UE-Turquie évoque de sérieuses inquiétudes sur les droits humains.
C’est pourquoi je veux saisir ici l’occasion d’évoquer l’acharnement judiciaire dont fait preuve le pouvoir turc à l’égard de certains défenseurs des droits des minorités, comme Pinar Selek, sociologue et féministe d’origine turque, réfugiée en France depuis 2011, qui subit un tel acharnement depuis 25 ans. Alors qu’elle avait été acquittée par la Cour pénale d’Istanbul à quatre reprises entre 2006 et 2014, la Cour suprême de Turquie a pris, en juin 2022, un nouvel arrêté qui annule l’acquittement de 2014 et exige que Pinar Selek soit condamné à la prison à perpétuité avec emprisonnement immédiat. 
C’est pourquoi je demande à la Commission de tout mettre en œuvre afin que les autorités turques appliquent pleinement le droit à un procès équitable, stoppent leurs poursuites abusives à l’égard de Pinar Selek et lèvent le mandat d’arrêt international qui entrave sa liberté de mouvement et de recherche.
"
Sylvie GUILLAUME,2023-07-12,FR,The need for EU action on search and rescue in the Mediterranean (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-12-INT-3-097-0000_FR.html,"  Sylvie Guillaume (S&D).   – Madame la Présidente, la résolution commune déposée par cinq groupes politiques aujourd’hui en vue de ce débat est très complète. Elle marque, je l’espère, une prise de conscience réelle des risques à traverser la Méditerranée et de l’urgence à agir en ce qui concerne les routes migratoires meurtrières. J’espère aussi qu’il ne s’agit pas juste d’une tactique au sein de certains groupes pour faire finalement échouer, comme en 2019 à trois voix près, ce texte qui appelle à la mise en œuvre d’une action de sauvetage européenne.
Car cette mission, nous l’appelons de nos vœux depuis des années et le Parlement européen a pris position à de nombreuses reprises de façon argumentée, cohérente et constante. C’est pourquoi j’appelle la Commission à prendre ses responsabilités à ce sujet. Car balayer d’un revers de manche toute opération européenne au motif que seule la coordination des compétences nationales est possible ne résoudra pas le problème. Cette coordination, elle est bien sûr nécessaire, mais il faut aller plus loin, car plus de 27 000 personnes se sont noyées sur cette route migratoire depuis 2014. Nous ne pouvons plus attendre. 
"
Sylvie GUILLAUME,2023-07-10,FR,Protection of journalists and human rights defenders from manifestly unfounded or abusive court proceedings (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-10-INT-1-116-0000_FR.html,"  Sylvie Guillaume (S&D).   – Monsieur le Président, il y a quelques mois, alors que débutait l’examen au Parlement de la proposition de directive, je me félicitais du chemin parcouru. Enfin, la Commission européenne proposait un texte ambitieux, avec des mesures et des standards minimaux à l’échelle de l’Union pour protéger les victimes de ces procédures abusives, ces procédures-bâillons qui visent à garder sous silence des affaires qui mériteraient d’être mises au jour dans le débat public.
Ces atteintes aux libertés fondamentales, mais aussi à l’état de droit, entravent les systèmes judiciaires et ont des conséquences dramatiques pour les victimes prises dans la tourmente. Elles constituent une menace sourde, en augmentation constante, à l’encontre des journalistes, des médias, des ONG, pour ne citer que quelques cibles principales.
Malheureusement, entre-temps, le Conseil a adopté sa position qui balaie ces efforts prometteurs. C’est pourquoi j’en appelle à tous mes collègues députés d’adopter massivement la position constructive et ambitieuse du Parlement, de manière à peser de tout notre poids dans les discussions en trilogue. C’est seulement ce rapport de force qui protégera les victimes de tentative d’intimidation délétère.
"
Sylvie GUILLAUME,2023-06-14,FR,Investigation of the use of Pegasus and equivalent surveillance spyware - Investigation of the use of Pegasus and equivalent surveillance spyware (draft recommendation) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-14-INT-3-198-0000_FR.html,"  Sylvie Guillaume (S&D).   – Monsieur le Président, demain, nous allons voter la recommandation de la commission PEGA, dont les travaux vont nous permettre de lutter contre l’utilisation abusive des logiciels espions en Europe. Je veux remercier singulièrement Sophia et Hannes de ce travail réalisé ces derniers mois, puisque ces quatorze mois d’enquête, ce sont des missions et des auditions parfois extrêmement techniques et souvent tellement édifiantes, et cela aboutit enfin.
Cela fait d’autant plus regretter l’absence des mots «moratoire immédiat», bien que ce texte constitue une base cruciale pour la protection des droits des citoyens européens. Les nombreuses recommandations formulées devront être suivies d’effets et de propositions législatives, car, quotidiennement, de nouvelles révélations d’abus apparaissent quand, dans le même temps, ces technologies se déploient à une vitesse vertigineuse. La Commission, mais surtout les États membres, ne doivent donc pas prendre ces recommandations à la légère. Il faut des mesures concrètes pour protéger l’état de droit et la démocratie en Europe.
Grâce notamment au groupe S&D, le texte appelle à une définition claire de «sécurité nationale», termes fort utiles pour justifier l’utilisation de logiciels espions, même quand ils sont utilisés à des fins non légitimes contre des défenseurs des droits de l’homme, des avocats, des journalistes et des opposants politiques. J’insiste sur ce point: de tels outils ne devrait pas être utilisés, ou comme dernier recours, avec des garanties très sévères. 
"
