MP,Date,Language,Title,Url,Content
Terry REINTKE,2023-12-13,EN,Review of the Spanish Presidency of the Council (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-13-INT-3-068-0000_EN.html,"  Terry Reintke,  on behalf of the Verts/ALE Group. – Madam President, dear colleagues, dear Prime Minister, dear Presidents, more than EUR 620 billion are needed for the green transition annually. Over EUR 125 billion are needed for digitalisation in Europe. Each year, EUR 384 billion are needed within the next 10 years for the reconstruction of Ukraine. Defence, education, you name it: we urgently need investment and especially after the breakthrough at the COP this morning, this is also about our global credibility. Because inaction, colleagues, will only make the future more expensive.
And, dear Prime Minister, I am not going to lie, we would have hoped – and we still hope – for a more progressive negotiation on the reform of the Stability and Growth Pact in the past six months, because we both know that if we are not careful, we are sleepwalking into the next crisis, despite the fact that we should know better by now.
Europe has no time to lose. Europe can under no circumstances fall back into the failed ideology of austerity. During the corona pandemic, we have seen that our critical infrastructure is far more than tracks and roads. Debt rules that are tying us down disproportionately are a barrier for prosperity, for justice. They are a barrier for our common future. And especially as a German right now, I can tell you I know what I’m talking about. This is not for the Greens and their climate investment. This is for our economic competitiveness of this continent. Functioning infrastructure is crucial to connect this continent even closer, to build a truly integrated single market.
The US is massively investing. China is moving. The world is not waiting for us, colleagues. Just Europe is lagging behind because we have a number of ideological dinosaurs in our midst who do not understand that smart investment is needed right now.
Colleagues, this is for our citizens. This is for future-proof, good jobs. This is for a strong industry. This is for a common European future. So we count on you in this debate.
And lastly – and we all know that this is probably going to be a very noisy debate today – Prime Minister, you are very warmly welcome here because we are happy that there is a pro-European, progressive government in Spain that is going to fight with us to shape the future instead of another far-right party that wants to destroy Europe.
"
Terry REINTKE,2023-11-23,EN,International day for the elimination of violence against women (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-23-INT-4-011-0000_EN.html,"  Terry Reintke,  on behalf of the Verts/ALE Group. – Mr President, not one more, ni una más, and then there is another one, and another one, and another one. Like now in Italy, where a woman was brutally murdered – the suspect her ex-partner, again. She is the 53rd case, just in Italy, just this year. 
I don't know how you feel about this, but I’m fucking furious because men believe that their own, their girlfriends, their daughters, their sisters, that they are the ones who can take decisions over their lives, their freedom and their decisions. I believe that is so deeply rooted in patriarchal power systems. Every man who cannot accept that their wife wants a divorce and chooses violence, every father who cannot accept that their daughter wants to choose freely what their job is going to be and chooses violence, every ex-partner who cannot accept that their girlfriend has a new partner and chooses violence, all of these men are part of a bigger patriarchal problem. 
Our societies have to stand up to this violence. That is why the directive against gender-based violence is so urgently needed, including, of course, as the colleagues have said, a strong and comprehensive definition of rape. And let me tell you this: since I can remember, there have been a number of Member States who continuously told us all the things that we cannot do from the European level when it comes to gender-based violence, with legal arguments that have been proven wrong. 
The debate around the Istanbul Convention clearly shows that if we in this Parliament give up the first time a Member State raises legal concerns, we will not get anywhere. But if we fight, we can make it. The EU is going to accede to the Istanbul Convention, a success, colleagues, of this Parliament and the EU is also going to adopt a strong legislation against gender-based violence. And again, it will be because of the work done in this Parliament, because we know that we owe this to the many victims of gender-based violence in Europe and all the other women living in Europe. We are going to continue this fight. We are not going to give up. 
"
Terry REINTKE,2023-11-08,DE,Urgent need for immediate measures against the rise of antisemitism (statement by the President),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-08-INT-1-065-0000_DE.html,"  Terry Reintke,  im Namen der Verts/ALE-Fraktion. – Herr Präsident, liebe Kolleginnen und Kollegen! Brandanschläge auf jüdische Einrichtungen, Angriffe auf Holocaustdenkmäler und der jüdische Teil des Wiener Zentralfriedhofs ausgebrannt, und dann tausendfach antisemitischer Hass in den sozialen Medien, auf der Straße, bei Demonstrationen, in Bussen, Bahnen, in Kneipen und Wohnzimmern. Nichts von alledem ist Ausdruck einer Meinung oder ein Kommentar zum Nahostkonflikt oder gar gerechtfertigt aufgrund von derzeitigen politischen Ereignissen.
Wir stehen in Europa gerade an einem historischen Punkt. Lassen wir es zu, dass unsere offenen, vielfältigen Gesellschaften von Hass zersetzt werden? Oder, Kolleginnen und Kollegen, stellen wir uns dem entgegen? Nach dem brutalen Menschheitsverbrechen der Shoah hat sich in den letzten Jahrzehnten langsam wieder mehr sichtbares jüdisches Leben in Europa entwickelt. Genau dieses jüdische Leben wird gerade vielfach angegriffen. Egal von wem, egal wo und egal wann. Antisemitismus ist aufs Schärfste zu verurteilen. Hunderttausende jüdische Menschen in Europa leben in Angst.
Ich habe selber letzte Woche mit jüdischen Freundinnen und Freunden in Berlin den Schabbat gefeiert, und viele von ihnen fragen sich: Habe ich eine Zukunft in Europa angesichts der gewalttätigen Ausschreitungen der letzten Wochen oder auch der beängstigend hohen Wahlergebnisse von faschistischen Parteien? Ich möchte deshalb, dass alle demokratischen Kräfte in diesem Parlament, auf der Straße, in allen Debatten gemeinsam laut und klar sagen: Ja, Jüdinnen und Juden haben eine Zukunft in Europa! Wir stehen an eurer Seite, wir werden jüdisches Leben in Europa schützen. Wir werden offene, pluralistische Gesellschaften verteidigen, in denen nicht Angst und Hass herrschen, sondern demokratische Grundrechte, Freiheit und Toleranz – und das nicht nur an Feiertagen, liebe Kolleginnen und Kollegen, sondern jeden Tag.
Morgen jähren sich die Novemberpogrome von 1938. In diesem Zusammenhang wird sehr häufig von „Nie wieder“ gesprochen. Liebe Kolleginnen und Kollegen, dieses „Nie wieder“, das ist nicht irgendwann, dieses „Nie wieder“, das ist jetzt.
"
Terry REINTKE,2023-11-08,EN,Conclusions of the European Council meeting of 26-27 October 2023 - Humanitarian crisis in Gaza and the need for a humanitarian pause (joint debate - Conclusions of the European Council and the humanitarian crisis in Gaza and the need for a humanitarian pause),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-08-INT-1-079-0000_EN.html,"  Terry Reintke,  on behalf of the Verts/ALE Group. – Mr President, dear colleagues, yesterday, one month ago, atrocious acts of terror were committed in Israel. With a brutal killing of civilians, young people, children – many of them raped, tortured, mutilated – Hamas has shown its true face: a human-hating terror organisation that only wants death and darkness, that has nothing to offer but the hatred for Israel and ultimately wants only that – the destruction of Israel.
Make no mistake, Hamas are brutal oppressors – most of all to the Palestinians themselves. They do not represent a struggle for freedom or the legitimate claim of Palestinians to their own state. Yes, Israel has the right to protect its citizens and to defend itself. And yes, Israel must do so in compliance with international law and international humanitarian law.
Now, four weeks later, a brutal war is ongoing, and we see the humanitarian situation in Gaza badly deteriorating: civilians are dying, children are dying, people are in need of everything – food, water, medical supplies. The EU must do everything in its power to provide help to these civilians. The Israeli Government has a responsibility to avoid civilian deaths whenever possible.
We must see restraint and precision in the Israeli Government’s response to terror, both to reach the hostages and to avoid the high numbers of civilian casualties we are seeing right now. Palestinian civilians must not be collectively punished for the crimes of Hamas. We must fight for humanitarian corridors, the immediate and unconditional release of hostages and the investigation of war crimes, and for the escalation of violence to be stopped. And for that, yes, we have to work for a ceasefire, for humanitarian aid to be increased and then to reach the people in Gaza.
This conflict, colleagues, calls on all of us to rise to the occasion as Europe, as actors of peace. Let us continue to fight for peace, for humanity, for a lasting two-state solution, where Israelis and Palestinians both can live in peace and freedom and in security. Colleagues, let us not give in to hopelessness.
"
Terry REINTKE,2023-10-19,EN,"The despicable terrorist attacks by Hamas against Israel, Israel’s right to defend itself in line with humanitarian and international law and the humanitarian situation in Gaza (RC-B9-0436/2023, B9-0436/2023, B9-0438/2023, B9-0442/2023, B9-0444/2023, B9-0445/2023, B9-0447/2023, B9-0448/2023)  (vote)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-19-INT-4-155-0000_EN.html,"  Terry Reintke,  on behalf of the Verts/ALE Group. – Madam President, dear colleagues, we have all been shocked by the attacks on Jewish institutions and synagogues in the past days. We have to be absolutely clear, and we are in this text, that we stand by the Jewish communities in Europe and that we are going to protect them and that we stand up against any form of anti-Semitism.
Our oral amendment seeks to add an updated incident to the already existing text which says: ‘strongly condemns the attempted attacks on a Jewish synagogue in Berlin, hosting a community centre, a primary school and a kindergarten, on 18 October, as well as other similar incidents in other European countries’. I ask you to support this to strongly update the very strong position.
"
Terry REINTKE,2023-10-18,DE,Preparation of the European Council meeting of 26-27 October 2023 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-100-0000_DE.html,"  Terry Reintke,  im Namen der Verts/ALE-Fraktion. – Herr Präsident, liebe Kolleginnen und Kollegen! Ich denke, gerade in Zeiten wie diesen ist es immer wieder wichtig, uns daran zu erinnern, dass die Europäische Union aus erbitterten Feinden Freunde gemacht hat. Die Europäische Union hat aus einem Kontinent, der durch einen Eisernen Vorhang getrennt war, einen Kontinent der Freizügigkeit gemacht. Die Europäische Union hat in den letzten Jahrzehnten viel erreicht. Und trotzdem: Wenn wir durch die EU fahren, dann spüren wir – auch noch heute –, dass diese Vernetzung noch nicht an dem Punkt ist, an dem sie sein sollte.
Liebe Kolleginnen und Kollegen, wir alle kennen Bahntrassen, die an der Grenze einfach abbrechen, Pipelineverbindungen, die nur national geplant werden und wo europäische Partnerinnen und Partner nicht eingebunden werden, nationale Industrie-Strategien, die gegeneinander- und nicht ineinanderlaufen – damit muss Schluss sein. Wir müssen enger zusammenarbeiten, wir müssen diesen Kontinent endlich zu Ende bauen – mit einem europaweiten Netz für Erneuerbare, mit Wasserstoffpipelines, mit Glasfasernetzen.
Denn auch Frankreich und Deutschland sind am Ende Zwerge auf dem globalen Parkett. Nur gemeinsam als Europäische Union werden wir zum Riesen. Deshalb müssen wir jetzt gemeinsam den nächsten Schritt gehen und eine europäische Infrastrukturunion bauen – und dafür brauchen wir gemeinsame europäische Investitionen. Und genau dieses Signal an die Industrie, an die Wirtschaft und an die Bürgerinnen und Bürger wünsche ich mir vom Europäischen Rat.
"
Terry REINTKE,2023-09-13,EN,Ambient air quality and cleaner air for Europe (A9-0233/2023 - Javi López)  (vote),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-136-0000_EN.html,"  Terry Reintke (Verts/ALE).   – Madam President, can we just do all the votes electronically if the majorities are so tight? I think it will speed up the procedure.
"
Terry REINTKE,2023-09-12,DE,"Towards a more disaster-resilient EU - protecting people from extreme heatwaves, floods and forest fires (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-027-0000_DE.html,"  Terry Reintke,  im Namen der Verts/ALE-Fraktion. – Herr Präsident, Kolleginnen und Kollegen! Dürren, Überschwemmungen, Waldbrände: Wir haben in Europa schon wieder einen Sommer der Wetterextreme hinter uns.
In Griechenland sind 80 000 Hektar Wald verbrannt, in Slowenien haben Starkregen mehr als eine halbe Milliarde Euro Schäden verursacht – über zwei Drittel des Landes waren davon betroffen. Und im Ahrtal, da waren es sogar noch viele Milliarden mehr an Schäden, die Überschwemmungen nach sich gezogen haben.
Kein Mensch kann mehr erzählen, dass Nichtstun günstiger ist oder billiger ist, als jetzt zu handeln. Extreme Wetterereignisse werden in den nächsten Jahren in Europa hunderte Milliarden Euro kosten. Hitze, Starkregen, Hagel werden dramatische Auswirkungen für die Bürgerinnen und Bürger in der Europäischen Union haben. Und schon jetzt kostet die Hitze zehntausende Menschen jedes Jahr das Leben.
Alle diese Tatsachen sind zu Genüge bekannt. Und trotzdem – trotz dieser Realität – gibt es Politiker, die erzählen, dass wir jetzt erst mal eine Pause brauchen. Eine Pause, die bedeutet, dass die Wetterereignisse in Zukunft noch extremer werden und dass wir dann noch extremere Maßnahmen treffen müssen, um gegen die Auswirkungen vorzugehen. Nein, wir brauchen keine Pause, wenn es darum geht, den Green Deal weiter voranzutreiben, denn die Klimakrise, die Auswirkungen der Klimakrise, die macht auch keine Pause.
Deshalb müssen wir jetzt handeln. Und das ist nicht nur rational, sondern das ist auch politische Verantwortung zu übernehmen. Denn alles andere wäre Realitätsverweigerung. Wenn es schwierig wird zu sagen: „Mit Nichtstun werden wir schon irgendwie durchkommen“, obwohl die Realität doch ganz klar zeigt, dass es genau anders ist. Das ist brandgefährlich und verantwortungslos. Deshalb müssen wir, so anstrengend es sein mag, weitermachen, denn der Green Deal ist kein Sprint, sondern ein Marathon.
Wir müssen als Europäische Union mehr tun, um die Bürgerinnen und Bürger bei der Bewältigung von Klimafolgen zu unterstützen. Die Europäische Union ist auf Solidarität aufgebaut, und für einige Menschen mag es viel klingen, wenn wir gemeinsam als Europäische Union Milliarden Euro in den Katastrophenschutz stecken. Aber wenn wir uns anschauen, welche massiven Schäden – auch finanzieller Art – Katastrophen in der Europäischen Union anrichten, dann ist das gut investiertes Geld.
"
Terry REINTKE,2023-07-12,DE,"Conclusions of the European Council meeting of 29-30 June 2023, in particular the recent developments in the war against Ukraine and in Russia (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-12-INT-3-013-0000_DE.html,"  Terry Reintke,  im Namen der Verts/ALE-Fraktion. – Herr Präsident! Herr Weber! Ich muss ganz ehrlich sagen, ich bin ziemlich enttäuscht, denn es gab eine sachliche Debatte zu diesem Thema. Es gab Sitzungen der Schattenberichterstatter zum NRL, aus denen sich die EVP leider zurückgezogen hat. Es gab gestern eine lange Debatte, in der wir hier in diesem Plenum über diesen Gesetzesentwurf diskutiert haben. Wissen Sie, wer nicht da war? Sie! Obwohl Sie sehr häufig adressiert worden sind in dieser Debatte, auch zum Thema Fake News, auch zu der Frage, wie sich die EVP positioniert hat.
Deswegen lassen Sie uns diese Debatte führen. Aber lassen Sie uns dann darüber reden, wenn es auf der Tagesordnung steht und wenn die Kolleginnen und Kollegen auch da sind, um darauf einzugehen, was Sie hier gesagt haben.
And I still believe what is happening in Ukraine and what was happening at the Council is of the utmost importance, because the destruction of Ukraine’s Kakhovka Dam constitutes a new level of aggression in Putin’s criminal war of aggression. This calculated act of terrorism put thousands of people at risk. The floods that were caused were an ecological catastrophe as tons of harmful substances polluted the surrounding area. And the destruction of this dam endangered also the nearby nuclear power plant of Zaporizhzhia. 
This is a new dimension in which we find ourselves, colleagues. Russia is misusing a civilian dam located near to a nuclear power plant as a weapon of war. And I think that the European Union and the heads of state of the European Union have to be clear and take a clear stance to stop Russia on this deadly path. 
But also efforts must now focus on Ukraine’s reconstruction. We welcome the new facility that has been created for this purpose to mobilise more funds. But we don’t need just any money, we need to rebuild Ukraine in a sustainable and renewable way. We need a green deal for Ukraine to bring more prosperity to the country after the horrors of war and a better environment for the people of Ukraine. 
And one last issue, and I think it has become obvious again at the EUCO meeting, we need a coherent and coordinated strategy on China from the heads of states and governments of the European Union. We welcome the clear sentences on the Taiwan Strait. But other than that, the agreement actually lacks clarity on this strategy, which is very urgently needed. So we appeal to the Member States: do what is necessary, act united and act decisively. 
"
Terry REINTKE,2023-07-11,EN,Nature restoration (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-11-INT-2-016-0000_EN.html,"  Terry Reintke,  on behalf of the Verts/ALE Group. – Mr President, dear colleagues, our rivers are dying, our forests are sick, our nature is in deep crisis. We have to restore our nature, not in a distant future, not when the EPP has got its act together – we have to act now: to preserve nature, the basis of our agriculture, the basis of our economic prosperity; to keep the climate targets, because 10% out of the 55% that we agreed to reduce our emissions by before 2030 are nature-based climate action; to keep our competitiveness to the self-declared business groups in this Parliament. You heard the appeal by major companies like Unilever or Ikea to let the Nature Restoration Law pass.
So dear EPP colleagues, many of your parties are actually based on Christian values, centred on the preservation of creation. Please follow your inner conviction and not what your group leader is telling you and vote tomorrow in favour of the Nature Restoration Law.
Dear Renew colleagues, the Nature Restoration Law is about freedom. The destruction of biodiversity already today is limiting our options and it is going to get worse in the future. Preserve our freedom and vote in favour of the Nature Restoration Law tomorrow.
But colleagues, we also all know that this law has become much more than just itself in the past month. It has become a symbol, a symbol of the Green Deal, a symbol of constructive decision-making in this Parliament. And it has unfortunately become a symbol of political games within the EPP on which strategy they want to go for for 2024. Mr Weber, who is unfortunately not here right now, we can clearly see what your strategy is: going against your own Commission President.
All of this, to me, is a sign of a deep identity crisis within the EPP, a shift in decision—making here in this Parliament, and for me a very dangerous development, especially as far-right parties, groups and movements are gaining ground across Europe.
Colleagues, let us vote tomorrow in favour of the Nature Restoration Law to show that constructive decision-making in this Parliament is still possible. To show that we stand behind the Green Deal and yes, also to restore and protect our nature.
"
