MP,Date,Language,Title,Url,Content
Thierry MARIANI,2023-12-13,FR,One year after Morocco and QatarGate – stocktaking of measures to strengthen transparency and accountability in the European institutions (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-13-INT-3-252-0000_FR.html,"  Thierry Mariani (ID).   – Monsieur le Président, il y a quelque chose de pourri au Parlement européen. Il ne s’agit pas, d’abord, d’un «Qatargate»: c’est notre Parlement qui est le cœur du scandale. Il y a ici une majorité de gens honnêtes parmi nous, quel que soit le parti. Mais ce que nous avons appris, c’est que dans le groupe politique qui donne le plus de leçons à la terre entière, certains avaient monnayé leur indignation. Pour certaines puissances étrangères, les larmes de la gauche étaient rémunérées comptant, et le moins que l’on puisse dire, c’est que les socialistes européens sont experts en lamentations en tous genres.
Qu’a fait le Parlement européen à la suite de cette affaire? Il a utilisé le scandale pour prolonger la commission sur les ingérences de M. Glucksmann, qui avait réussi la prouesse de ne pas réaliser que c’était dans son propre groupe qu’était né ce système mafieux. Depuis, les révélations se succèdent, notamment dans Politico, qui fait un vrai travail. Puis, rapidement, le Parlement a repris ses hallucinations habituelles.
Le Parlement affirme avoir pris conscience des ingérences étrangères, mais il a refusé la création d’une commission d’enquête spéciale sur le «Qatargate», que proposait notre groupe, Identité et Démocratie. Le Parlement attaque le Maroc, mais il laisse l’Algérie instrumentaliser nos groupes d’étude pour soutenir les terroristes du Front Polisario. Vous dénoncez le Qatar, mais vous continuez à tenir le même discours que Doha sur l’Égypte, la Tunisie ou la Syrie. 
Décidément, il y a bien quelque chose de pourri dans les instances européennes, mais rien n’est réellement fait pour que cela change. Dans six mois, ce mandat se terminera, on poussera la poussière sous le tapis, vous aurez réussi à étouffer l’affaire, et notre Parlement aura perdu sa crédibilité. 
"
Thierry MARIANI,2023-12-12,FR,"Need to release all hostages, to achieve a humanitarian ceasefire and prospect of the two-state solution (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-299-0000_FR.html,"  Thierry Mariani,  au nom du groupe ID. – Monsieur le Président, le terrorisme islamiste du Hamas a encore fait la démonstration de sa barbarie. Femmes, enfants, personnes âgées, otages: aucune des barrières morales qui constituent notre humanité commune n’a été respectée dans la furie diabolique du Hamas.
La société israélienne en est durablement traumatisée. Depuis, le gouvernement israélien poursuit l’objectif de détruire le Hamas. Nous ne pouvons que partager ce projet et regretter que l’Union européenne, comme la France, refuse d’ouvrir les yeux sur le danger existentiel que tous les mouvements issus des Frères musulmans font peser partout où ils sont. Si nous reconnaissions ce danger, les Européens seraient des interlocuteurs plus crédibles pour participer utilement à la restauration de la paix. Aujourd’hui, les Israéliens jugent que nous avons été naïfs vis-à-vis du Hamas, et les États voisins considèrent que nous ne faisons rien pour interrompre la cohorte insupportable des victimes civiles sur Gaza.
La paix doit revenir en Terre sainte. La guerre doit absolument épargner le Liban, déjà soumis à des périls qui risquent de le faire imploser. Par ailleurs, à l’approche de Noël, je dis toute mon amitié aux communautés chrétiennes de Gaza et de Cisjordanie, qui doivent être protégées. Partout c’est la voix de la diplomatie qui doit l’emporter. La position de la France est connue et elle est constante: solution à deux États, consolidation d’une Autorité palestinienne, respect des lignes de 1967 avec des échanges de territoires mutuellement agréés.
Israël a le droit à la sécurité. La Palestine a le droit au respect du droit international. Tous ceux qui dévient de cet équilibre ne cherchent pas la paix.
"
Thierry MARIANI,2023-12-12,FR,EU-US relations (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-494-0000_FR.html,"  Thierry Mariani,  au nom du groupe ID. – Monsieur le Président, les États-Unis sont notre meilleur allié, mais aussi notre pire concurrent. Cette leçon historique, nous devrions tous la connaître. En France, la prédation industrielle américaine est constante. Nous avons ainsi suivi avec consternation le rachat du fleuron français Exxelia par l’américain Heico, sans que le gouvernement d’Emmanuel Macron intervienne pour rapatrier cette entreprise sous capital français.
Ce rachat n’est qu’un nouvel épisode de la razzia américaine contre les entreprises et les élites européennes. La France, par exemple, se laisse piller sans jamais se défendre. En 2022, ce sont 131 entreprises françaises, 131 entreprises françaises considérées comme sensibles, qui ont été rachetées par des fonds étrangers. En tête des acquéreurs, dont les dossiers sont validés par le ministre des Finances, nous ne trouvons ni la Russie, ni la Chine, mais les États-Unis, évidemment.
Avec leur loi sur la réduction de l’inflation, les États-Unis d’Amérique posent désormais un défi historique aux nations européennes. Alors que le Parlement européen tresse des louanges à Washington à longueur d’interventions depuis l’élection de Joe Biden, ce dernier se moque absolument de nos déclarations d’amour. Pour lui, c’est «America first», et il a bien raison. Joe Biden sait que l’Union européenne est terrorisée à l’approche de la fin de l’hégémonie américaine sur le monde. Il sait que, à Bruxelles, les amis de l’Oncle Sam sont incapables de prendre acte de l’émergence d’un monde multipolaire, où les Européens peuvent arbitrer dans divers pôles de puissance plutôt que de toujours s’en remettre à lui.
Un nouveau monde nous attend. Aidons nos nations à en tirer profit au lieu de refuser l’inéluctable.
"
Thierry MARIANI,2023-12-12,FR,EU-China relations (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-536-0000_FR.html,"  Thierry Mariani,  au nom du groupe ID. – Monsieur le Président, en janvier 1964, par la voix du général de Gaulle, la France reconnaissait la Chine. Le 31 janvier, M. de Gaulle déclarait: «En vérité, il est clair que la France doit pouvoir entendre directement la Chine et aussi s’en faire écouter. Et puis, pourquoi ne pas évoquer ce qu’il pourra y avoir de fécond dans les rapports entre les deux peuples à la faveur des relations entre les deux États?»
Cette conception gaulliste de nos relations avec la Chine est mise en danger par le suivisme aveugle de l’Union européenne vis-à-vis de la croisade américaine contre Pékin. Cela apparaît de manière particulièrement évidente dans le rapport dont nous discutons aujourd’hui. On y lit que la Chine unique reste le principe de nos relations, mais tout est fait pour saper ce principe de politique étrangère.
Bien sûr, nous devons nous protéger de la puissance commerciale chinoise. Les exportations chinoises représentent à elles seules 15 % du commerce mondial. Le déficit commercial français avec la Chine frôle les 40 milliards et celui de l’Union européenne, vous l’avez dit, Monsieur Borrell, 400 milliards d’euros. Cette réalité pousse à deux conclusions: sans politique sérieuse de réindustrialisation, notre écart se creusera toujours plus avec la Chine. Et ce n’est pas la politique de signature d’accords de libre-échange tous azimuts qui va nous aider à nous réindustrialiser.
L’autre conclusion, c’est que notre relation diplomatique avec la Chine ne sera efficace que si elle est fondée sur le réalisme. Or, l’Union européenne de Macron et de von der Leyen est alignée sur les États-Unis. Elle est donc, par essence, hostile à la politique réaliste. Il n’y a que l’Europe des nations qui saura nouer avec la Chine le partenariat équilibré qu’il nous faut.
"
Thierry MARIANI,2023-12-11,FR,Small modular reactors (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-11-INT-1-129-0000_FR.html,"  Thierry Mariani,  au nom du groupe ID. – Madame la Présidente, enfin. Enfin, l’Union européenne réalise que les croisades contre le nucléaire furent une des erreurs les plus funestes de la Commission. Dans le même temps, en France, Emmanuel Macron a compris que ses engagements de 2017, où il annonçait vouloir réduire de manière drastique la part du nucléaire dans notre production électrique, étaient un suicide économique pour la France. Alors que le tissu économique français paye le prix fort de l’abandon de notre filière nucléaire par l’État pendant des années pour satisfaire aux campagnes antinucléaire de la Commission européenne et de l’Allemagne, il faut se réjouir que ce Parlement soutienne enfin le secteur des petits réacteurs nucléaires modulaires, où les start-ups françaises sont en pointe.
Pourtant, ce rapport l’admet lui-même, dans la course aux petits réacteurs modulaires, l’aveuglement européen nous a conduits en seconde division: Américains, Chinois et Russes ont déjà pris une large avance. Il est évidemment essentiel que les investissements et la recherche pour les petits réacteurs modulaires soient intégrés au Fonds pour une transition juste. Plus généralement, nous appelons de nos vœux la fin totale de l’hostilité de l’Union européenne envers l’énergie nucléaire.
Trop longtemps, les Français ont subi la double peine. Contributeurs nets au budget de l’Union européenne, ils étaient les premiers pénalisés pour ce qui est des subventions européennes dans le domaine de l’énergie. Un soutien aux petits réacteurs modulaires nucléaires est une première étape dans la bonne direction, mais elle sera insuffisante pour assurer notre indépendance énergétique. L’entretien et l’investissement dans les centrales nucléaires classiques est plus que jamais nécessaire, en France comme ailleurs. 
"
Thierry MARIANI,2023-11-22,FR,30 years of Copenhagen criteria - giving further impetus to EU enlargement policy (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-22-INT-3-307-0000_FR.html,"  Thierry Mariani,  au nom du groupe ID. – Monsieur le Président, pour la France, l’élargissement de l’Union européenne en 2007 n’a pas été seulement une déception, mais l’accélérateur d’une sortie de l’histoire. Alors que l’Union européenne veut continuer sur le chemin de l’obésité, il est important de nous souvenir que les promesses de paix, du progrès social et d’amplification de notre influence dans le monde étaient trompeuses.
L’anniversaire des critères de Copenhague est d’ailleurs particulièrement paradoxal puisque la Commission européenne a émis un avis favorable pour la candidature de l’Ukraine, alors même qu’il est évident que Kiev ne remplit pas ces critères. Toute la crédibilité de la construction européenne est donc abîmée, puisque l’Union européenne érige de grands principes qu’elle s’empresse d’oublier et de balayer en fonction des circonstances. L’intégration des pays des Balkans dans l’Union européenne, c’est toujours plus de mafia dans les campagnes françaises. L’Ukraine dans l’Union européenne, c’est la guerre dans l’Union.
Et pour accélérer tout cela, vous voulez en plus que la France accepte d’abandonner ses fonctions régaliennes pour que les votes à la majorité qualifiée soient systématisés au sein du Conseil européen. Il me semble inconcevable qu’un pays membre du Conseil de sécurité de l’ONU devienne tributaire des décisions d’États qui ont délégué leur indépendance à l’OTAN. Avec vos propositions, la France pourrait être entraînée demain dans toutes les folies guerrières des uns et des autres s’il y a une majorité contre elle. Nombreux sont les Français qui ne veulent pas un nouvel élargissement de l’Europe, ils regrettent déjà suffisamment les précédents et ils ont bien raison de craindre les suivants.
"
Thierry MARIANI,2023-11-21,FR,EU/New Zealand Free Trade Agreement (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-172-0000_FR.html,"  Thierry Mariani,  au nom du groupe ID. – Madame la Présidente, 18 534 km séparent Paris d’Auckland. Cet accord de libre-échange avec la Nouvelle-Zélande n’est pas un accord de nouvelle génération, mais la continuation de vieilles erreurs. En pire!
Votre texte n’est pas une opportunité. C’est une aberration. Idéologique d’abord. Qui montre que votre Pacte vert est vite oublié quand il s’agit de libre-échange. Aberration agricole ensuite, puisque l’agriculture européenne est ouverte à tous les vents d’une concurrence débridée avec l’importation renforcée de viande ovine et bovine, lait, fromage, beurre, pommes, kiwis et tant d’autres. 
38 000 tonnes de viande ovine, 10 000 tonnes de viande bovine, 15 000 tonnes de beurre, 25 000 tonnes de fromage, 15 000 tonnes de lait en poudre... Voilà les chiffres effarants de la production néo-zélandaise qui se déversera dans nos supermarchés. 
Enfin, c’est une aberration économique. Il y a cinq millions d’habitants en Nouvelle-Zélande, 448 millions dans l’Union européenne. Il y a donc 90 fois plus de consommateurs potentiels gagnés par les néo-zélandais que par nous dans ce partenariat.
Derrière quelques artifices de communication, c’est toujours la même idéologie qui travaille, celle des porte-containers qui ravagent la planète, de la concurrence déloyale qui massacre les filières locales et de Macron qui ne défend pas nos intérêts. L’Europe de Macron et de Van der Leyen est parfaitement synthétisée dans cette nouvelle trahison économique du peuple français. Ils veulent le libre-échange mondialisé à tout prix. Nous, c’est sans conditions que nous défendrons les agriculteurs et les intérêts des Français.
"
Thierry MARIANI,2023-11-08,FR,Strengthening the right to participate: legitimacy and resilience of electoral processes in illiberal political systems and authoritarian regimes (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-08-INT-1-249-0000_FR.html,"  Thierry Mariani,  au nom du groupe ID. – Madame la Présidente, personne n’a attendu la Commission européenne pour s’inspirer de la démocratie athénienne. Si la culture européenne a rayonné, c’est qu’elle était un exemple pour le monde entier qui puisait librement dans cet héritage inestimable. Or, le texte de cette résolution propose d’inverser complètement cette perspective.
Notre Parlement feint de croire qu’il pourrait inciter le monde à suivre ses recommandations, alors même que nous sommes un contre-exemple de démocratie. Nous ne parvenons toujours pas à obtenir les SMS de Mme von der Leyen avec Pfizer, nous ne sommes pas vraiment crédibles pour faire la leçon au monde entier sur la transparence. Pire, les institutions européennes ne cachent même plus qu’elles soutiennent certains candidats contre d’autres, comme on l’a vu encore récemment en Pologne ou en Moldavie.
Sans parler de l’absence totale de notre exigence démocratique quand cela correspond aux calculs de l’Union européenne. Avons-nous entendu la Commission, par exemple, s’insurger alors que M. Zelensky vient d’annoncer qu’il suspendait les élections en Ukraine? Avons-nous vu le début d’une réaction de la Commission européenne contre l’extraterritorialité du droit américain, qui est la pire ingérence démocratique dans notre siècle?
C’est le «deux poids, deux mesures» qui est la règle de ce Parlement. Nous soutenons les accords commerciaux avec le Viêt Nam, mais nous sanctionnons le Cambodge. Nous détestons la Tunisie, mais nous pardonnons tout au Qatar. Et je vous rappelle que l’Égypte d’hier des Frères musulmans soutenait le Hamas alors que vos faveurs aujourd’hui ne cessent au contraire d’attaquer le gouvernement du président Sissi.
La meilleure manière pour nous de soutenir l’intégrité de la vie démocratique dans le monde serait d’en revenir à deux principes simples: le respect des souverainetés et le refus de nous ingérer dans les affaires internes des autres États.
"
Thierry MARIANI,2023-11-08,FR,One-minute speeches on matters of political importance,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-08-INT-1-281-0000_FR.html,"  Thierry Mariani (ID).   – Madame la Présidente, il y a un an, notre Parlement votait une résolution appelant à soutenir les déplacés congolais dans la région du Kivu. Dans cette résolution, nous encouragions le Rwanda à ne pas soutenir les rebelles du M23 et nous demandions de placer le commandement de ce groupe terroriste sanguinaire sous sanctions. Depuis, le M23 continue ses crimes et sa situation est toujours aussi tendue au Kivu. Alors que 200 000 personnes sont déjà déplacées de Goma, des combats violents ont encore eu lieu ce 7 novembre. Quand obligerons-nous enfin le Rwanda de Kagame à renoncer à la déstabilisation de la République démocratique du Congo politiquement, militairement et économiquement? 
Alors que l’élection présidentielle aura lieu en décembre à Kinshasa et que nous discutons aujourd’hui de l’action de l’Union européenne pour préserver le processus démocratique, il faut aider le peuple congolais à stopper les ingérences de Kigali. Nous devons soutenir les initiatives des chefs d’État de l’Afrique australe, notamment de l’Angola, et dénoncer enfin clairement le pillage des richesses de la République démocratique du Congo. 
"
Thierry MARIANI,2023-10-17,FR,Effectiveness of the EU sanctions on Russia (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-17-INT-2-016-0000_FR.html,"  Thierry Mariani,  au nom du groupe ID. – Monsieur le Président, vous souvenez-vous des premiers mois qui suivirent le déclenchement de la guerre en Ukraine? Les ministres du gouvernement Macron et les membres de la Commission européenne nous expliquaient que l’on allait mettre la Russie à genoux grâce à l’outil des sanctions. Vous promettiez de renvoyer la Russie à l’âge de pierre, mais ce sont en réalité les ravages de l’inflation qui, désormais, martyrisent nos familles, ainsi que l’explosion du coût de l’énergie.
L’Union européenne prépare donc un douzième paquet de sanctions contre la Russie, alors que 1 800 personnes font déjà l’objet de telles mesures. Même M. Borrell a dû admettre, en mars 2023, que l’Union européenne atteignait ses limites en la matière. En nous accrochant fanatiquement, tous azimuts, à ces sanctions, nous avons multiplié les rancœurs en Afrique, en Asie et jusqu’en Amérique du Sud. Et vous parlez maintenant de lutter contre ceux qui permettraient de contourner les sanctions?
Mais, comme vient de le rappeler M. Kubilius, nous achetons chaque mois environ 2 milliards de produits énergétiques à la Russie. Et je ne parle pas de notre industrie nucléaire, qui en dépend, comme celle des États-Unis.
Bref, dans cette crise, l’Union européenne n’aura réussi qu’une chose: à allonger la liste de nos ennemis en inquiétant nos derniers amis.
"
