MP,Date,Language,Title,Url,Content
Tiemo WÖLKEN,2023-12-12,DE,European Health Data Space (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-170-0000_DE.html,"  Tiemo Wölken (S&D).   – Frau Präsidentin, sehr geehrte Frau Kommissarin, liebe Kolleginnen und Kollegen! Zweifellos: Der europäische Raum für Gesundheitsdaten ist ein zentraler Baustein der Europäischen Gesundheitsunion. Die Digitalisierung des Gesundheitswesens mit verbesserter grenzüberschreitender Versorgung der Patientinnen und Patienten und verbesserter europaweiter Forschung durch besseren Datenzugang kann aktiv Menschenleben retten, und sie wird den europäischen Forschungsstandort stärken.
Aber diese Digitalisierung wird nur dann Erfolg haben, wenn die Patientinnen und Patienten in der Europäischen Union diesem System auch vertrauen können. Vertrauen ist die Grundlage, und das wird leider in diesem Vorschlag noch nicht klar. Ich bedaure sehr, dass der Berichterstatter Herr Sokol sich neulich auf die Bühne gestellt hat und lautstark Front gegen mehr Rechte für Patientinnen und Patienten gemacht hat und sogar von einer roten Linie für ihn gesprochen hat.
Abgesehen davon, dass das von dem Text noch nicht gedeckt ist: Wie können wir ernsthaft gegen mehr Kontrolle für die Bürgerinnen und Bürger über ihre Daten sein? Deswegen müssen wir morgen den Änderungsantrag 555 unterstützen, der einen ausgewogenen Einklang zwischen den Zielen dieses Vorschlags und den Grundrechten der Bürgerinnen und Bürger sicherstellt.
(Der Redner ist damit einverstanden, eine Frage nach dem Verfahren der „blauen Karte“ zu beantworten.)
"
Tiemo WÖLKEN,2023-12-12,DE,European Health Data Space (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-172-0000_DE.html,"  Tiemo Wölken (S&D),  Antwort auf eine Frage nach dem Verfahren der „blauen Karte“. – Unser Änderungsantrag wird dafür sorgen, dass die Auslegung sehr klar ist. Sie haben gerade selber gesagt, der Wortlaut jetzt ließe diese Möglichkeit des Widerspruches schon zu, das ist allerdings nicht wirklich klar. Und deswegen habe ich auch Ihre Aussage nicht verstanden, dass Sie es als rote Linie erklären würden, wenn man diesen Änderungsantrag, der eine Präzisierung der bisher gefundenen Formulierung finden würde, unterstützt.
Wir könnten diesen Text ganz einfach annehmen, indem wir uns darauf einigen, dass wir mit dem Änderungsantrag 555 die von Ihnen gerade vorgeschlagene Auslegung präzisieren, und dann sind wir uns alle einig.
"
Tiemo WÖLKEN,2023-12-12,EN,European Health Data Space (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-174-0000_EN.html,"  Tiemo Wölken (S&D),  blue-card reaction. – Can I reply now again, Madam President? OK! I never had that so thank you very much for this opportunity.
Once again, if we agree that the wording at the moment is already allowing patients to say ‘no’ to register their data initially into the electronic health record, then it’s fine. But then we can also adopt Amendment 555, which would precisely make this legal and we wouldn’t have to depend on the interpretation of the rules. Hence, I think that we agree in principle, and that the wording of the Amendment 555 is better and hence should be supported.
"
Tiemo WÖLKEN,2023-11-21,DE,Strengthening the CO2 emission performance targets for new heavy-duty vehicles (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-092-0000_DE.html,"  Tiemo Wölken (S&D).   – Sehr geehrter Herr Präsident, sehr geehrter Herr Kommissar, liebe Kolleginnen und Kollegen! Ich bin doch schon einigermaßen fasziniert, dass die Kollegen von der CDU insbesondere jetzt schon zum x-ten Mal mit dem gleichen Kopf gegen die gleiche Wand rennen und dann wieder feststellen: Auch dieses Mal wird diese Wand standhalten.
Es macht doch überhaupt gar keinen Sinn, eine Technologie sozusagen hier zu unterstreichen und immer wieder zu fordern, von der wir wissen, dass wir diese Kraftstoffe gar nicht in ausreichendem Maße haben, und jetzt auch noch mit dem carbon-correction-Faktor dafür zu sorgen, dass die Kontrolle über das Erreichen der Klimaziele von den Herstellern von Fahrzeugen weggenommen wird und zu den Ölfirmen gegeben wird.
Das erschließt sich absolut nicht und macht keinen Sinn. Und kein Wunder, dass die großen Hersteller gegen eure Idee des carbon-correction-Faktors sind. Ihr suggeriert hier eine Lösung, wo keine Lösung ist. Ganz im Gegenteil. Die Hersteller, auch die Gewerkschaften, sind völlig klar: Es gibt eine Lösung für klimaneutralen Verkehr, auch bei den Lkw. Und der heißt nicht E-Fuels, sondern auf lange Sicht Elektrifizierung. Und das sollten wir dann auch klarmachen und endlich aufhören, immer wieder den gleichen Fehler begehen zu wollen.
"
Tiemo WÖLKEN,2023-11-20,DE,"UN Climate Change Conference 2023 in Dubai, United Arab Emirates (COP28) (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-20-INT-1-105-0000_DE.html,"  Tiemo Wölken (S&D).   – Sehr geehrte Frau Präsidentin, sehr geehrter Herr Kommissar, liebe Kolleginnen und Kollegen! Wir stehen wieder einmal – nein, besser gesagt, wir stehen immer noch gerade an der Kante zum Wendepunkt der internationalen Klimapolitik.
Letztes Jahr war eines der heißesten Jahre seit Beginn der Aufzeichnungen weltweit. Dieses Jahr wird noch heißer werden. Letztes Jahr sind 32 Millionen Menschen vor den Folgen der Klimakrise geflohen, und es werden noch mehr werden. Letztes Jahr haben wir über 1,5 Millionen Hektar europäischen Waldes verloren, und deswegen muss sich etwas tun. Deswegen ist diese COP so verdammt wichtig, auch wenn sie von einem ehemaligen Ölmanager geleitet wird – oder besser gesagt, gerade deswegen. Wir brauchen einen Durchbruch beim Internationalen Entschädigungsfonds für die Ärmsten der Armen, die unter der Klimakrise leiden.
Sehr geehrter Herr Kommissar, lieber Wopke, schön, dass du heute hier bist, und du hast uns ja in deinen Hearings ein sehr deutliches Bekenntnis gegeben zur Unterstützung dieses Klimafonds, dieses Entschädigungsfonds. Ich hoffe, dass wir als Europäische Union damit erfolgreich sein werden, und daran werden wir tatsächlich diese COP auch messen.
"
Tiemo WÖLKEN,2023-11-20,DE,Framework of measures for strengthening Europe’s net-zero technology products manufacturing ecosystem (Net Zero Industry Act) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-20-INT-1-122-0000_DE.html,"  Tiemo Wölken,  Verfasser der Stellungnahme des mitberatenden Ausschusses für Umweltfragen, öffentliche Gesundheit und Lebensmittelsicherheit. – Frau Präsidentin, Herr Kommissar, Herr Berichterstatter! Ich glaube, von der Netto-Null-Industrie-Verordnung muss aus der Europäischen Union das klare industriepolitische Signal ausgehen, dass wir die Schlüsselindustrien für die Zukunft wie die Batterienfertigung, die Solarfertigung oder auch die Windenergie und Wärmepumpen hier, in der Europäischen Union, herstellen wollen und sicherstellen wollen, dass wir nicht in gefährliche Abhängigkeiten geraten. Dafür brauchen wir die Netto-Null-Industrie-Verordnung, auch wenn es noch nicht die perfekte Antwort auf den Inflation Reduction Act ist.
Ich finde es sehr wichtig, dass wir bei der Netto-Null-Technologieliste dazu gekommen sind, dass die Mitgliedstaaten ihre Technologien aussuchen dürfen; andernfalls hätte das ineffiziente Förderung mit dem Gießkannenprinzip bedeutet. Für mich sehr wichtig: Es gibt weiterhin kein Geld aus dem europäischen Haushalt für Nukleartechnologie. Sie wird nicht als strategisch anerkannt, und das ist besonders vor dem Hintergrund, dass in den USA gerade die Small Modular Reactors zu einem Milliardengrab geworden sind, von ganz besonderer Bedeutung.
Und am Ende, finde ich, müssen wir deutlich machen: Deregulieren bedeutet nicht das Absenken von Schutzniveaus – und das machen wir mit diesem Bericht.
"
Tiemo WÖLKEN,2023-11-20,DE,Union certification framework for carbon removals,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-20-INT-1-197-0000_DE.html,"  Tiemo Wölken,  im Namen der S&D-Fraktion. – Sehr geehrter Herr Präsident, herzlichen Dank und Glückwunsch nochmals zur Wahl! Sehr geehrter Herr Kommissar, schön, Sie wiederzusehen! Liebe Kolleginnen und Kollegen! Zuerst möchte ich mich bei Lídia bedanken, unserer Berichterstatterin, für die tolle Zusammenarbeit, für die vielen Treffen, die wir zusammen hatten. Ich glaube, das war sehr konstruktive Arbeit, die wir hier über die Fraktionsgrenzen hinweg geleistet haben und damit eine gute Rahmengesetzgebung schaffen. Ich bin wirklich sicher, dass wir mit diesem Gesetz, wenn wir dann darüber abstimmen, einen guten Rahmen schaffen, der Kohlenstoff in der Europäischen Union regelt.
Und dass wir dafür klare Regeln brauchen, da sind sich alle Expertinnen und Experten sehr einig. Auch der Weltklimarat sagt es: Ohne negative Emissionen sind unsere Klimaziele nicht zu schaffen – selbst wenn wir die Energieerzeugung komplett dekarbonisieren, wenn die Industrie komplett umgestellt wird. Wir werden immer Bereiche haben, in denen weiterhin Emissionen entstehen, und deswegen sind die negativen Emissionen so wichtig – sowohl technologische Entnahmen als auch natürliche Entnahmen.
Und zugleich mussten wir in den letzten Jahren erleben, dass mit den Kohlenstoffentnahmen – mit dem offsetting – unfassbar viel Schindluder getrieben wurde, sehr viel Greenwashing betrieben wurde. Der Kollaps des Zertifikatehändlers Verra zeigt das ganz deutlich: Es braucht dringend strenge und gute Regeln, die wir mit dem vorliegenden Vorschlag aus dem Umweltausschuss vorlegen.
Wir schaffen einen Standard, auf dessen Basis Unternehmen, Ingenieure, aber gerade auch unsere Landwirte nachhaltige Geschäftsmodelle etablieren können, und mit diesem Standard schaffen wir auch Vertrauen. Dieses Vertrauen muss sein.
Ich finde, wir müssen sicherstellen, dass mit jeder Entnahme die Wiederherstellung der Artenvielfalt auch aktiv unterstützt wird – das tun wir. Wir müssen Monokulturen und kurzfristige Mitnahmeeffekte verhindern, und am Ende müssen wir auch dafür sorgen, dass wir bei der Nutzung von Biomasse in Kombination mit CO2-Speicherung, was wir auch BECCS nennen, klare Regeln brauchen. Alle Emissionen, auch die aus der Landnutzung, müssen mit einbezogen werden, sodass der Bedarf an Biomasse nicht noch weiter steigt.
Ich bin sehr gespannt auf die Abstimmung und bedanke mich noch einmal für die konstruktive Zusammenarbeit und freue mich jetzt schon auf den Trilog.
"
Tiemo WÖLKEN,2023-10-18,DE,Objection pursuant to Rule 111(3): European Sustainability Reporting Standards (B9-0426/2023)  (vote),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-153-0000_DE.html,"  Tiemo Wölken (S&D).   – Herr Präsident, liebe Kolleginnen und Kollegen! Vor ziemlich genau einem Jahr haben wir hier die Richtlinie über die Nachhaltigkeitsberichterstattung von Unternehmen mit einer riesigen Mehrheit angenommen. Das Ergebnis war möglich, weil unser Kollege Pascal Durand einen ausgewogenen Text verhandelt hat, der auch die Belange der Unternehmen berücksichtigt hat. Für den ECON-, für den ENVI- und für den ITRE-Ausschuss haben drei Kolleginnen der EVP ihre Stellungnahmen erarbeitet, auch die Ausschüsse DEVE, AFET, EMPL und FEMM haben ihre Stellungnahmen eingebracht. Diese Richtlinie wurde hier also wirklich sehr breit diskutiert. Am Ende haben 525 von uns zugestimmt, im Übrigen auch fast alle Kolleginnen und Kollegen von der EVP.
Es überrascht mich daher, dass ausgerechnet die EVP, die mit den meisten Berichterstattern an dieser Richtlinie gearbeitet hat, jetzt einen Einwand einbringt und damit das Gesetz sabotieren will. Einerseits dem Gesetz zustimmen, dann bei der Umsetzung Nein zu sagen – das gehört sich nicht.
Auch inhaltlich verstehe ich die Ablehnung nicht. Wenn man Rechtssicherheit für die Unternehmen schaffen möchte, dann kann man doch jetzt nicht den delegierten Rechtsakt ablehnen, währenddessen die Richtlinie trotzdem zum 1. Januar in Kraft tritt. Das schafft Rechtsunsicherheit, und das kann doch tatsächlich nicht gewollt sein. Außerdem hat die Europäische Kommission gerade ein KMU-Entlastungspaket vorgelegt. Ein Teil davon ist gerade dieser delegierte Rechtsakt, den Sie jetzt ablehnen wollen, und das kann ich nicht verstehen.
Wenn man Unternehmen entlasten möchte, wenn man Unternehmen Rechtssicherheit geben möchte, dann muss man heute über den delegierten Rechtsakt abstimmen und ihm zustimmen, und man sollte seiner Kommissionspräsidentin nicht abermals in den Rücken fallen. Mich beschleicht der Verdacht, es geht hier nicht um die Unternehmen, es geht hier um Wahlkampf – und das sollten wir nicht mitmachen.
Mr President, dear colleagues, please vote today, as you did a year ago and reject this objection to the delegated act with the same broad majority.
"
Tiemo WÖLKEN,2023-10-18,DE,Rule of Law in Malta: 6 years after the assassination of Daphne Caruana Galizia and the need to protect journalists (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-327-0000_DE.html,"  Tiemo Wölken (S&D).   – Frau Präsidentin! Sehr geehrte Frau Kommissarin, schön, dass Sie hier sind, liebe Kolleginnen und Kollegen! Sechs Jahre ist es jetzt her, dass die Journalistin Daphne Caruana Galizia ermordet wurde. Viele von Ihnen wissen vielleicht nicht, dass gegen sie auch über 40 Klagen liefen – 40 Klagen, die sie zum Schweigen bringen sollten. Das geht leider noch viel zu vielen Journalistinnen und Journalisten in der Europäischen Union so, dass sie Opfer von Klagen werden, die sie mundtot machen sollen, die sie fesseln sollen, die ihre finanziellen Ressourcen aufbrauchen, die dafür sorgen sollen, dass sie ihrer Arbeit nicht mehr nachgehen. Das ist ein Umstand, den wir als Europäische Union nicht länger hinnehmen dürfen.
Denn freier Journalismus ist ein Grundpfeiler unserer Demokratie. Freie Journalistinnen und Journalisten korrigieren und kontrollieren die Mächtigen, und das ist so verdammt wichtig. Deswegen freue ich mich, dass wir derzeit an der Anti-SLAPP-Richtlinie arbeiten, auch „Daphne's Law“ genannt. Ich würde mir vom Rat wünschen, dass wir beim nächsten Trilog zu Ergebnissen kommen und insbesondere eine Definition zu grenzüberschreitenden Fällen beschließen, die ambitioniert ist, die Verfahren beschleunigen und zu einem Schadensersatzanspruch für die betroffenen Journalistinnen und Journalisten kommen. Das sind wir allen Opfern für freie Medien in der Europäischen Union schuldig.
"
Tiemo WÖLKEN,2023-10-18,DE,Fighting disinformation and dissemination of illegal content in the context of the Digital Services Act and in times of conflict (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-391-0000_DE.html,"  Tiemo Wölken (S&D).   – Frau Präsidentin, Herr Kommissar Breton! Ich will es ganz klar sagen: Dass Elon Musk seine Verpflichtung unter dem Gesetz über digitale Dienste nicht erfüllen würde, wussten wir ehrlicherweise schon vor dem grausamen Terrorangriff der Hamas auf Israel. Ich habe schon vor einigen Wochen eine parlamentarische Anfrage an die Kommission gestellt, wie es denn mit der Durchsetzung so aussieht. Ich freue mich auf eine Antwort, auch gerne vor der Sechs-Wochen-Frist. Und ich finde, wir dürfen nicht so viel Zeit ins Land gehen lassen, ohne dass wir das Gesetz über digitale Dienste tatsächlich auch durchsetzen.
Erst als das Thema mit dem Hass, der Hetze, dem Antisemitismus sozusagen unausweichlich war, sind Sie losgelaufen und haben Briefe geschickt. Verstehen Sie mich nicht falsch. Das ist gut, das ist richtig, aber ich finde, wir haben uns zu viel Zeit gelassen. Wir dürfen die Durchsetzung von europäischem Recht, gerade von so wichtigen Gesetzen wie dem Gesetz über digitale Dienste, nicht nur davon abhängig machen, was gerade in der Öffentlichkeit passiert, sondern wir brauchen eine dauerhafte Durchsetzung europäischen Rechts mit Maß und Mitte und nicht getrieben vom Wirbelsturm politischer Debatten. Denn dann machen wir uns angreifbar in Richtung Zensur, und gerade das verhindert das Gesetz über digitale Dienste ja mit seinen vielen Schutzmechanismen für die Verbraucherinnen und Verbraucher.
"
