MP,Date,Language,Title,Url,Content
Tom VANDENDRIESSCHE,2023-10-04,NL,Need for a speedy adoption of the asylum and migration package (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-045-0000_NL.html,"  Tom Vandendriessche (ID).   – Voorzitter, collega’s, asielrecht wordt misbruikt als migratiekanaal. Miljoenen proberen Europa illegaal binnen te dringen. Een totale asielchaos is het gevolg.
Iedereen kent het probleem, maar niemand wil, kan of mag optreden. En dat lijkt precies de bedoeling te zijn. Want wat stelt de Europese Unie eigenlijk voor?
Ze wil nog veel meer migratie. Dat wil ze doen door illegale migratie in legale migratie te transformeren. Miljoenen Afrikanen wil ze jaarlijks naar Europa halen, want we hebben migratie nodig, beweert commissaris Johansson. Omdat er te weinig Europese geboortes zijn, beweert commissaris Jourová.
Doelbewust georganiseerde omvolking, de kolonisering van Europa, de onderwerping van de Europeanen, de zelfmoord van onze unieke Europese beschaving. Dit EU-migratiepact is pure waanzin.
"
Tom VANDENDRIESSCHE,2023-10-04,NL,Need for a speedy adoption of the asylum and migration package (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-053-0000_NL.html,"  Tom Vandendriessche (ID),  ""blauwe kaart""-antwoord. – Voorzitter, mijnheer Verhofstadt, ik weet dat liberalen het moeilijk hebben met de vrije meningsuiting, zoals uw collega dat net ook geïllustreerd heeft. Ook in de commissie wil mevrouw mij de mond snoeren en aan een verkozen vertegenwoordiger van het volk weigeren om zich uit te drukken zoals hij wil. U kunt hier blijven roepen, mijnheer Verhofstadt. U bewijst enkel mijn punt. Ik vind het nogal bedroevend voor een man die toch al een beetje op zijn politieke retour is om politici te onderbreken. Dit gezegd zijnde wil ik toch even erop wijzen dat de term “omvolking” vervangingsmigratie is. Migratie inzetten. Waarom? Om het volk van een autochtone bevolking te veroveren. En daartegen verzet ik mij, mevrouw. 
"
Tom VANDENDRIESSCHE,2023-07-12,NL,The need for EU action on search and rescue in the Mediterranean (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-12-INT-3-093-0000_NL.html,"  Tom Vandendriessche (ID).   – Voorzitter, asielrecht wordt misbruikt als migratiekanaal. Miljoenen proberen Europa illegaal binnen te dringen. Eenmaal binnen genieten ze allerhande rechten en sociale voordelen zonder er ooit aan bijgedragen te hebben. Daarom betalen ze mensensmokkelaars. Daarom riskeren ze een gevaarlijke oversteek. Daarop is het businessmodel van de mensensmokkel gebouwd: op de naïviteit, de laksheid en de weigering van de Europese Unie om onze buitengrenzen te verdedigen.
Een ander beleid is mogelijk en noodzakelijk. Onze buitengrenzen moeten dicht. Wie illegaal Europa binnendringt, moet elk recht op asiel verliezen en teruggestuurd worden. Asielrecht moet per definitie in de eigen regio en niet bij ons. Enkel zo breken we het businessmodel van de mensensmokkel. Doe zoals Australië: voer geen welkomstbeleid, maar een terugkeerbeleid. Onderneem geen zoek- en reddingsacties, maar drijf hen terug. Dat is het enige humane antwoord op de asielchaos.
"
Tom VANDENDRIESSCHE,2023-05-10,NL,Externalising asylum applications and making funding to third countries conditional on the implementation of return agreements (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-10-INT-3-219-0000_NL.html,"  Tom Vandendriessche (ID).   – Voorzitter, collega’s, wij worden overspoeld door ongewenste migratie. Miljoenen komen naar Europa. Zij vluchten helemaal niet voor oorlog, want minstens twee derde van hen zijn asielbedriegers. Ze komen naar hier omdat ze allerhande sociale en financiële voordelen kunnen ontvangen zonder er ooit aan bijgedragen te hebben. Het gevolg is een asielchaos die het perfide businessmodel van de mensensmokkel in stand houdt, onveiligheid betekent voor onze mensen en ons sociaal systeem ondermijnt. Dit is onhoudbaar.
De Europese Unie weigert onze buitengrenzen te beschermen. Integendeel. Met het EU-migratiepact wil ze doelbewust miljoenen jaarlijks naar Europa halen. Dat is niet duurzaam.
Asielrecht is een humanitaire opdracht. Om dat asielrecht opnieuw houdbaar en duurzaam te maken, is een fundamenteel ander migratiemodel nodig. Het recht op asiel betekent geen recht op verblijf. Opvang moet daarom per definitie in eigen regio. Wie illegaal onze thuislanden binnendringt, moet elk recht op asiel verliezen. Ontwikkelingssamenwerking en handel moeten we afhankelijk maken van de bereidheid illegalen terug te nemen en migratie actief mee te helpen bestrijden. Een duurzaam, houdbaar en vooral humaan asielbeleid is wel degelijk mogelijk.
"
Tom VANDENDRIESSCHE,2023-04-20,NL,Decision to enter into interinstitutional negotiations: Screening of third country nationals at the external borders (A9-0149/2023 - Birgit Sippel)  (vote),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-20-INT-4-131-0000_NL.html,"  Tom Vandendriessche (ID).   – Voorzitter, de Europese Unie doet er blijkbaar alles aan om het EU-migratiepact er geruisloos door te duwen. In de LIBE-commissie werd Parlementsleden tegen de regels in voldoende tijd ontzegd om dit plan grondig te bestuderen. Nu wil men dat het Parlement zomaar een mandaat geeft, zonder stemming en zonder debat. Waarom mag dit Parlement zijn rol niet vervullen? Dit EU-migratiepact biedt helemaal geen oplossing voor de migratiecrisis, maar zal integendeel de asielchaos nog versterken. De voorliggende screeningverordening geeft allerlei procedurele waarborgen aan economische gelukszoekers, terwijl lidstaten het recht om hun grenzen te beschermen ontnomen wordt. We mogen het zelfs niet meer over illegale migratie hebben. We moeten het nu blijkbaar “irregulier” noemen. Lidstaten mogen niet langer bepalen hoe ze onze grenzen beschermen. Biometrische beveiliging wordt verboden. Illegale migratie wordt gewoon vervangen door legale migratie. De burger heeft het recht te weten wat hem te wachten staat met deze waanzinnige migratieplannen van de Europese Unie. 
Dit is de eeuw van de demografie. De bevolking van Afrika gaat van één naar vier miljard inwoners. We staan nog maar aan het begin van een migratie-invasie die onze unieke beschaving kan vernietigen. In plaats van concrete oplossingen te bieden, zegt de Europese Unie letterlijk: “We need migration”. De Europese Unie wil migratie niet afremmen, maar integendeel stimuleren. Hierover moeten wij minstens een debat voeren zoals het in een parlementaire democratie hoort. 
"
Tom VANDENDRIESSCHE,2023-03-15,NL,Deaths at sea: a common EU response to save lives and action to ensure safe and legal pathways (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-15-INT-3-240-0000_NL.html,"  Tom Vandendriessche (ID).   – Voorzitter, collega’s, in 2022 rapporteerde Frontex meer dan 330 000 illegale oversteken naar Europa. 90 % van hen betaalde mensensmokkelaars. Eenmaal in Europa kan men immers genieten van de sociale zekerheid die onze voorouders opgebouwd hebben en onze belastingbetalers financieren zonder er zelf ooit aan bijgedragen te hebben. Het enige dat men moet doen is asiel aanvragen. Dit zijn helemaal geen echte vluchtelingen, maar economische gelukzoekers en asielbedriegers. 
Wat doet de Europese Unie om onze mensen te beschermen? Helemaal niets. Integendeel, men wil het precies gemakkelijker maken om naar Europa te komen. Er is wel degelijk een alternatief voor dit falend en immoreel beleid. Wie illegaal Europa binnendringt, moet elk recht op asiel verliezen en een levenslang verbod krijgen ons grondgebied te betreden. Asielrecht betekent geen verblijfsrecht. Opvang moet per definitie in de regio van herkomst, en niet bij ons.
"
Tom VANDENDRIESSCHE,2023-02-01,NL,"Preparation of the Special European Council meeting of February, in particular the need to develop sustainable solutions in the area of asylum and migration (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-02-01-INT-1-058-0000_NL.html,"  Tom Vandendriessche (ID).   – Voorzitter, collega’s, wij worden letterlijk overspoeld door ongewenste migratie. Dit is geen natuurfenomeen dat ons overkomt, maar het gevolg van doelbewuste politieke keuzes. Ze weigeren de Europese buitengrenzen te beveiligen en illegalen effectief terug te sturen. Asielrecht wordt misbruikt als migratiekanaal en dat zorgt voor onveiligheid, ondermijnt asielrecht voor echte vluchtelingen en houdt het businessmodel van de mensensmokkel in stand. Dat is niet duurzaam, onhoudbaar en compleet immoreel.
We moeten en kunnen andere politieke keuzes maken. Asielrecht betekent geen verblijfsrecht. Opvang moet per definitie in de regio van herkomst. Landen die hun illegalen niet terugnemen, moeten we straffen met economische sancties, en we moeten elke ontwikkelingshulp stopzetten. Onze mensen willen niet meer, maar vooral minder migratie.
"
Tom VANDENDRIESSCHE,2022-11-10,NL,"Racial justice, non-discrimination and anti-racism in the EU (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2022-11-10-INT-2-022-0000_NL.html,"  Tom Vandendriessche (ID).   – Voorzitter, volgens het verslag behoort racisme tot de kern van onze unieke Europese beschaving en is het ingebakken in onze samenleving, en zelfs in wie wij zijn. Hierdoor ontstaat een waar “blankenprobleem”: onze universiteiten, onze bedrijven en onze cultuur zijn te blank en te zwarte gevangenissen, criminaliteit of werkloosheid zijn de schuld van de blanken.
Er is slechts één echte vorm van structureel en systemisch racisme, namelijk positieve discriminatie. Hierbij wordt de oorspronkelijke Europese bevolking structureel en systematisch gediscrimineerd op grond van huidskleur en worden Europeanen tweederangsburgers in eigen land. Dit wordt inclusie en diversiteit genoemd, maar er is niets positiefs aan. Dit is racisme tegen blanken en dit druist in tegen onze Europese waarden.
Alle burgers moeten gelijk zijn voor de wet.
"
Tom VANDENDRIESSCHE,2022-10-18,NL,Keep the bills down: social and economic consequences of the war in Ukraine and the introduction of a windfall tax (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-10-18-INT-2-039-0000_NL.html,"  Tom Vandendriessche (ID).   – Voorzitter, collega’s, deze energiecrisis overkomt ons niet zomaar. Het is het gevolg van een doelbewuste politieke keuze waarvan de gevolgen ook voorspelbaar waren. 
Vanuit ecologisch dogmatisme werden kerncentrales gesloten. Vanuit liberaal moralisme werd een onbezonnen economische oorlog ontketend. Het ene na het andere sanctiepakket werd afgekondigd. Daarmee dacht men de oorlog te stoppen en Rusland zonder geld te zetten. Het omgekeerde gebeurde. De energieprijzen exploderen, waardoor Poetin precies méér geld ontvangt om zijn gruwelijke oorlogsmachine te financieren. Torenhoge inflatie is het gevolg. Spaargeld en koopkracht gaan in rook op. Industrie delokaliseert. Pensioenfondsen dreigen omver te vallen. 
Europa is economisch zelfmoord aan het plegen. Gewone mensen betalen daar de prijs van. Een Vlaams gezin betaalt nu al vier keer meer voor energie. Zij worden vergeten en in de steek gelaten. En wat doet de Europese Unie? Nog meer sancties. Nog meer wapenleveringen. 
De Europese Unie werd ooit opgericht om vrede en welvaart te brengen. Dit is helaas oorlog en collectieve verarming geworden. Ze hebben ons in het moeras van deze oorlog getrokken en hebben er geen flauw benul van hoe lang die nog zal duren en hoe we daar eigenlijk ooit opnieuw uitraken. Deze Europese Unie leidt ons naar de economische ondergang, als het al niet naar de loopgraven is. Deze waanzin moet stoppen.
"
Tom VANDENDRIESSCHE,2022-09-14,NL,Existence of a clear risk of a serious breach by Hungary of the values on which the Union is founded (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-09-14-INT-3-160-0000_NL.html,"  Tom Vandendriessche (ID).   – Voorzitter, collega’s, Hongarije is een vrij land dat zijn eigen keuzes maakt. Ze verwerpen ongewenste massa-immigratie en kiezen voor veilige grenzen. Ze verwerpen geforceerde multicultuur en kiezen voor het behoud van hun identiteit. Ze verwerpen genderideologie en kiezen voor de normaliteit van het gezin waar een moeder een vrouw is, een vader een man, en een kind nog steeds een kind mag blijven. We kunnen het eens of oneens zijn met die keuzes, maar het is vooral een democratische keuze die de Hongaren zelf in alle vrijheid maken. En dat moeten we respecteren.
Is “In verscheidenheid verenigd” – dus, respect voor verschil – immers niet de slogan van de Europese Unie? Maar dat is niet naar de zin van de globalistische elite. De diversiteit in Europa staat precies in de weg van hun imperiale plannen. Ze willen de Europese Unie transformeren naar een gecentraliseerde superstaat. Daarom willen ze de soevereiniteit van staten ontmantelen en de identiteit van volkeren uitwissen, om zo uiteindelijk vrije burgers te onderwerpen aan de wil van onverkozen bureaucraten.
Niet Hongarije, maar de Europese Unie treedt de Europese waarden met voeten. Niet Hongarije, maar de Europese Unie respecteert de democratische rechtsstaat niet. De strafexpedities van de Europese Commissie tegen dat land zijn een waarschuwing voor alle andere lidstaten. Ooit komen ze achter u aan. Hongarije en Viktor Orbán staan enkel maar in hun weg.
"
