MP,Date,Language,Title,Url,Content
Tom VANDENKENDELAERE,2023-12-13,NL,European Defence investment programme (EDIP) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-13-INT-3-399-0000_NL.html,"  Tom Vandenkendelaere (PPE).   – Voorzitter, commissaris, collega’s, de versterking van de Europese defensie werd noodgedwongen een onbetwiste beleidsprioriteit. Te lang en te ver hebben we in dit domein een achterstand laten groeien. Maar sinds Poetin getoond heeft tot wat hij in staat is, heeft laksheid plaatsgemaakt voor initiatieven om ons letterlijk te wapenen tegen toenemende dreigingen.
Sinds maart 2022 bestaat er een hele grote politieke wil die ook nodig is om het veiligheids- en defensiebeleid van de Europese Unie een echte upgrade te geven. Externe druk heeft voor vooruitgang gezorgd, maar meer nog dan een effectieve respons in een crisissituatie hebben wij echt nood aan een stevige en volwaardige Europese defensie op lange termijn, vooral en in de eerste plaats door meer en betere investeringen in industrie en technologie, op maat van alles wat we met elkaar in het strategisch kompas afgesproken hebben.
Strategische zelfredzaamheid vraagt om blijvende inspanningen, ook wanneer het straks niet meer zal branden. Het is daarom dat ik graag mijn steun uitspreek voor het Europees defensie-investeringsprogramma en meteen ook pleit voor voldoende middelen om het effect ervan te verzekeren, en dat we voluit en geloofwaardig een echte omvattende strategie voor een Europese defensie-industrie mogen en moeten uitdragen.
"
Tom VANDENKENDELAERE,2023-12-12,NL,Framework for ensuring a secure and sustainable supply of critical raw materials (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-075-8750_NL.html,"  Tom Vandenkendelaere (PPE),  schriftelijk. – Een ambitieuze Critical Raw Materials Act moet toelaten om de bocht te maken naar een sterker industrieel beleid dat onze concurrentiepositie vrijwaart. Het is van strategisch belang dat Europa haar eigen duurzame toeleveringsketen voor kritieke grondstoffen opbouwt door de snel veranderende geopolitieke context en grote afhankelijkheid van derde landen zoals China. Europa produceert bijvoorbeeld minder dan 1% van de lithiumbatterijen terwijl we de doelstellingen om elektrisch te rijden net hebben opgevoerd. Met de Critical Raw Materials Act kan Europa een belangrijke stap vooruit zetten om haar concurrentiepositie versterken en afhankelijkheid van derde landen verminderen. Door in te zetten op innovatie in de hele waardeketen, bureaucratie te verminderen, strategische partnerschappen met derde landen en KMOs beter te ondersteunen. Verder willen we ook meer inzetten op onderzoek en ontwikkeling van alternatieve materialen en milieuvriendelijkere mijnbouw- en productiemethoden stimuleren. De wetgeving voorziet in economische stimulansen en een stabieler en zekerder bedrijfskader voor mijnbouw- en recyclingprojecten, met snellere en eenvoudigere vergunningsprocedures. Het Europees Parlement wil een sterkere focus op de productie en opschaling van materialen die strategische grondstoffen kunnen vervangen. We hebben ambitieuze doelstellingen nodig om bijvoorbeeld de winning van meer strategische grondstoffen uit afvalproducten te stimuleren.
"
Tom VANDENKENDELAERE,2023-12-12,NL,European Economic Security Strategy (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-439-0000_NL.html,"  Tom Vandenkendelaere (PPE).   – Voorzitter, commissaris en collega’s, de bescherming van strategische sectoren van onze economie is eigenlijk een zoveelste uitdaging die in de huidige context van toenemende geopolitieke rivaliteit alleen op Europees niveau adequaat beantwoord kan worden.
Graag vraag ik vandaag bijzondere aandacht voor een essentieel onderdeel van die strategie die wij allemaal voor ogen hebben: de bescherming van kritieke infrastructuur. Want de veiligheid van infrastructuur met strategische relevantie voor onze economie is een van de basiselementen van de weerbaarheid waaraan het de EU vandaag duidelijk ontbreekt. In die mate zelfs dat economische belangen en uitdagingen op het gebied van defensie hier eigenlijk hand in hand gaan. Tegen de achtergrond van meer samenwerking tussen de EU en de NAVO — vooral in het teken van weerbaarheid, van welvaart en de veiligheid van onze burgers — wil ik echt een lans breken voor een strategie die ook oog heeft voor de samenhang tussen beide.
"
Tom VANDENKENDELAERE,2023-12-12,NL,EU-US relations (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-506-0000_NL.html,"  Tom Vandenkendelaere (PPE).   – Voorzitter, hoge vertegenwoordiger, collega’s, in een geest van een trans-Atlantisch partnerschap zijn de relaties tussen de Europese Unie en de VS eigenlijk een van de belangrijkste pijlers van ons buitenlands beleid, een sterke en inderdaad ook nodige hefboom in vele beleidsdomeinen. Brussel en Washington delen vele waarden en belangen, en een sterke samenwerking is onontbeerlijk om kritische massa te hebben in de aanpak van regionale en wereldwijde uitdagingen.
Maar een basiswaarde bij uitstek die we delen met elkaar, is democratie gebaseerd op de principes van de rechtsstaat. Helaas blijkt dat geen verworvenheid te zijn, laat staan een evidentie. De toenemende druk hierop — zowel van binnenuit als in confrontatie met autoritaire regimes — schreeuwt om een meer gerichte en proactieve samenwerking tussen ons om de democratische weerbaarheid te versterken in al zijn aspecten. Herhaaldelijk heb ik er al voor gepleit om in de schoot van de NAVO daarom een centrum voor democratische weerbaarheid op te richten om dat engagement en de belangen die door de Europese Unie en de VS worden gedeeld, te onderstrepen. Ik zal dat blijven doen zolang de nood aan dergelijke initiatieven voelbaar blijft.
"
Tom VANDENKENDELAERE,2023-11-21,NL,Packaging and packaging waste (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-259-7500_NL.html,"  Tom Vandenkendelaere (PPE),  schriftelijk. – Verpakkingen worden gebruikt van productie tot consumptie ter bescherming van producten, tegelijkertijd vormt het een steeds grotere bron van afval. Elke Europeaan produceert jaarlijks 177 kilo verpakkingsafval. Papier, karton en plastic zijn de grootste boosdoeners. Daarom steun ik het Europees voorstel om alle verpakkingen recycleerbaar te maken tegen 2030, duidelijke targets om het aandeel gerecycleerd materiaal in verpakkingen aanzienlijk op te trekken en bepaalde soorten verpakkingen te verbieden. Dit zal niet alleen onze Europese klimaat- en milieu doelstellingen bevorderen maar ook de werking van de interne markt optimaliseren. Toch moeten we erover waken dat we sectoren gelijk behandelen en geen onnodige, noch onhaalbare zaken voor te stellen. Laat ons eerst focussen daar waar de meeste winsten te behalen zijn en ook rekening houden met andere uitdagingen zoals hygiëne of voedselverspilling. België is reeds voorloper op dit vlak en recycleert tot 80% verpakkingsafval, in tegenstelling tot landen zoals Roemenië en Malta waar dit slechts 40% bedraagt.
"
Tom VANDENKENDELAERE,2023-11-21,NL,Proposals of the European Parliament for the amendment of the Treaties (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-331-0000_NL.html,"  Tom Vandenkendelaere (PPE).   – Voorzitter, commissaris, collega’s, in het licht van de toekomstige uitbreiding en in tijden van toenemende geopolitieke uitdagingen zijn institutionele hervormingen meer dan wenselijk om de werking van de Unie te verbeteren en onze eenheid en besluitvaardigheid te versterken.
Maar laat ons eerlijk zijn: het zal niet eenvoudig zijn om alle lidstaten hiervan te overtuigen en om de juiste weg te bewandelen om te kiezen voor de hervormingen die voor meer en beter en niet voor minder en slechter Europa zorgen.
Het debat moet worden gevoerd, de onderhandelingen moeten een kans krijgen. Maar met het vooruitzicht van een nieuwe uitbreidingsgolf horen we zeker ook andere sporen te blijven volgen die leiden naar meer efficiëntie van het beleid en van het optreden van onze Unie. Ik denk hier met name aan meer politieke wil om alle mogelijkheden die de Verdragen nu al bieden — zoals de zogenaamde overbruggingsclausules — systematisch en optimaal te gebruiken en bijvoorbeeld ook aan een sterkere differentiatie van het Europese integratieproces.
"
Tom VANDENKENDELAERE,2023-11-20,NL,Framework of measures for strengthening Europe’s net-zero technology products manufacturing ecosystem (Net Zero Industry Act) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-20-INT-1-123-0000_NL.html,"  Tom Vandenkendelaere,  Rapporteur voor advies van de Commissie interne markt en consumentenbescherming. – Voorzitter, commissaris, collega’s, onze Europese industrie staat voor de dringende uitdaging om ons concurrentievermogen verder op te krikken. Ik wil Christian Ehler dan ook feliciteren met dit Europese antwoord op de Amerikaanse Inflation Reduction Act.
Ook voor de publieke sector is een rol weggelegd hier, door bij overheidsopdrachten niet enkel de goedkoopste technologieën te kiezen, maar toelevering te differentiëren, zodat we minder afhankelijk worden van derde landen én een markt creëren voor eigen producten van eigen producenten.
Onze Europese ambities in deze transitie zijn echter erg groot. Daarom ben ik behoedzaam voor de invoering van bijkomende sociale, protectionistische criteria die het proces van overheidsopdrachten nog complexer dreigen te maken en op korte termijn druk zetten op de kost en de snelheid van onze groene transitie.
Laat ons vooral zorgen voor werkbare wetgeving voor onze bedrijven die onze competitiviteit echt versterkt.
"
Tom VANDENKENDELAERE,2023-11-09,NL,System of own resources of the European Union (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-09-INT-2-060-3750_NL.html,"  Tom Vandenkendelaere (PPE),  schriftelijk. – Met dit verslag zet het Europees Parlement het licht op groen om de financiële middelen van de EU te hervormen. De laatste jaren heeft de Unie zich sterk ingezet om de gevolgen van de COVID-19-pandemie en de Russische invasie van Oekraïne te verzachten. Via NextGenerationEU, het grootste herstelplan ooit binnen de Europese Unie, willen we onze economie groener, moderner en competitiever heropbouwen. Hiervoor zijn we gezamenlijke schulden aangegaan die de Unie moet kunnen opvangen. De nieuwe middelen die de EU hiervoor zal kunnen aanspreken, zijn afkomstig uit het emissiehandelssysteem, het mechanisme voor koolstofgrenscorrectie en een grotere bijdrage van multinationale technologiebedrijven. 
Door de budgettaire slagkracht van de EU verder uit te breiden, zullen we in de toekomst meer ruimte hebben voor crisisbeheer en voor de verdere uitbouw van succesvolle programma’s zoals Erasmus of Horizon Europa. Hiervoor moeten we ook geen bijkomende inspanningen van de Europese belastingbetaler vragen. Grote vervuilers zullen daarentegen wel zwaardere bijdragen moeten leveren. Hiermee tonen we aan dat de Europese Unie slagkrachtig kan optreden wanneer nodig, iets wat ook de immer kritische burger niet mag en zal ontgaan.
"
Tom VANDENKENDELAERE,2023-10-19,NL,European protein strategy (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-19-INT-4-048-0000_NL.html,"  Tom Vandenkendelaere,  namens de PPE-Fractie. – Voorzitter, commissaris, collega’s, voor eiwitten, voor onze dierenvoeders zijn we te afhankelijk van de invoer uit landen als Argentinië, Brazilië en de Verenigde Staten. Die afhankelijkheid voor soja bijvoorbeeld bedraagt maar liefst 97 %. Dat is pakweg dezelfde afhankelijkheid als die die we hebben voor microchips uit Taiwan. Gelet op de prijs, de volatiliteit van grondstoffen op de wereldmarkt en handelsverstoringen door de Russische oorlog in Oekraïne is die afhankelijkheid van het buitenland niet meer en niet minder dan een immense achilleshiel voor Europa.
Ook strookt het niet met onze visie op, bijvoorbeeld, de ontbossing in derde landen en het moet dus duidelijk anders in de komende jaren. Dit Parlement roept daarom terecht op tot een ambitieuze Europese eiwitstrategie die focust op de verhoogde productie van plantaardige eiwitten en op het diversifiëren van de toelevering.
Voor mij zijn daarbij drie principes cruciaal: 
Ten eerste, de boer moet centraal staan in deze strategie. De eiwitstrategie heeft een immens potentieel om opportuniteiten te creëren voor boeren door bijvoorbeeld stimulansen en ondersteuning te geven om eiwitgewassen te produceren. Maar cruciaal daarbij is natuurlijk ook de creatie van een echte afzetmarkt voor deze nieuwe eiwitten. Een markt die echt iets oplevert voor boeren en ook voorziet in de nodige R&D en innovatie.
Een tweede belangrijk principe is het gelijke speelveld. We kunnen inderdaad meer eiwitten zelf produceren, zowel voor voeding als voor voeders, maar enkel natuurlijk op voorwaarde dat we dan de achterdeur niet laten openstaan voor goedkope voeders vanuit het buitenland, geproduceerd op basis van lagere standaarden. Enkel zo kunnen onze boeren echt competitief zijn.
Ten derde moeten we aanvaarden dat dierlijke proteïnen per definitie circulair zijn. De reststromen van voeding kunnen ingezet worden als diervoeders. Restproducten zoals mest kunnen dienen als alternatief voor dure kunstmest of voor energieopwekking. Het stemt mij dan ook tevreden dat een meerderheid van het Parlement nogmaals in deze tekst zijn schouders zet onder de toelating voor RENURE-producten. Dat signaal kan nu echt niet duidelijker klinken.
Tot slot moeten we erkennen dat we te lang de ogen gesloten hebben voor deze afhankelijkheid. Maar dit Parlement vraagt vandaag duidelijke actie van de Europese Commissie. Kom alstublieft met een ambitieuze eiwitstrategie. Zet onze Unie op weg naar meer autonomie.
"
Tom VANDENKENDELAERE,2023-10-18,NL,"The despicable terrorist attacks by Hamas against Israel, Israel’s right to defend itself in line with humanitarian and international law and the humanitarian situation in Gaza (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-085-8125_NL.html,"  Tom Vandenkendelaere (PPE),  schriftelijk. – Het bestaansrecht van Israël moet het vertrekpunt zijn van alle inspanningen om een duurzame oplossing van het conflict tussen Israël en de Palestijnen te realiseren. Op 7 oktober is pijnlijk duidelijk geworden hoe actueel dit uitgangspunt is. De Palestijnse burgerbevolking heeft net als Israël alle recht op een vreedzaam en welvarend bestaan, en we moeten alles in het werk blijven stellen om daartoe bij te dragen. Juist daarom spreken wij ondubbelzinnig onze steun uit voor Israël en zijn bevolking in de confrontatie met Hamas en alle gewelddadige extremisten die alleen de vernietiging van de staat Israël voor ogen hebben – desnoods ten koste van de eigen Palestijnse bevolking. De gruweldaden van Hamas moeten krachtig worden veroordeeld. We beklemtonen het recht van Israël op zelfverdediging met nadrukkelijke aandacht voor het internationaal recht en de humanitaire noden van onschuldige Palestijnse burgers in de Gazastrook. We klagen de nefaste rol van Iran in de regio aan en dringen erop aan dat ervoor gezorgd wordt dat geen EU-middelen direct of indirect worden gebruikt om terroristische organisaties te financieren. En we roepen nadrukkelijk op om alle maatregelen te nemen die nodig zijn om de veiligheid van de Joodse burgers in de EU te waarborgen.
"
