MP,Date,Language,Title,Url,Content
Udo BULLMANN,2023-11-22,DE,"Humanitarian situation in Gaza, the need for the release of hostages and for an immediate humanitarian truce leading to a ceasefire and the prospects for peace and security in the Middle East (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-22-INT-3-048-0000_DE.html,"  Udo Bullmann (S&D).   – Herr Präsident, werte Kolleginnen und Kollegen! Wenn es dazu kommt, dass Geiseln freikommen, wenn es dazu kommt, dass Feuerpausen eingehalten werden, dann sind das wichtige und richtige Schritte – aber es ist nicht genug.
Die Menschen in den Todeszonen Israels, die Menschen in den Todeszonen Gazas brauchen mehr. Und ja, Herr Borrell hat Recht: Wir müssen in Richtung Frieden blicken. Aber was heißt das? Das heißt für die Europäische Union, dass wir auch die Kraft und die Courage aufbringen müssen, den Weg dafür zu ebnen.
Die Menschen in Israel müssen in Frieden und in Sicherheit leben können. Wo sind die Vertreter der arabischen Nachbarstaaten, die ihre Stimme erheben und das mit garantieren? Ja – wo sind die Freunde Israels, die klar und unmissverständlich deutlich machen, dass keine weiteren unschuldigen Menschen sterben dürfen und dass die Gewalt der Siedler gestoppt gehört?
Herr Kommissar, Herr Hoher Beauftragter, lassen Sie uns Teil der Antwort werden! Lassen Sie uns Teil der Lösung sein, die die Todesspirale ein für alle Mal stoppt!
"
Udo BULLMANN,2023-10-18,DE,"Outcome of the SDGs Summit (18-19 September 2023, New York) – transformative and accelerated actions leading up to 2030 and beyond (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-273-0000_DE.html,"  Udo Bullmann,  im Namen der S&D-Fraktion. – Herr Präsident, Herr Ratspräsident, Frau Kommissarin! Ja, es ist Halbzeit der Agenda 2030, Halbzeit bei der Nachhaltigkeitsstrategie der Vereinten Nationen und ihrer Mitgliedstaaten – unserem gemeinsamen Plan für die Welt von morgen.
Sie haben es bereits erwähnt: Die Zwischenbilanz ist äußerst beunruhigend. Bei rund 30 Prozent unserer Ziele gibt es keine Verbesserung, ja, sogar Verschlechterungen. Sehr beängstigend, aber auch signifikant: Die Zahl der Hungernden ist dramatisch gestiegen, der Menschen, die unterernährt sind oder vom Hungertod bedroht. Vor wenigen Jahren noch – und das ist auch deutlich zu viel – über 570 Millionen, jetzt 730 Millionen und mehr, die dieses Schicksal erleiden.
In vielen Ländern dieser Erde fehlt es am Nötigsten, aber natürlich auch an den finanziellen Möglichkeiten, in Erziehung, in Gesundheit, in gute Arbeit zu investieren, und an den Möglichkeiten, die drohende Klimakrise zu bekämpfen. Und das ist der Grund, warum wir das heute hier diskutieren: weil es um unsere gemeinsame Zukunft geht und weil es nur eine Zukunft für alle geben wird in Frieden und Freiheit und ein erstrebenswertes Leben, wenn wir grundlegende Veränderungen am Verhältnis von Nord und Süd vornehmen, wenn wir ein neues Kapitel aufschlagen.
Deswegen, werte Kolleginnen und Kollegen, hat der Generalsekretär der Vereinten Nationen, António Guterres, recht, wenn er sagt, wir brauchen 500 Milliarden zusätzlich, um Luft zu schaffen für Investitionen, um Luft zu schaffen für die Länder des Globalen Südens. Die Wertschöpfung muss in diesen Ländern verbleiben. Es muss Schluss sein mit Steuerhinterziehung und Steueroasen, die auch vom Westen, die auch vom Norden unterstützt werden. Und ja, die Weltbank, der IWF und unsere Förderbanken müssen sich neu aufstellen, um diesen Anforderungen Rechnung zu tragen. Lassen Sie uns gemeinsam dafür arbeiten, es ist höchste Zeit.
"
Udo BULLMANN,2023-10-17,DE,Commission Work Programme 2024 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-17-INT-2-233-0000_DE.html,"  Udo Bullmann (S&D).   – Frau Präsidentin, Herr Exekutiv-Vizepräsident! Auch von mir meinen herzlichen Glückwunsch! Ich habe eine Bitte an die Kommission, wenn es dazu kommt, das Arbeitsprogramm 2024 zu diskutieren. Frau von der Leyen ist gestartet mit dem Versprechen, eine globale Kommission, eine Kommission der internationalen Verantwortung zu etablieren. Lassen Sie uns damit anfangen! 
Ja, wir wollen sie darin unterstützen. Wir müssen zeigen, wie das geht. Das machen wir gerne gemeinsam, und es gibt ein Fundament: Artikel 21 – Menschenrechte. Die Europäische Union ist verpflichtet, Menschenrechte zu unterstützen und durchzusetzen, wo immer sie kann, mit allen Mitteln. Wo war das in dem sogenannten Tunesien-Deal? Wo lesen wir da etwas von Menschenrechten? Er wird nicht funktionieren. Das Gleiche gilt für die Afrika-Debatte. Ja, wir machen gerne eine neue Mitteilung, eine neue Erklärung, aber lassen Sie uns Taten sprechen. Wir müssen dafür sorgen, dass die jungen Nationen unseres Nachbarkontinents Luft zum Atmen haben.
Ein Wort an die Rechte in diesem Haus, die sich ja auch heute wieder so lautstark zu Wort meldet: Nein, wir werden Ihnen nicht gestatten, die Politik der Europäischen Union, der Solidarität zu entkleiden und zu entmenschlichen. Dieses Haus wird um Solidarität und Menschenrechte zusammenstehen!
"
Udo BULLMANN,2023-09-12,DE,EU-Tunisia Agreement - aspects related to external migration policy (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-097-0000_DE.html,"  Udo Bullmann (S&D).   – Herr Präsident, werte Kolleginnen und Kollegen! Präsident Saied bekommt mehr als eine Milliarde Euro, während er zentrale Menschenrechtsverletzungen begeht und weiter Demokratie in Tunesien abbaut. Kommissar Várhelyi, Sie müssen Fragen beantworten, sehr konkrete Fragen.
Warum ist eine Vereinbarung nicht versucht worden im Rahmen des existierenden Assoziierungsabkommens mit Tunesien, dessen Artikel 2 uns genau bindet auf die Einhaltung der Menschenrechte? Ist das ein Zufall?
Sie müssen Fragen beantworten, die sich auch auf die Äußerungen von Volker Türk, dem UN-Hochkommissar für Menschenrechte, beziehen, der jüngst im Juni festgestellt hat, wie sehr sich die Situation verschlechtert. Haben Sie mal mit dem geredet?
Und wie wollen Sie garantieren, dass die Grundsätze der Europäischen Union im Artikel 21 des EU-Vertrags – Menschenrechte sind der Maßstab unserer Außenpolitik – eingehalten werden?
"
Udo BULLMANN,2023-09-12,DE,Iran: one year after the murder of Jina Mahsa Amini (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-304-0000_DE.html,"  Udo Bullmann (S&D).   – Herr Präsident, Kolleginnen und Kollegen! Es ist ein Jahr her, dass Dschina Mahsa Amini umgebracht wurde. Wir haben die mutigen Demonstrationen gesehen, das Aufbegehren der Menschen im Iran, insbesondere der Frauen, und wir haben die brutale Reaktion des Regimes wahrgenommen: die Niederschlagung, die Unterdrückung der Opposition, die Gewalttaten, und die Situation verschlechtert sich – allein in diesem Jahr über 500 Menschen, die hingerichtet wurden.
Menschenrechte sind unteilbar – sie gelten überall und für alle. Das ist die Lehre der mutigen Menschen für uns. Aber sie haben einen Gegner: Das ist unser Stillschweigen, das ist unser Hinhalten. Herr Borrell, wir müssen andere Saiten aufziehen. Ja, die Revolutionsgarden müssen auf die Liste der Terrororganisationen gesetzt werden. Und wir müssen die finanziellen Stricke unterbinden, mit denen dieses Regime sich international absichert. Das ist das, was wir zu erledigen haben. Und das ist das, was unsere Mitgliedstaaten verstehen müssen. Wenn nicht jetzt handeln, wann wollen wir handeln? 
Wir setzen auf Sie und auf Ihr Engagement, dass Sie dafür sorgen, dass das nun endlich geschieht.
"
Udo BULLMANN,2023-07-12,DE,Tax the rich (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-12-INT-3-216-0000_DE.html,"  Udo Bullmann (S&D).   – Frau Präsidentin, werte Kolleginnen und Kollegen! Die fortschreitenden Ungleichheiten in dieser Welt töten. Das gilt insbesondere für die ärmeren Länder des Globalen Südens, Länder, die eigentlich sehr reich sind, sehr häufig an Ressourcen, aber fast immer reich – was viel wichtiger ist – an jungen Menschen, die ihr Schicksal selber in die Hand nehmen wollen, die im wahrsten Sinne des Wortes etwas unternehmen wollen, aber denen dafür die Mittel fehlen.
Afrika allein verliert pro Jahr über 80 Milliarden US-Dollar durch Steuerflucht, und deswegen, Herr Ratspräsident, Herr Kommissar, müssen wir Dampf machen bei den G20 im September in Neu-Delhi und bei den anderen internationalen Konferenzen: Mindeststeuern umsetzen, Steuerhinterziehung gemeinsam bekämpfen, auch unsere Steueroasen endlich dichtmachen, damit die Menschen auf der ganzen Welt eine Chance haben, vom Reichtum zu profitieren.
"
Udo BULLMANN,2023-06-14,DE,Lessons learnt from the Pandora Papers and other revelations (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-14-INT-3-277-0000_DE.html,"  Udo Bullmann,  Verfasser der Stellungnahme des mitberatenden Entwicklungsausschusses. – Frau Präsidentin, werte Kolleginnen und Kollegen, Herr Kommissar! Wir kennen die Zahlen. Ein Kontinent wie Afrika verliert jährlich rund 80 Milliarden US-Dollar allein durch illegale Kapitalflucht. Das ist ungefähr der Betrag, den Afrika braucht für seine jährlichen Modernisierungsinvestitionen, für Schulen, für Krankenhäuser und für Verkehrswege. Wann werden wir endlich wach und ziehen daraus die nötigen Konsequenzen?
Ja, wir wollen globale Mindeststeuern, wie der Berichterstatter Fuglsang es zu Recht fordert. Ja, wir wollen effektive Steuersysteme, unseren Partnerländern helfen − für anständige Behörden, die ihre Arbeit machen. Aber zuvorderst: Wir müssen unsere eigenen Steueroasen trockenlegen, dafür sorgen, dass wir nicht selber den Briefkastenfirmen und den Steuerhinterziehern Vorschub leisten. Das ist die Tagesaufgabe, wenn wir die Probleme bewältigen wollen und international dafür sorgen wollen, dass es eine bessere Zusammenarbeit bei der Steuerpolitik gibt.
"
Udo BULLMANN,2023-06-14,DE,Implementation and delivery of the Sustainable Development Goals (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-14-INT-3-315-0000_DE.html,"  Udo Bullmann,  Berichterstatter. – Frau Präsidentin, liebe Kolleginnen und Kollegen, mein lieber Ko-Berichterstatter Petros Kokkalis! Ich danke auch den Schattenberichterstatterinnen und Schattenberichterstattern, die so konstruktiv an dem Bericht mitgearbeitet haben.
2015 hat sich die Weltgemeinschaft verständigt auf ein großes Reformprogramm: die Agenda 2030 − das Konzept für eine nachhaltige, für eine soziale, für eine bessere Welt. Wenn wir heute, acht Jahre später, Halbzeitbilanz ziehen, dann müssen wir uns mit massiven Problemen auseinandersetzen. Die Anzahl der Flüchtlinge weltweit ist auf über 110 Millionen Menschen gestiegen. Wir könnten alleine in 2050 140 Millionen Klimaflüchtlinge haben. Hunger ist zurück auf dem Globus. Über 830 Millionen Menschen sind davon akut bedroht.
Was ist die Antwort? Aufgeben mit der Agenda 2030? Das kann nicht die Losung sein. Ganz im Gegenteil. Wir brauchen dieses ganzheitliche Konzept mehr als jemals zuvor als Kompass, um die Krisen zu bewältigen, und als Richtschnur für unsere internationale Politik, für die Weltgemeinschaft, aber insbesondere für die Europäische Union, die eine Vorreiterrolle wahrnehmen muss im internationalen Konzert.
Über welche Mittel verfügen wir? Das Instrument „NDICI/Europa in der Welt“, unser internationales Portfolio, hat 80 Milliarden Euro bis 2027. Team Europa und Global Gateway wollen das aufstocken auf 300 Milliarden. Alleine 150 Milliarden sollen in Afrika investiert werden. Die Kommission verspricht uns, dass diese Konzeption von Global Gateway von Anfang bis zum Schluss den Nachhaltigkeitszielen dienen muss − und das wollen wir in der Tat unterstützen, das, Herr Kommissar, wollen wir mit Ihnen zusammen umsetzen. Aber wir wollen es auch überprüfen. Wir wollen es auch messen können.
Warum ist das so wichtig? Was bedeutet das, dass wir uns engagieren für die Nachhaltigkeitskonzeption für unsere Partnerländer? Wir werden eine Situation erleben in wenigen Jahren, bis 2030, wo jeder vierte Jugendliche auf dieser Welt, jede vierte Jugendliche aus Afrika kommt – nur um ein Beispiel zu nennen. Diese Jugendlichen – und das wollen wir – sollen Ingenieurinnen und Ingenieure werden können, weil sie es sein müssen, die die nachhaltigen, die erneuerbaren Energiesysteme in Namibia entwickeln und andernorts, weil sie es sein müssen, die das Schicksal ihrer Länder in die eigenen Hände nehmen.
Ja, und es sollen die Jugendlichen von heute sein, die morgen als IT-Expertinnen und -Experten den Ausbau der digitalen Infrastruktur in Mauretanien voranbringen. Wir wollen, dass unsere Partnerländer empowered, ermächtigt werden, ihre Gesellschaften sozial und zukunftsgerecht zu gestalten. Deswegen brauchen wir das Konzept der Nachhaltigkeitsstrategie. Es muss unsere Außenpolitik bestimmen wie unsere Innenpolitik.
"
Udo BULLMANN,2023-06-14,DE,Implementation and delivery of the Sustainable Development Goals (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-14-INT-3-353-0000_DE.html,"  Udo Bullmann,  Berichterstatter. – Frau Präsidentin, Herr Kommissar! Ich möchte mich bei allen Kolleginnen und Kollegen bedanken, die sich an der Aussprache so rege beteiligt haben. Die Debatte, liebe Kolleginnen und Kollegen, hat die Dringlichkeit unterstrichen, mit der wir zum Handeln aufgerufen sind, und dafür gibt es Gelegenheiten.
Es ist erwähnt worden: Wir gehen im Juli zum High-level Political Forum der Vereinten Nationen in New York. Es gibt im September ein Treffen der Vereinten Nationen, das sich dezidiert der Nachhaltigkeitsstrategie und ihrer Halbzeitbilanz widmen wird − da müssen wir präsent sein, da müssen wir sprechen. Aber es gibt auch schon eine Gelegenheit nächste Woche in Paris: bei der Internationalen Konferenz zur Entwicklungsfinanzierung.
Bitte lassen Sie uns nicht vergessen, dass die Hälfte der Länder mit niedrigem und mittlerem Einkommen unter einer unermesslichen Schuldenlast leidet und dass es die konkrete Gefahr gibt, dass der Globale Süden ausgebremst wird, von Schulden erdrückt. Hier müssen wir handeln. Es muss eine Beteiligung auch der privaten Geldgeber an der Schuldenerleichterung geben. Und wir müssen dafür sorgen, dass diejenigen Länder belohnt werden, die in die Nachhaltigkeitsziele investieren, in die Bildung ihrer Kinder, in die Chancen ihrer Jugendlichen, in die Nachhaltigkeit ihrer Arbeitsplätze der Zukunft.
Lassen Sie uns mit einem starken Votum morgen mit einer Stimme sprechen und damit auch mit einem starken Bericht nach New York gehen. Lassen Sie uns die Kommission unterstützen in dem Versuch, eine Führungsrolle zu übernehmen. Wir müssen zusammenarbeiten. Das ist das Gebot der Stunde. Die Welt braucht das, und wir können sie dabei unterstützen.
"
Udo BULLMANN,2023-04-19,DE,Children forcibly deported from Ukraine and the ICC arrest warrant for Vladimir Putin (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-19-INT-3-045-0000_DE.html,"  Udo Bullmann (S&D).   – Herr Präsident, werte Kolleginnen und Kollegen! Putin hat nicht nur einen verbrecherischen Angriffskrieg gegen die Ukraine angezettelt, er versucht, die Identität eines ganzen Volkes zu zerstören. Weit mehr als 16 000 Kinder wurden seit Kriegsbeginn von ihren Familien getrennt und nach Russland verschleppt. Jeder einzelne Fall ist ein Kriegsverbrechen. Jeder einzelne Fall ist ein Versuch, Familien zu zerstören, Kinder ihrer Identität zu berauben und eine Nation auszulöschen. Lasst uns das allen sagen, die da beschwichtigen, da seien irgendwie zwei Kriegsparteien aneinandergeraten, und lasst uns das allen sagen, die Unsinn erzählen – verwirrten Unsinn –, auch in diesem Haus. 
Liebe Kolleginnen und Kollegen, der Internationale Strafgerichtshof hat aufgeräumt mit diesen Lügen. Wir müssen seine Entscheidung umsetzen und dafür sorgen, dass diese Kinder wieder unversehrt in ihre Familien zurückkehren können. Das ist unsere gemeinsame Verpflichtung. 
"
