MP,Date,Language,Title,Url,Content
Ulrike MÜLLER,2023-09-13,DE,Reviewing the protection status of wolves and other large carnivores in the EU (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-156-0000_DE.html,"  Ulrike Müller,  im Namen der Renew-Fraktion. – Sehr geehrter Herr Präsident, Frau Kommissarin! Durch die einseitige Betrachtung des Artenschutzes haben wir in einigen Regionen der Europäischen Union die absurde Situation herbeigeführt, dass ein nicht vom Aussterben bedrohtes Raubtier absolut schützenswerte Lebensräume und Biotope bedroht. Der Wolf ist ein Kulturfolger und kann im Grunde auch auf Müllkippen bestens überleben. Unzählige Pflanzenarten können das nicht, zum Beispiel seltene Orchideen brauchen bestimmte Lebensräume, die von Weidetieren offen gehalten werden müssen. Unsere Kommissionspräsidentin hat ja heute die Biodiversität und die Artenvielfalt explizit angesprochen und auf 6 500 Arten hingewiesen, die es nur innerhalb der Europäischen Union gibt. Hier sind wir alle gemeinsam in der Verantwortung.
Brüssel muss selbst handeln, wenn in manchen Mitgliedstaaten die echten Bestände der Raubtiere aus ideologischen Gründen nicht gemeldet werden. Fehler, die bereits zu Genüge mit sinnlosen und teuren Herdenschutzmaßnahmen gemacht wurden, müssen nicht erst in allen anderen Regionen durchexerziert werden. Unsägliches Leid bei Weidetieren muss nicht erst vertausendfacht werden. Jetzt ist es höchste Zeit zu handeln. Die EU muss selbst aktiv werden und den Regionen Rechtssicherheit bieten.
"
Ulrike MÜLLER,2023-09-11,DE,Surface water and groundwater pollutants (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-11-INT-1-087-0000_DE.html,"  Ulrike Müller (Renew).   – Frau Präsidentin, Herr Kommissar! Dieser Sommer hat uns wieder gezeigt, dass anhaltende Trockenheit unsere Landwirtschaft massiv beeinflusst. Die Landwirtschaft ist einer der wichtigsten Wasserverbraucher. Ja, sie ist angewiesen auf eine stabile Wasserversorgung, um uns alle mit hochwertigsten Lebensmitteln zu versorgen – das dürfen wir nicht vergessen.
Mit der Stellungnahme des Agrarausschusses konnten wir einen Beitrag dazu leisten, dass in der Wasserpolitik die Landwirte nicht nur als Problem gesehen werden. Die wichtige Rolle der Landwirtschaft in der Wasserpolitik wird anerkannt. Wir fordern Maßnahmen zur Verbesserung der Wassereffizienz innerhalb der Landwirtschaft.
Aber etwas Kritik muss trotzdem sein, Herr Kommissar: Schadstoffgrenzwerte müssen sachlich begründet und verhältnismäßig sein. Wo Grenzwerte über die Anforderungen der Trinkwasserstandards hinausgehen oder neuerdings für nicht relevante Abbauprodukte von Pflanzenschutzmitteln gelten sollen, mag das zwar gut gemeint sein, aber es setzt die Landwirtschaft, die ohnehin schon am Limit arbeitet, ohne sachliche Grundlage noch weiter unter Druck.
"
Ulrike MÜLLER,2023-07-12,DE,Delivering on the Green Deal: risk of compromising the EU path to the green transition and its international commitments (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-12-INT-3-374-0000_DE.html,"  Ulrike Müller (Renew).   – Frau Präsidentin, sehr geehrte Kollegen, sehr geehrter Herr Vizepräsident Timmermans! Ich habe den Grünen Deal von Anfang an begrüßt. Wir müssen aber aus der Transformation der Wirtschaft eine Wachstumsstrategie machen. Daran hängt nämlich unser künftiger Wohlstand. Was wir aber haben, ist ein Puzzle mit 1000 Teilen ohne Vorlage – eine schwierige Angelegenheit. Ihr Job ist es, die Puzzleteile passend zu machen. Leider passt hier absolut nichts mehr zusammen.
Dadurch droht allen wichtigen Akteuren Überlastung. Das Verständnis für die EU-Politik geht verloren. Unternehmen droht immer mehr Bürokratie – Stichworte Lieferketten und Industrieemissionen. Die Landwirte haben wir längst verloren – Stichworte SUR und NRL. Und auch viele Bürger drohen wir zu verlieren. Den Verlust von Industrieplätzen werden sie nicht vergeben, und der deutsche Heizungsstreit gibt einen Vorgeschmack auf die Umsetzung der Gebäudeenergieeffizienz-Richtlinie.
Wenn der Grüne Deal die Menschen vergisst, bekommen wir die Rechnung sehr bald.
"
Ulrike MÜLLER,2023-07-11,DE,Nature restoration (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-11-INT-2-079-0000_DE.html,"  Ulrike Müller (Renew).   – Frau Präsidentin, sehr geehrte Kollegen, Herr Kommissar! Unser Vizepräsident Timmermans wird nicht müde zu erklären, dass die Verordnung zur Wiederherstellung der Natur ein Gesetz sei, das den Landwirten und Förstern hilft. Es tut mir leid, das so deutlich sagen zu müssen, aber das klingt nach einem Erziehungsansatz aus dem vorigen Jahrhundert. Die Kinder verstehen es nicht, aber es ist alles nur zu ihrem Besten. Manchmal muss man sie eben zu ihrem Glück zwingen.
Nur: Landwirte und Förster sind keine Kinder. Sie sind Experten auf ihrem Gebiet und können die Konsequenzen neuer Gesetze für ihre fachliche Praxis sehr wohl überblicken. Ja, wir brauchen ein Gesetz zur Stärkung der Resilienz unserer Natur. Der Klimawandel findet statt. Wir müssen uns und die Natur nur tatsächlich auch anpassen. Gelingen kann das aber nur, wenn wir die Menschen mitnehmen, besonders diejenigen, die jeden Tag in der Natur und mit der Natur arbeiten. Hier hat die Kommission auf ganzer Linie versagt.
"
Ulrike MÜLLER,2023-05-10,DE,The role of farmers as enablers of the green transition and a resilient agricultural sector (continuation of debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-10-INT-3-020-0000_DE.html,"  Ulrike Müller,  im Namen der Renew-Fraktion. – Herr Präsident, Frau Kommissarin! Als aktive Bäuerin bin ich viel bei den Landwirtinnen und Landwirten unterwegs und versuche, die Politik rund um den Green Deal, um Fit for 55 und Farm to Fork zu erklären. Was ich dabei vor allem erfahre, sind Frustration, Unverständnis und Wut über mangelnde Wertschätzung, Bevormundung und Verbotspolitik. Der Titel der heutigen Debatte ist gut gewählt, denn es sind die Landwirte, die auf den Feldern und Weiden alles umsetzen müssen. Aber unsere Politik steht damit leider überhaupt nicht im Einklang. 
Die Herausforderungen sind gewaltig, und um diese zu bewältigen, braucht es Technologieoffenheit und wissenschaftliche Freiheit. Tatsächlich erleben wir aber ideologisch geprägte Verbotspolitik und realitätsfremde Vorgaben. Wie sollen wir den Menschen im Sektor so das Gefühl der Rechtssicherheit und der Perspektive geben, frage ich Sie alle hier. 
Unsere Bauernfamilien und das Ernährungsgewerbe haben sich als zuverlässige Partner der Bürgerinnen und Bürger in unserer Union erwiesen. Sie haben in schwierigsten Zeiten die Lieferketten aufrechterhalten. Diese Menschen haben unser Vertrauen und unsere Unterstützung verdient. So, wie Pflanzen und Tiere Luft zum Leben brauchen, so braucht auch dieser Wirtschaftszweig wieder deutlich mehr Luft, um sich entwickeln zu können. 
Mehr Freiheit wagen, statt eine ganze Branche zu Tode zu regulieren. Ich wünsche mir von den Kolleginnen und Kollegen in diesem Haus mehr Mut zur Freiheit, nicht nur, aber insbesondere in der Agrarpolitik, um Versorgungssicherheit in der EU zu gewährleisten. 
"
Ulrike MÜLLER,2023-05-10,DE,Ukrainian cereals on the European market (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-10-INT-3-281-0000_DE.html,"  Ulrike Müller (Renew).   – Frau Präsidentin, Herr Kommissar! Unsere Unterstützung beim Export von Getreide ist für unsere ukrainischen Partner existenziell wichtig. Diese Unterstützung ist eine europäische Aufgabe; daher müssen wir sie auch gemeinsam und mit deutlichen europäischen Antworten beantworten können. Die größte Herausforderung ist natürlich dieses Schwarzmeerabkommen, diese Logistik, diese Senkung der Transportkosten. Alles ist für mich ziemlich klar.
Aber was wir natürlich jetzt auch bemerken, ist, dass die Situation in diesen fünf Ländern sehr, sehr ernst ist. Das dürfen wir nicht auf die Seite schieben. Wir müssen uns tatsächlich Gedanken machen, wie wir echte Lösungen hinbekommen. Hier in diesen Ländern das ukrainische Getreide zwischenzulagern, die Preise innerhalb der EU zu drücken und Händlern zusätzlich Geld zu verschaffen, das ist nicht unsere Aufgabe, Herr Kommissar.
Ich glaube, wir sollten eine ehrliche Debatte führen. Wenn Spanien und einige europäische Länder dieses Getreide von der Ukraine brauchen, dann müssen wir die Rahmenbedingungen dafür setzen, und das ist die Aufgabe der Kommission. GD MOVE, GD AGRI und GD Trade müssen hier zusammen Lösungen erarbeiten.
"
Ulrike MÜLLER,2023-05-09,DE,"This is Europe - Debate with the Chancellor of Germany, Olaf Scholz (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-09-INT-2-089-0000_DE.html,"  Ulrike Müller (Renew).   – Frau Präsidentin, Herr Bundeskanzler! Europa gestalten? Ja, aber gemessen werden Sie an Ihren Taten in Deutschland. Da kann ich sagen: zu wenig und zu spät. Vor gut einem Jahr sind Sie gestartet mit der Zeitenwende, die ist richtig erkannt. Unsere Bundeswehr ist jedoch noch kein Stück verteidigungsfähiger, eigentlich sogar verteidigungsunfähiger. Das Gleiche gilt auch für die Energieversorgung. Zwar wird endlich die selbstzerstörerische Abhängigkeit von russischem Gas reduziert, der Turbo für die Selbstversorgung mit dezentral erzeugter Energie ist aber immer noch nicht gestartet. Stattdessen wird nachhaltig erzeugtes Holz als Energieträger verbannt.
Unser innovativer Mittelstand und das Handwerk waren immer das Rückgrat unseres Wachstums. Statt Technologieoffenheit wirksam zu verteidigen, unterstützt Ihre Regierung hier in Brüssel die Schaffung immer neuer Bürokratiemonster, beispielsweise drei verschiedener Lieferkettengesetze. Als Milchbäuerin und Vertreterin der Land- und Forstwirtschaft muss ich feststellen, dass Sie die Zeitenwende mit Blick auf Versorgungssicherheit verschlafen haben. Verwerfungen in den Lieferketten zeigen uns, wie wichtig auch heute noch eine verlässliche Nahrungsmittelproduktion in Deutschland und Europa ist. Aber anstelle von Unterstützung bei der Bewältigung der Herausforderungen, Anerkennung ihrer herausragenden gesellschaftlichen Bedeutung bekommen die Land- und Forstwirte Ideologie gekoppelt mit Realitätsverdrängungen und Misstrauen in Form von immer mehr Bürokratie, Kontrolle und Verboten.
Sehr geehrter Herr Bundeskanzler, wer soll in Zukunft für hochwertige Lebensmittel sorgen, wenn die bäuerlichen Strukturen kaputt regiert werden?
"
Ulrike MÜLLER,2023-05-09,DE,Empowering consumers for the green transition (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-09-INT-2-433-0000_DE.html,"  Ulrike Müller (Renew).   – Frau Präsidentin, Herr Kommissar, sehr geehrte Kolleginnen und Kollegen! Der digitale grüne Wandel verändert das Leben der Verbraucherinnen und Verbraucher grundlegend. Ich möchte vor allem drei Punkte ansprechen, die in dieser Hinsicht relevant sind. 
Erstens: Verbraucherinnen und Verbraucher sollen ihre Kaufentscheidung fundiert treffen können. Etwas, das als umweltfreundlich verkauft wird, soll auch tatsächlich umweltfreundlich sein, und dafür müssen wir zum Teil das derzeitige System der Nachhaltigkeitslabel ändern, Herr Kommissar.
Zweitens: Unternehmen und vor allem die kleinen und mittleren Unternehmen müssen in der Lage sein, bürokratisch umzusetzen, was von der Europäischen Union gefordert wird. Unterstützende Maßnahmen für KMU sind daher dringend nötig.
Drittens: Besonderheiten von Gebrauchtwaren sollten besonders beachtet werden. Secondhand-Verkäufer haben nicht immer alle notwendigen Informationen, um diese dem Verbraucher zugänglich zu machen. Hersteller sollten diese Informationen zugänglich machen, aber doch nicht dann die Verkäufer in Secondhand-Läden. 
Die Stärkung der Verbraucher für den grünen Wandel ist extrem wichtig, jedoch darf dies nicht eine Belastung werden. Verbraucher dürfen nicht mit Informationen überflutet werden. Ein Gleichgewicht zwischen ausreichender Information und notwendiger Belastung soll daher hergestellt werden. Ich bedanke mich bei allen, die hier mitgearbeitet haben. Verbraucher brauchen endlich Klarheit und Aufklärung. 
"
Ulrike MÜLLER,2023-02-14,DE,CO2 emission standards for cars and vans (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-02-14-INT-2-077-0000_DE.html,"  Ulrike Müller (Renew).   – Sehr geehrter Herr Präsident, Herr Vizepräsident, liebe Kollegen! Wer meint, komplexe Herausforderungen mit einfachen Antworten lösen zu können, der liegt meist daneben. Das De-facto-Verbot des Verbrennungsmotors und der einseitige politische Zwang zum Batterie‑elektrischen Antrieb sind dafür ein Paradebeispiel.
Die notwendige Transformation des Automobilsektors hin zur Klimaneutralität droht dadurch, unnötig ineffizient und teuer zu werden. Die Effizienzpotenziale alternativer Lösungswege werden ohne Not versenkt. Wenn wir es als Politiker allerdings schon besser wissen als die Ingenieure, dann sollten wir wenigstens konsequent sein. Wir zwingen einerseits die Investitionen der Hersteller in Richtung Batterie‑elektrische Antriebe, und gleichzeitig diskutieren wir mit dem Vorschlag zu EURO 7 andererseits eine Maßnahme, die hohe Investitionen in die alte Technologie erfordert, die wir gerade eben verbieten.
Da weiß die rechte Hand nicht, was die linke tut. Die Rechnung fällt damit noch höher aus; und zahlen müssen zum Schluss die Verbraucherinnen und Verbraucher der EU.
"
Ulrike MÜLLER,2022-12-12,DE,Towards equal rights for persons with disabilities (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-12-12-INT-1-062-0000_DE.html,"  Ulrike Müller,  Verfasserin der Stellungnahme des mitberatenden Petitionsausschusses. – Frau Präsidentin, Frau Kommissarin, geschätzte Kollegen! Unser aller Ziel muss es sein, eine inklusive und aufmerksame Gesellschaft für alle Menschen zu erreichen. Menschen mit Behinderungen haben das Recht, ihr Leben so zu gestalten, wie sie es wollen. Dazu gehört: Beziehungen leben können, Akzeptanz und Inklusion. Das muss unser aller gemeinsames Ziel sein.
Barrierefreiheit ist dabei zentral. Sogar in den europäischen Institutionen haben wir sie noch nicht erreicht, wie wir jetzt gerade erleben konnten. Das ist nicht akzeptabel, und es sollte der erste Schritt von uns sein, hier dafür zu sorgen.
Im täglichen Leben sind wir alle gefordert, und es braucht mehr gesellschaftliche Aufmerksamkeit. Gerade während der COVID-Krise haben Depressionen und Panikattacken massiv zugenommen. Neben körperlichen und geistigen Beeinträchtigungen können auch psychische Einschränkungen eine Behinderung darstellen und verstärken. Das wird momentan nicht genügend wahrgenommen. Um diese Probleme anzugehen, brauchen wir eine andere Denkweise und andere Ansätze, begonnen auf der europäischen Ebene bis hinunter in die Verwaltungen der Mitgliedstaaten und der Gemeinden. Menschen mit Behinderung brauchen eine stärkere Unterstützung auf allen europäischen Ebenen.
"
