MP,Date,Language,Title,Url,Content
Valérie HAYER,2023-12-13,FR,Preparation of the European Council meeting of 14-15 December 2023 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-13-INT-3-035-0000_FR.html,"  Valérie Hayer (Renew).   – Madame la Présidente. Monsieur le Commissaire, Monsieur le Secrétaire d’État, chers collègues, je ne vais pas tourner autour du pot: il y a urgence. Il y a bien urgence à renforcer notre budget européen pour faire face à toutes les crises qui s’abattent sur nous – crise migratoire, crise de la dette, crise de compétitivité –, et, bien sûr, pour l’Ukraine. L’Ukraine, qui pourrait abandonner tout espoir de vaincre la Russie dans trois semaines, trois semaines, si nous ne l’aidons pas ici et maintenant, avec ou sans Orbán. 
C’est pour cela, M. le Secrétaire d’État, que nous avons besoin de revoir notre budget. Ce n’est pas une lubie de la Commission ou du Parlement européen qui voudraient avoir toujours plus d’argent. C’est une question de viabilité de l’Union européenne pour les quatre prochaines années. Alors on voit passer les documents de compromis les uns après les autres: 66 milliards, puis 36, 34, 26 et finalement 22. Vous coupez dans la migration en croisant les doigts pour que les civils arrêtent de fuir les conflits. Vous coupez dans les investissements stratégiques en espérant que les giga-usines poussent toutes seules dans nos campagnes.
Mais surtout, au delà de ces coupes, les États mettent une hypothèque sur l’avenir de l’Europe. Toutes les analyses s’accordent sur le fait que la dette de l’Europe sera plus élevée que prévu. Vous ne pouvez pas renvoyer la recherche d’une solution aux futures négociations annuelles. Vous savez très bien ce qui va se passer. Ce qui va se passer, c’est que les États vont mettre le couteau sous la gorge des institutions chaque année pour couper dans les programmes européens, afin de faire de la place pour la dette. Mais où est le bon sens? Où est l’Europe-puissance?
Monsieur le Secrétaire d’État, il est temps d’avoir un sursaut. Ce vendredi, les chefs d’État ou de gouvernement devront décider de quelle Europe ils veulent en 2028. Une Europe aux abois ou une Europe qui tient bon. C’est votre responsabilité.
"
Valérie HAYER,2023-12-13,FR,Planned dissolution of key anti-corruption structures in Slovakia and its implications on the Rule of Law (continuation of debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-13-INT-3-365-0000_FR.html,"  Valérie Hayer (Renew).   – Madame la Présidente, Monsieur le Commissaire, Monsieur le Secrétaire d’État, chers collègues, que se passe-t-il en Slovaquie? Les Slovaques, pro—européens au plus profond de leur âme, voient leur nouveau Premier ministre, Robert Fico, démanteler leurs institutions, construites dans la douleur et la sueur. Les gardiens de la démocratie – procureurs, magistrats, policiers, journalistes – sont intimidés, démis de leurs fonctions.
Parce qu’ils veulent mettre fin à l’impunité, ceux qui veulent sanctionner les corrompus sont menacés. Menacés parce qu’ils font éclater la vérité. En envisageant de dissoudre le parquet anticorruption de son pays, Robert Fico franchit là un nouveau cap, un cap inacceptable pour les démocrates, un cap inacceptable pour ce Parlement, inacceptable pour l’Union européenne.
Monsieur le Commissaire, j’en appelle à votre autorité et à votre plus grande fermeté pour mettre un terme à ce qui s’apparente à une lente «orbanisation» de la Slovaquie, que nul, nul parmi les pro-européens n’acceptera. Pour la Slovaquie et pour la démocratie.
"
Valérie HAYER,2023-12-12,FR,European Economic Security Strategy (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-418-0000_FR.html,"  Valérie Hayer,  au nom du groupe Renew. – Monsieur le Président, Monsieur le Haut Représentant, Monsieur le Commissaire, chers collègues: dépendance au gaz russe, subventions massives au «Made in USA», concurrence internationale accrue, notamment de la part de la Chine… Les changements que le monde traverse frappent de plein fouet notre Union. Ces crises touchent directement le quotidien de nos concitoyens et de nos entreprises, qui doivent faire face à la montée des prix et aux risques accrus de délocalisations ou de pénuries. Dans un monde interconnecté tel que le nôtre, une stratégie européenne pour protéger notre économie est donc nécessaire.
Mes chers collègues, la réponse à ces défis ne pourra jamais être le repli sur soi, la tentation populiste, nationaliste, et l’isolement, comme les extrêmes dans cet hémicycle voudraient nous le faire croire. Elle doit, bien au contraire, être européenne. 
C’est en utilisant la puissance de notre marché intérieur, en diversifiant nos partenariats internationaux ou en soutenant ensemble nos industries stratégiques que nous parviendrons à protéger les Européens. Cette stratégie ne pourra cependant réussir qu’à deux conditions: nous devons être capables de nous entendre sur une vision partagée de la sécurité économique et nous devons être prêts à y mettre les ressources financières nécessaires.
"
Valérie HAYER,2023-12-11,FR,Role of tax policy in times of crisis (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-11-INT-1-100-0000_FR.html,"  Valérie Hayer,  rapporteure pour avis de la commission des budgets. – Madame la Présidente, Monsieur le Commissaire, chers collègues, rendons-nous à l’évidence: les États ont perdu une partie de leur souveraineté fiscale. Il est clair désormais que l’Europe doit apporter une réponse à la bonne échelle à ce défi du xxiᵉ siècle. C’est ce que nous avons fait, par exemple, en imposant une contribution de solidarité aux géants de l’énergie fossile, parce qu’il est des bases fiscales qui ne peuvent plus s’appréhender au seul niveau national sans mener à une fuite des recettes et des activités vers d’autres pays.
La réalité, c’est que les États-nations ne peuvent plus s’attaquer isolément à certains enjeux, que cela soit d’ailleurs en temps de crise ou non. Je pense bien sûr au dérèglement climatique, aux géants du numérique, aux transactions financières, à l’évasion et à la fraude fiscale.
Chers collègues, il est temps de nous emparer de ces défis, sans aucun tabou, car, s’il est bien un niveau de pouvoir capable de ramener plus de justice fiscale et sociale en plus des États, et en particulier en temps de crise, c’est bien l’Europe.
"
Valérie HAYER,2023-11-21,FR,2024 budgetary procedure: Joint text (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-367-0000_FR.html,"  Valérie Hayer,  au nom du groupe Renew. – Monsieur le Président, Monsieur le Commissaire, Madame la Secrétaire d’État, chers collègues, cette année, encore plus que les autres, notre négociation budgétaire annuelle a démontré l’impossibilité de l’Europe à s’adapter avec force aux défis du moment. 340 millions d’euros, c’est le montant sur lequel nous pouvions discuter, le reste étant presque fixé dans le marbre.
Je tiens à féliciter notre rapporteur général, M. Mureşan, et notre rapporteur pour les institutions, M. Ušakovs, pour tout le travail réalisé malgré les contraintes que nous connaissons. Nous avons pu obtenir une augmentation substantielle de l’aide humanitaire pour les civils palestiniens, pour la recherche dans la santé, et pour les jeunes agriculteurs.
Mes chers collègues, ne nous y trompons pas, cet accord commun n’est ni historique ni suffisant. Notre soutien ici n’aura que pour objectif d’assurer une continuité aux programmes européens en 2024, parce que le véritable combat devra se mener sur le cadre financier pluriannuel, le seul champ de bataille politique où nous pourrons dégager des sommes conséquentes pour mettre fin à nos dépendances critiques, gérer nos frontières et nos flux migratoires et bien sûr, aider l’Ukraine.
J’appelle donc les États à progresser autant que possible dans leurs discussions sur cet enjeu crucial. Oui, les discussions, on le sait, elles seront longues, elles seront ardues, elles seront semées d’embûches et semées de choix politiques à poser. Alors, pour surmonter ces difficultés, il nous faut relever la tête, regarder là où nous voulons mener l’Europe pour tracer une ligne claire et un horizon. Il est l’heure des choix, l’heure de transformer nos paroles en actes.
"
Valérie HAYER,2023-11-09,FR,System of own resources of the European Union (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-09-INT-2-037-0000_FR.html,"  Valérie Hayer,  rapporteure. – Monsieur le Président, Monsieur le Commissaire, chers collègues, depuis 2019, nous avons repris avec José Manuel Fernandes, que je salue ici, le flambeau des ressources propres. Un dossier emblématique, et pour certains un serpent de mer. Je dois bien avouer que depuis tout ce temps, je me demande parfois comment les dirigeants nationaux dans les années 50 s’étaient mis d’accord dès le premier coup pour que l’Europe soit entièrement financée par de véritables ressources propres. C’était l’époque où les grandes entreprises actives dans les secteurs du charbon et de l’acier payaient une taxe directement à la CECA, à l’institution européenne. Une époque où l’autonomie financière de l’Europe était une volonté affichée des leaders nationaux. Cette volonté, elle avait même été renouvelée dans les années 60 avec les droits de douane.
Mais, il faut le reconnaître, cet esprit a fané avec le temps. Les contributions nationales se sont imposées comme la nouvelle norme. Les États ont repris la main. Résultat, il ne se passe plus une négociation budgétaire où les contributeurs nets ne tapent sur les bénéficiaires nets. Loin, très loin de l’esprit de solidarité qui a fondé et qui, je le crois toujours, caractérise notre Union. Quand on parle d’argent, ce sont les égoïsmes nationaux qui reprennent le dessus. La surdépendance aux contributions nationales nous a menés à une impasse, avec un budget bloqué à 1 % du PIB de l’Union pour, j’ai envie de dire, presque l’éternité.
Alors, chers collègues, je nous pose une question existentielle: est-ce que l’Europe sera capable de s’élargir, ou plutôt sera-t-elle capable de fonctionner dans ces conditions: avec encore plus de membres, mais avec les mêmes règles anachroniques, la même façon de financer notre avenir commun? Je ne veux pas, moi, d’une Europe où 35 ministères des finances nationaux, chacun avec leurs propres contraintes, tirent l’action de l’Europe vers le bas, faute de volonté politique.
Chers collègues, le temps est venu. Le temps est venu de faire respecter la promesse qui a été faite avec ce plan de relance. La dette contractée ne devra pas être remboursée par les États avec les impôts des contribuables. Il est aussi hors de question de passer par des coupes dans nos soins de santé ou encore dans Erasmus. Le temps est donc venu d’acter ces nouvelles ressources propres. Les droits à polluer du marché carbone européen qui existent depuis 2003, ils sont européens? Ils vont donc au budget européen. La taxe carbone aux frontières, elle est bien européenne? Elle va donc au budget européen. Les grandes multinationales prospèrent grâce au marché européen? Elles contribuent donc au budget européen. Sortons de cette fébrilité, et assumons avec force – imposons même – ce qui est une évidence et qui aurait dû le rester. Si une politique européenne génère de l’argent, alors cet argent doit revenir à l’Europe.
Et au-delà de l’évidence, de la cohérence, défendons ce qui est désormais devenu primordial. En 2028, dans un peu plus de quatre ans, l’Union européenne sera tenue juridiquement de commencer à rembourser la dette contractée pour le plan de relance. On parle de 20 milliards d’euros par an. Si les États ne se décident pas à franchir un cap politique, le cap politique qu’ils s’étaient engagés eux-mêmes à respecter en 2020, alors nous courons droit à la solution que personne, personne ne veut: un remboursement par les États. Et en votant ce rapport aujourd’hui, nous signalons aussi aux États qu’un tel scénario ne serait pas de la responsabilité des parlementaires.
"
Valérie HAYER,2023-11-09,FR,System of own resources of the European Union (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-09-INT-2-059-0000_FR.html,"  Valérie Hayer,  rapporteure. – Madame la Présidente, chers collègues, notre débat n’a fait que renforcer mon intuition: le temps est venu de retrouver du leadership. Et pas n’importe quel leadership. Je parle du leadership d’antan avec les visions des pères fondateurs. Relever la tête, quitter des yeux les tableaux comptables pour regarder là où nous voulons mener l’Europe, nous les parlementaires, les chefs d’État, les ministres, la société civile, les Européens. 
Les ressources propres, bien loin de leur aspect technique, sont avant tout une question politique. Ce sont elles qui détermineront la confiance que les marchés continueront à accorder au projet européen. Ce sont elles qui détermineront si oui ou non l’Union européenne aura les mains libres pour faire jeu égal avec les puissances américaines et chinoises dans les prochaines décennies. Ce sont les ressources propres qui définiront la réalité de l’Union européenne de demain: un club d’une trentaine de nations unies pour le plus petit dénominateur commun, ou bien enfin une entité géopolitique, industrielle et écologique forte. 
Alors, Monsieur le Commissaire – j’aurais bien voulu le dire aussi à la présidence espagnole, qui n’est pas présente –, croyez en mon soutien et en notre soutien total au travail que vous menez. Il s’agit probablement d’un des combats techniques, politiques et idéologiques les plus durs qu’il soit à Bruxelles, et ce depuis des décennies. Alors, gardez bien à l’esprit que si vous réussissez, votre victoire n’en sera que plus belle.
"
Valérie HAYER,2023-11-08,FR,Conclusions of the European Council meeting of 26-27 October 2023 - Humanitarian crisis in Gaza and the need for a humanitarian pause (joint debate - Conclusions of the European Council and the humanitarian crisis in Gaza and the need for a humanitarian pause),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-08-INT-1-088-0000_FR.html,"  Valérie Hayer (Renew).   – Monsieur le Président, Monsieur le Commissaire, chers collègues, l’Europe se doit de définir sa voie sur le conflit entre Israël et le Hamas. Mais porter une Europe géopolitique nécessite aussi une Europe qui se donne les moyens, qui accompagne les nécessaires prises de position. Et ce sommet, c’était aussi une discussion sur ses moyens.
Or, tous ici, nous dressons les mêmes constats. Nous faisons face à des flux migratoires que nous peinons à gérer, faute de moyens. Nous sommes ultra-dépendants d’autres puissances pour nos produits stratégiques. L’Ukraine, sans notre soutien, s’écroulerait. Et si elle s’écroulait, demain la Russie serait aux frontières de la Pologne, de la Hongrie, de la Slovaquie, de la Roumanie. C’est cela la réalité des défis de l’Europe d’aujourd’hui.
Je remercie la Commission européenne d’avoir proposé un nouveau budget qui s’adresse en grande partie à ces défis, quand bien même le Fonds de souveraineté promis n’a toujours pas vu le jour, Monsieur le Commissaire, avec grand regret évidemment, de notre côté. Alors, quelle déception d’entendre certains chefs d’État remettre en question l’idée même que nous devons nous refinancer pour faire face à ces enjeux, et d’autres allant même jusqu’à faire du chantage.
Pourtant, les Européens se demandent où est l’Europe, et quand elle répond «présente», comme en trouvant enfin une voie de passage sur la gestion de l’immigration, voilà que certains chefs d’État et de gouvernement, les mêmes qui nous demandent une meilleure gestion des flux migratoires, refusent de mettre les moyens nécessaires pour assurer les retours de ceux qui n’ont pas vocation à rester, les moyens pour s’assurer de l’intégration de ceux qui ont droit de séjour.
C’est à se demander si l’on ne marche pas sur la tête. Qu’est-ce qui justifie un tel décalage entre les ambitions et les actes? Tout cela ne se fera pas sans argent. Le pacte asile et migration doit être financé. Qu’adviendra-t-il si la situation au Proche-Orient se transforme en une nouvelle crise migratoire? Chers collègues, quel État dans le monde déciderait de couper dans ses soins de santé ou dans la mobilité de ses étudiants pour assurer sa sécurité dans son voisinage? Aucun. Aucun. Alors pourquoi cela devrait être le cas pour l’Union européenne?
J’en appelle donc à la responsabilité des chefs d’État et de gouvernement. Discutons des chiffres, des montants, mais sortons, Monsieur le Président, de cette éternelle tentation de déshabiller Pierre pour habiller Paul. Ayons une vision pour l’Europe, une vision qui ne soit pas juste comptable, une vision qui soit à la hauteur des enjeux d’aujourd’hui et de demain.
"
Valérie HAYER,2023-10-18,FR,Preparation of the European Council meeting of 26-27 October 2023 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-111-0000_FR.html,"  Valérie Hayer (Renew).   – Monsieur le Président, Monsieur le Commissaire, Monsieur le Ministre, chers collègues, ces dernières semaines, l’Europe a été bousculée en son sein et à ses frontières, avec les conflits dans le Caucase et au Moyen-Orient. Et il n’en est pas un qui ne s’émeut la cacophonie ambiante qui règne à l’intérieur de nos murs. Qui parle pour l’Union européenne? Quelle est notre position?
Chers collègues, le monde nous regarde. L’Europe doit regagner en clarté et en unité. Notre unité trouvée face à la Russie, pour l’Ukraine, ne peut pas rester une parenthèse dans l’histoire géopolitique de notre continent. Ça doit être la nouvelle norme.
Mais la seule clarté ne sera pas suffisante. Car il y a les mots et il y a les actes. Ce sommet, il sera aussi destiné au budget européen. Si nous ne révisons pas notre budget, l’Europe ne sera pas en mesure de continuer à soutenir l’Ukraine, à gérer les migrations, à gérer notre dette et à mettre fin à notre dépendance en matière de technologies critiques. En bref, à assurer sa dimension géopolitique.
Alors, ne perdons jamais de vue que nous agissons dans l’intérêt de tous les Européens. Et que faire des promesses sans nous en donner les moyens, c’est nous mener à des désillusions et à des drames. Les chefs d’État ou de gouvernement doivent l’avoir à l’esprit et donner enfin à l’Europe la puissance qui lui est nécessaire.
"
Valérie HAYER,2023-10-17,FR,General budget of the European Union for the financial year 2024 - all sections (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-17-INT-2-157-0000_FR.html,"  Valérie Hayer (Renew).   –Monsieur le Président, Monsieur le Commissaire, Madame la Secrétaire d’État, chers collègues, alors que nous votons sur le budget de l’Europe destiné à financer Erasmus, la santé, la gestion de nos frontières, la production de munitions, certains veulent nous embarquer sur la voie de l’abandon humanitaire.
Le Hamas, groupe terroriste armé, a commis des crimes atroces contre Israël, contre les Juifs. Cette barbarie ne mérite que fermeté. Le Hamas, c’est aussi ce groupe qui participe au maintien de la population gazaouie dans la misère la plus totale, rendant les civils ultra—dépendants de l’aide internationale et européenne.
Alors non, suspendre l’aide européenne à la population civile ne réglera rien. Bien au contraire: ce sera condamner la population à la double peine. Cette aide, elle est destinée à fournir de l’eau potable, de l’électricité, de la nourriture, du matériel médical.
Chers collègues, couper cette aide, c’est en réalité jeter la population dans les bras des terroristes islamistes du Hamas, qui recrutent là où la misère fait rage et où plus aucune issue n’est envisageable.
Je nous enjoins, collectivement, à rester responsables.
"
