MP,Date,Language,Title,Url,Content
Vincenzo SOFO,2023-10-18,IT,A true geopolitical Europe now (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-212-0000_IT.html,"  Vincenzo Sofo (ECR).   – Signora Presidente, signor Alto rappresentante, ho ascoltato con interesse il Suo discorso, e alcuni punti li condivido, ma se siamo ancora oggi a dibattere sulla necessità di avere una vera Europa geopolitica è perché l'Unione europea ha fallito la sua missione.
Mi domando, infatti, che cosa avrebbe dovuto essere secondo voi l'Europa se non, innanzitutto, una potenza geopolitica e che cosa è stato fatto per far sì che ciò avvenisse: nulla. Ci siamo occupati di agende green e LGBT, ma non abbiamo fatto nulla, ad esempio, in Ucraina, lasciando che si precipitasse fino a una guerra con conseguenze mondiali, nulla nel Mediterraneo, lasciando implodere l'Africa e scatenando una bomba migratoria epocale, nulla per i cristiani d'Oriente, lasciando popoli come gli armeni in balia di campagne di pulizia etnica, e nulla in Terrasanta, lasciando ribollire uno scontro di civiltà per noi fatale.
Invece di consolidare le nostre frontiere, le abbiamo abbattute, facendo sì che tutte queste guerre ci arrivassero dentro casa a colpi di terrorismo. Lei ha parlato di autonomia strategica, esercito europeo eccetera, ma per essere una vera forza geopolitica bisogna innanzitutto avere una missione, e quella naturale dell'Europa è fare da ponte tra Occidente e Oriente, tra Nord e Sud del mondo. 
Finché rinunceremo a questo ruolo saremo condannati non solo a essere spettatori impotenti del caos, ma anche a essere terra di conquista delle ambizioni geopolitiche altrui.
"
Vincenzo SOFO,2023-10-04,IT,The spread of ‘anti-LGBTIQ’ propaganda bills by populist parties and governments in Europe (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-400-0000_IT.html,"  Vincenzo Sofo (ECR).   – Signor Presidente, onorevoli colleghi, questo dibattito è veramente surreale. Nel mezzo di crisi epocali come la guerra e le ondate migratorie, siamo stati convocati stasera da Renew e le sinistre con urgenza per discutere di cosa? Di fantomatici complotti anti LGBT messi in atto ad esempio dal governo italiano usando come arma la Rai, come detto anche dal collega francese Karleskind, che ha narrato di surreali tentativi di censurare le persone LGBT nella televisione pubblica italiana. E la cosa più surreale è che l'unica prova che Karleskind e compagni hanno saputo dare per giustificare questa bufala è una proposta che chiedeva alla Rai di dare, cito testualmente, una rappresentazione positiva dei legami familiari secondo quanto previsto dalla nostra Costituzione.
Mi pare evidente che la guerra contro il concetto di famiglia sia diventata per voi una vera e propria ossessione, a tal punto che colleghi come Karleskind e compagni, che vivono in paesi lacerati da allerte terrorismo, conflitti etnici e diseguaglianze economiche, possano ritenere più urgente che il Parlamento europeo perda tempo in ingerenze maldestre sui palinsesti TV in Italia, invece che risolvere i veri problemi che attanagliano l'Europa.
"
Vincenzo SOFO,2023-07-12,IT,Tax the rich (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-12-INT-3-209-0000_IT.html,"  Vincenzo Sofo (ECR).   – Signora Presidente, onorevoli colleghi, il 50 % della ricchezza mondiale è oggi in mano all'1 % più ricco della popolazione, mentre il 50 % più povero ne possiede appena il 2 %.
Una disuguaglianza frutto di anni di liberismo selvaggio, promosso in molti casi proprio da partiti cosiddetti di sinistra che ora, dopo aver arricchito i ricchi e impoverito i poveri, si rendono conto che bisogna redistribuire la ricchezza. Ora noi accogliamo con gioia ogni redenzione e siamo ovviamente disponibili a lavorare insieme per rimediare a questa vergogna.
Un dubbio, però, ce l'ho e mi chiedo se dietro a questo improvviso afflato sociale da parte di chi è sempre stato paladino del capitalismo sfrenato ci sia davvero la volontà di creare una società più giusta, e non piuttosto quella di depredare quel poco che resta della ricchezza europea per consegnarla a multinazionali e paperoni stranieri, come si vede, ad esempio, in quei paesi dove la sinistra ha imposto tasse di successione che hanno regalato le eredità delle famiglie europee ad americani, russi e cinesi arabi.
Perché, leggo, che l'obiettivo di questa campagna Tax the rich proveniente dal mondo americano non sia tassare i ricchi per dare ai poveri, bensì per finanziare la transizione ecologica, cioè un business in mano anch'esso a grandi multinazionali, il che sarebbe un tradimento ai 100 milioni di europei in stato di povertà che hanno bisogno di essere aiutati, non di essere strumentalizzati per riempire ancor di più le tasche di quell'1 % di privilegiati mondiali che sguazza nel deserto sociale nel quale sta cadendo l'Europa.
"
Vincenzo SOFO,2023-06-14,IT,Surrogacy in the EU - risks of exploitation and commercialisation (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-14-INT-3-138-0000_IT.html,"  Vincenzo Sofo (ECR).   – Signora Presidente, onorevoli colleghi, la condanna unanime di una pratica disumana come l'utero in affitto dovrebbe essere cosa scontata e non oggetto di dibattito. Ma quando questa maggioranza ha deciso di bocciare un nostro emendamento che introduceva il reato di utero in affitto in tutta l'Unione europea, ci è nato un sospetto. Il sospetto che per voi adescare donne in difficoltà economica offrendo loro quattro soldi per ingravidarle per conto terzi e poi sequestrarne il figlio non sia una barbarie, ma normale attività mercantilistica da legalizzare. Un sospetto orrendo, lo ammetto, ma tutte le volte che vi chiediamo di fugare ogni dubbio, definendolo reato, fuggite. 
Ora, non conosco il motivo della vostra paura a prendere una posizione chiara, ma quest'Aula non può più fuggire dall'esprimere un'inequivocabile condanna a questa pratica infame. E deve farlo anche perché si avvicinano all'ingresso in Unione europea paesi, pensiamo all'Ucraina, dove vi ricordo che l'utero in affitto è legale e che sono usati da fabbrica di bambini surrogati per tutta Europa, e anche certi Stati membri dell'UE lo stanno legalizzando. 
Urge dunque che l'Europa ristabilisca i suoi principi civilizzazionali non negoziabili e il rispetto della dignità e della vita umana è e deve essere il fondamento basilare, e ripeto basilare, della nostra civiltà. 
"
Vincenzo SOFO,2023-05-31,IT,Order of business,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-31-INT-1-050-0000_IT.html,"  Vincenzo Sofo,  a nome del gruppo ECR. – Signora Presidente, a nome del gruppo ECR, chiedo dunque di inserire nella plenaria di oggi un dibattito senza risoluzione intitolato ""Dichiarazione della Commissione sulle interferenze nell'agenda politica europea da parte di organizzazioni extra europee che si celano dietro l'attività dei movimenti ambientalisti radicali alla luce delle recenti indagini delle autorità tedesche"".
Quest'Aula non può infatti ignorare quanto sta emergendo da inchieste giornalistiche che svelano come i movimenti tipo ""Ultima Generazione"", che negli ultimi mesi stanno intensificando le azioni contro le politiche energetiche e industriali dei nostri governi e della Commissione, siano sponsorizzati, finanziati e manovrati tutti da una stessa organizzazione, dietro alla quale si trovano politici, media e industriali della sinistra americana.
Parliamo nel solo 2022 di diversi milioni di dollari usati per provocare decine di migliaia di azioni, spesso illegali, e che appunto già sono oggetto di indagini giudiziarie in Germania.
È urgente, dunque, che anche quest'Aula indaghi se dietro a questi movimenti ci sia un tentativo di ingerenza extra europea nelle nostre politiche nazionali e comunitarie e se in tale operazione siano coinvolti anche i partiti ambientalisti presenti in questo Parlamento.
"
Vincenzo SOFO,2023-05-10,IT,Externalising asylum applications and making funding to third countries conditional on the implementation of return agreements (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-10-INT-3-209-0000_IT.html,"  Vincenzo Sofo,  a nome del gruppo ECR. – Signora Presidente, onorevoli colleghi, rispondo intanto innanzitutto al mio collega del PPE perché, forse, una ragione la presenza del Commissario europeo all'Agricoltura ce l'ha in un dibattito sull'immigrazione, visto che la maggior parte dei migranti che arrivano irregolarmente in Europa poi vengono utilizzati come schiavi nei nostri campi a raccogliere le arance e a fare la manodopera per quattro soldi.
Nel 2022 sono arrivati 330 000 migranti irregolari e ne sono stati trovati illegalmente all'interno dell'UE oltre un milione, numeri che certificano una crisi migratoria di proporzioni gigantesche, con flussi migratori aumentati in un solo anno del 59 %, con punte del 108 % per quanto riguarda il Mediterraneo e del 136 % per quanto riguarda i Balcani occidentali, quindi aumentando del 50 % il numero di domande di asilo, che sono arrivate a quasi un milione.
Nonostante ogni anno a circa mezzo milione di queste persone venga però ordinato di lasciare il territorio, poiché non aventi diritto d'asilo, nel 2022, tanto per fare un esempio, a essere stati poi effettivamente rimpatriati sono stati meno di 80 000 clandestini.
Cifre irrisorie che dimostrano che a essere inefficace non sia la politica migratoria del governo italiano, come ha grottescamente affermato il ministro di Macron, Gérald Darmanin, facendosi smentire persino dal Commissario europeo Johansson, poiché nessuna nazione da sola ha la forza di affrontare un'emergenza del genere.
A essere inefficace, semmai, è stata la politica migratoria dell'Unione europea, poiché l'unica soluzione possibile è appunto una soluzione europea e a rilevarlo è persino la Corte dei conti europea, che ha denunciato gli scarsi progressi fatti dall'UE nel concludere i negoziati con i paesi terzi, sottolineando la poca sinergia tra Stati membri e la poca capacità di mettere in campo le azioni necessarie per indurre i paesi terzi a occuparsi della riammissione dei loro cittadini.
D'altronde basta ricordare che l'UE è il maggiore donatore al mondo di aiuto allo sviluppo, fornendo il 43 % dei fondi mondiali, una cifra che nel 2021 ha raggiunto i 70 miliardi di EUR ma che non siamo riusciti a far fruttare né in termini di influenza geopolitica nei paesi beneficiari e neppure in termini di semplici accordi di gestione efficace dei flussi migratori.
Quindi, insomma, un vero disastro politico sul quale finalmente, grazie anche all'Italia, sempre più governi stanno aprendo gli occhi, chiedendo quindi di riformare le norme che regolano le politiche migratorie europee. Norme che necessitano di una cooperazione con paesi terzi, da subordinare però alla loro disponibilità di salvaguardare l'integrità delle nostre frontiere.
Azioni essenziali per la tenuta economica e identitaria dell'Europa che però sono ostaggio dei partiti di sinistra presenti in questo Parlamento, disposti a far esplodere bombe sociali nei propri territori pur di ingrassare le tasche di qualche affarista dell'immigrazione.
"
Vincenzo SOFO,2023-03-30,IT,"2022 Rule of Law Report - The rule of law situation in the European Union (B9-0189/2023, B9-0190/2023, B9-0191/2023)  (vote)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-30-INT-2-128-0000_IT.html,"  Vincenzo Sofo (ECR).   – Signora Presidente, onorevoli colleghi, l'emendamento presentato da Renew rappresenta una palese forzatura per attaccare il Governo italiano, non perché viola la legge, ma perché, facendola rispettare, ostacola il ricorso a pratiche come l'utero in affitto.
Ora, poiché so bene che sinistra, associazioni LGBT, che poi ormai rappresentano la stessa cosa, affermano che quanto dico non sia vero e deducendone, dunque, che quest'Aula sia tutta d'accordo nel considerare l'utero in affitto un abominio, riteniamo utile sgomberare il campo da ogni dubbio ed esprimere chiaramente che siamo contro questa pratica.
Dunque, presentiamo il seguente emendamento che, è inutile dirlo, ci aspettiamo che sia approvato senza problemi, altrimenti si confermerebbero i sospetti sul fatto che dietro la battaglia per il riconoscimento dei figli di coppie omogenitoriali ci sia il tentativo di imporre dall'alto a tutti gli Stati membri la legalizzazione di fatto dell'utero in affitto.
Il testo che chiediamo di inserire è dunque molto semplice ed è il seguente: esprime preoccupazione sulla pratica della maternità surrogata che sfrutta i corpi delle donne e riduce i bambini a merce e ritiene che dovrebbe essere riconosciuta come crimine universale. A voi ora esprimervi.
"
Vincenzo SOFO,2023-03-29,IT,Order of business,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-29-INT-1-033-0000_IT.html,"  Vincenzo Sofo (ECR).   – Signora Presidente, onorevoli colleghi, non posso non sottoporre all'attenzione vostra la gravità di quanto accaduto ieri in Francia, dove la Corte di Cassazione ha negato all'Italia, ancora una volta, l'estradizione di dieci terroristi, accusati di crimini efferati come omicidi, ma che da decenni vivono impuniti sotto la protezione di uno Stato membro di questa comunità.
Ora, vi chiedo come sia possibile tollerare all'interno dell'Unione europea, che del rispetto dello Stato di diritto fa un principio fondante, che possa esserci un paese che tutela il terrorismo, applicando ancora nel 2023 la dottrina Mitterrand e impedendo a un altro Stato membro di compiere nel proprio paese quella giustizia tanto attesa dal suo popolo.
Chiediamo dunque alle istituzioni europee di prendere una posizione forte a tutela di quelle famiglie delle vittime del terrorismo, che sono cittadini europei tanto quanto tutti gli altri e che dunque hanno il sacrosanto diritto di ottenere giustizia, perché lo Stato di diritto è un principio che deve valere per tutti e non può essere un'arma da utilizzare a piacimento solo per colpire politicamente dei governi non graditi.
"
Vincenzo SOFO,2023-03-15,IT,Deaths at sea: a common EU response to save lives and action to ensure safe and legal pathways (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-15-INT-3-231-0000_IT.html,"  Vincenzo Sofo,  a nome del gruppo ECR. – Signor Presidente, onorevoli colleghi, sulla tragedia di Cutro abbiamo assistito a uno sciacallaggio da parte della sinistra, arrivata addirittura ad accusare il presidente Meloni di avere le mani sporche del sangue di quei morti.
Morti in realtà a causa di organizzazioni criminali che ogni anno trafficano centinaia di migliaia di esseri umani che, complice la propaganda immigrazionista della sinistra, vengono convinti a cercar fortuna in Europa e stipati in barche sempre più fatiscenti da trafficanti, consapevoli che quei mezzi potrebbero affondare, ma convinti di poter contare in mare sull'aiuto di ONG che dell'ideologia no borders fanno una missione. Morti perché avvistati troppo tardi da chi ha il compito di sorvegliare le nostre frontiere, ma non ha strumenti a sufficienza per farlo, anche perché azzoppato dall'opera di boicottaggio messa in atto dalla sinistra, come il caso Frontex insegna. 
Come vedete, dunque, sulle responsabilità morali di queste tragedie ci sarebbe molto da dibattere. Ma il nostro dovere ora è, semmai, ragionare a soluzioni urgenti per flussi migratori fuori controllo, destinati a causare ancora tante di queste morti. Soluzioni che la Commissione inizia finalmente a intravedere annunciando di accogliere le nostre richieste, come il rafforzamento di Frontex, la responsabilizzazione degli Stati bandiera e rimpatri più efficaci. E la sede in cui accoglierle è la riforma del Trattato di Dublino, sulla quale a breve inizieremo a votare in commissione LIBE. 
In questa sede, quindi, chiediamo alla sinistra, se vuole davvero porre fine a queste tragedie, di riconoscere il fallimento dell'approccio che ha sempre avuto e accettare la nostra richiesta di rafforzare l'azione esterna alle frontiere, affinché non ci si limiti solo a redistribuire i migranti che sopravvivano al mare, ma si lavori innanzitutto a dissuaderli dal rischiare di trovare nel mare la loro morte. 
"
Vincenzo SOFO,2023-02-15,IT,EUCO conclusions: the need for the speedy finalisation of the Road Map (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-02-15-INT-3-219-0000_IT.html,"  Vincenzo Sofo (ECR).   – Signora Presidente, onorevoli colleghi, dopo anni di accecante ideologia ""no borders"", pare finalmente che l'Europa inizi ad aprire gli occhi sulle drammatiche conseguenze dell'immigrazione incontrollata.
Dalle conclusioni dell'ultimo Consiglio europeo alla Strategia operativa per il Mediterraneo presentata dalla Commissione si evince come si stia capendo che l'unica soluzione possibile sia quella indicata da Fratelli d'Italia e dalle destre tutte.
Una risposta europea alla crisi migratoria è indispensabile e deve avere come principio cardine la difesa delle nostre frontiere attraverso pattugliamenti dei confini con filtri esterni per gli ingressi, sistemi efficaci di rimpatrio e rigorose regole di condotta per le ONG.
Ma questa risposta la sinistra, proprio su mandato di ONG terrorizzate dal perdere l'enorme fonte di business data all'immigrazione clandestina, vuole impedirla a tutti i costi. Ed è per questo che ha sguinzagliato le istituzioni da essa presiedute in un'operazione di boicottaggio dei decreti messi in campo dal governo Meloni, ai quali sempre più paesi e forze politiche guardano come modello da seguire. Decreti che, sì, è vero, ledono gli interessi economici di certe organizzazioni fintamente umanitarie, ma che sono necessari per tutelare la coesione economica, sociale e identitaria del nostro continente.
"
