MP,Date,Language,Title,Url,Content
Viola VON CRAMON-TAUBADEL,2023-12-14,EN,Ensuring proper functioning of EU-Ukraine Solidarity Lanes (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-14-INT-4-067-0000_EN.html,"  Viola von Cramon-Taubadel,  on behalf of the Verts/ALE Group. – Madam President, Commissioner, dear colleagues, almost two years ago we kept the trade routes with Ukraine open to diminish global hunger. We called them solidarity lanes. And we also said that we would stand by Ukraine ‘with all it takes’. And we added ‘for as long as it takes’. But how long is this? Are we living up to the name of the roads that are blocked in Hungary, in Poland and Slovakia? Is kicking the country, which is bleeding for our security, what counts for European solidarity? Is allowing Orban and his wannabe from Slovakia to take Ukraine and the EU hostage, solidarity? Who, but the Poles, should know what solidarity means? It was their Solidarność that started the end of communism. We need the same solidarity now to end another evil empire. While we betray solidarity, betray Ukraine and betray ourselves, Russia wins. All it takes for Ukraine’s victory is our unwavering support. Stop the blockade and practice what we preach. 
"
Viola VON CRAMON-TAUBADEL,2023-12-13,EN,The unknown status of Mikalai Statkevich and the recent attacks on Belarusian politicians’ and activists’ family members,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-13-INT-3-416-0000_EN.html,"  Viola von Cramon-Taubadel,  author. – Madam President, Commissioner, dear colleagues, Belarusians were the first ones to stand up to Putin by standing up to Lukashenko, armed with nothing but courage and love for freedom. They marched in the streets distributing flowers and wide red flags. They were brutally crushed by Lukashenko’s militias. Today, 1500 Belarusians are political prisoners: Ales Bialiatski, Maria Kalesnikava, Siarhei Tsikhanouski, Viktar Babaryka, Maksim Znak, Pavel Sevyarynets and many others have disappeared without a trace in Belarusian dungeons. 
Imagine yourself as Palina Sharenda-Panasiuk, the first female political prisoner – a young woman, a Belarusian patriot, a mother, and a loving wife. Then special police forces break into your apartment, arrest you on charges such as being an extremist or contempt of the President – a title Lukashenko mistakenly gave himself – and put you into a dungeon, depriving you of food, sleep, feminine hygiene, contact with family or information. Palina also disappeared without a trace. Until we will find and free her. 
Free her, the 1500 other political prisoners, and all of Belarus which is occupied by Russia and Lukashenko. Meanwhile, Paulina shows us the way with her last words. ‘Belarus will definitely be free, but we have to fight hard for that’, she said. And those who sacrificed themselves for the sake of independence and democracy will be called heroes in the new Belarus. Zhyve Belarus!
"
Viola VON CRAMON-TAUBADEL,2023-12-12,EN,Environmental consequences of the Russian aggression against Ukraine and the need for accountability (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-465-0000_EN.html,"  Viola von Cramon-Taubadel (Verts/ALE).   – Mr President, Commissioner, colleagues, Russia is a terrorist state and commits terrorist acts. The explosion of Kakhovka dam, destruction of chemical plants, deforestation, contamination of soil, water and air, areas filled with mines..., this is only a short list of ecological crimes which Russia did to Ukraine. Behind the damage done to nature, ordinary people are suffering. Ukrainians lost their livelihoods. Millions of families have no drinking water. Farmers lost their arable land for generations. This means more suffering, more hunger in and outside of Ukraine. For these crimes, Putin must be held accountable and to hold Russia accountable Ukraine must win. Don’t block the roads or bargain with the security of Ukraine. Every division, every weakness we show motivates Putin to conquer and to destroy even more. He claims that ‘Russia borders never end’. We must prove him wrong.
"
Viola VON CRAMON-TAUBADEL,2023-11-22,EN,30 years of Copenhagen criteria - giving further impetus to EU enlargement policy (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-22-INT-3-313-0000_EN.html,"  Viola von Cramon-Taubadel (Verts/ALE).   – Mr President, Commissioner, dear colleagues, rule of law and democracy have always been the rock-solid foundations of our Union. That is our strength. These foundations have been made criteria to become an EU member in Copenhagen 30 years ago, to all those aspiring to join. It was true then as it is true now. Yet today we live in a world of clash between rule of law and rule of gun, between democracies and autocracies, between a rule-based order and a world of aggression.
EU enlargement is a moment of truth for Europe. Our investment in enlargement today will make us more independent and secure tomorrow. I would like to underline two guiding principles for that endeavour. Firstly, enlarging our Union is EU’s geopolitical necessity, but it is also a geopolitical choice, a choice that must be loud and clear; a choice, in the case of the Serbian President, which is incompatible with authoritarian tendency in cosying-up with Beijing and Moscow. Secondly, Copenhagen criteria entail the process and progress based on merits. This means making sure that the judiciary plays an independent role in fighting corruption and organised crime, and standing with us in foreign policy – more important today than ever.
Dear friends in the Western Balkans, in Ukraine, Moldova and Georgia: enlargement is a choice for us, but also a choice to you. So it is up to you to move forward with credible reforms as the EU has finally woken up to the call of history.
"
Viola VON CRAMON-TAUBADEL,2023-11-21,DE,Question Time with Commissioners - The state of implementation of the EU’s commitment to provide 1 million rounds of artillery ammunition to Ukraine until March 2024,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-399-0000_DE.html,"  Viola von Cramon-Taubadel (Verts/ALE).   – Frau Präsidentin, Herr Kommissar! Auch von mir die Frage, die ein bisschen in die Richtung meines Kollegen Andrius Kubilius geht. Wir haben in dem Papier von General Saluschnyj im Grunde alles gelesen, was gebraucht wird, damit die Ukraine am Ende diesen furchtbaren Krieg gewinnen kann. Wir haben aber von den ukrainischen Analysten und Expertinnen und Experten auch gehört, dass man an vielen Stellen flexibel sein muss. Auf der russischen Seite wird das getan. Da werden sehr flexibel, sehr kurzfristig, auch von unten werden Dinge neu entwickelt.
Und da ist auch meine Frage: Inwiefern können wir das hier in Europa leisten? Inwiefern können wir schneller, adaptiver werden, flexibler werden? Was macht die EU dafür? Das ist das eine.
Und Sie haben gesagt, dass die Militärplanung am Ende am Rat gescheitert ist. Könnten Sie da etwas mehr ins Detail gehen? Gab es einige Länder, einige Nationalstaaten, die dezidiert dagegen waren, die nicht liefern konnten, nicht wollten?
Wir wissen: Zwei Millionen Schuss stellt derzeit Russland pro Jahr her; und sie sind noch dabei, ihre Kriegswirtschaft weiter voranzutreiben. Und wir haben noch nicht mal 15 % des Volumens bislang produzieren können. Also wie wollen wir diese Lücke schließen –einmal qualitativ und einmal quantitativ?
"
Viola VON CRAMON-TAUBADEL,2023-11-21,DE,Question Time with Commissioners - The state of implementation of the EU’s commitment to provide 1 million rounds of artillery ammunition to Ukraine until March 2024,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-401-0000_DE.html,"  Viola von Cramon-Taubadel (Verts/ALE).   – Gut, dann noch mal ganz kurz: Mir ist es wichtig, dass wir vor allen Dingen auch in den Bereichen, wo die Ukraine derzeit unterlegen ist – im elektronischen Bereich, im Kommunikationsbereich –, dort schneller, dort besser werden und dort mehr unterstützen. Ist das möglich?
"
Viola VON CRAMON-TAUBADEL,2023-10-18,EN,Presentation of the Court of Auditors' annual report 2022 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-242-0000_EN.html,"  Viola von Cramon-Taubadel,  on behalf of the Verts/ALE Group. – Mr President, President Murphy, Commissioner Hahn, dear colleagues, the RRF was originally designed as a temporary response to a crisis, providing swift aid with the attached strict conditionality.
Yet we have to be honest, we have already many issues with the RRF implementation. First, the absorption issue. The progress is much slower than anticipated, as only 11 Member States received 13 grant payments totalling EUR 47 billion. The Member States will thus get under immense pressure to absorb the available funds until the end of 2026.
Secondly, the RRF grants replace cohesion funds, as everyone prefers grants to loans. A huge problem is that by the end of September 2023, only 31% of the total funds available for distribution through grants – and just 21% if we also include the loans – have been disbursed.
With currently skyrocketing error rates of payments in cohesion policy, the same risks exist for the similar project to those financed by RRF, as Member States are under the pressure to absorb funds before the accounts are closed.
Thirdly, although the RRF spending does not allow ECA to calculate an error rate comparable to that under the MFF, we see that the milestones or targets are only vaguely defined, making the payment suspensions subjective and arbitrary.
Finally, we have to set the objectives. We should not be approving the purchase of laptops or tablets for students as the case of digital transitions. The time is ticking to set their RRF spending in order, as it is crucial to achieve both goals: green and digital transformation.
"
Viola VON CRAMON-TAUBADEL,2023-10-17,EN,Effectiveness of the EU sanctions on Russia (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-17-INT-2-030-0000_EN.html,"  Viola von Cramon-Taubadel (Verts/ALE).   – Mr President, Commissioner, colleagues, Putin, the Chinese and their proxies claim that sanctions do not work. Yet Putin also keeps calling for an end to sanctions. That means that sanctions work and that they hit where it hurts the most, right in Russia’s war chest. 
Need more evidence? The rouble has repeatedly broken the 100 cent mark, while Russia’s central bank has once again hiked interest rates to 13 %. Even according to Russian data, Russia’s GDP shrunk by over 2 % in 2022, instead of the expected 4 % growth, this is a 6 % loss. In 2021, foreigners invested 40 billion in Russia; a year later, the FDI fall to almost -20 billion. The G7 oil cap effectively kept Russian oil well below the market price, thus reducing Russian revenues without creating an oil shortage. Russia’s budget deficit widened to 30 billion in July. Skilled Russian labourers leaving the sinking ship. Russian assets are still frozen. 
Colleagues, it is clear that Putin has dragged his country into a bloody, pointless and expensive war. Russia is doomed to fail. Just because sanctions work does not mean that they cannot work even better. 
We should expose and punish sanction evasions. The targeting of war enablers must continue. Lowering the oil cap and countering the Russian shadow tanker fleet is the right way to go. The sooner Ukraine wins, the sooner the sanctions will be lifted. 
"
Viola VON CRAMON-TAUBADEL,2023-10-17,EN,"Situation of Ukrainian women refugees, including access to SRHR support (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-17-INT-2-417-0000_EN.html,"  Viola von Cramon-Taubadel (Verts/ALE).   – Mr President, Commissioner, Council, the bar is on the floor, but somehow we are still reaching for it. I should not need to remind you about the importance of sexual and reproductive health and rights.
Last May, we here – 462 of us – voted in favour of a resolution strongly condemning sexual and gender-based violence as a weapon of war in Ukraine. Still, women refugees face extremely restrictive legal and political context for SRHR in our own European Member States. Human trafficking, sexual violence, exploitation, rape – women fleeing Ukraine face these horrors every day. And they will, as long as Ukrainians are forced out of their home, as long as Putin’s soldiers commit this horrendous war crimes. 
Without action to renew reproductive healthcare commitments in all Member States, we will have broken our promise of safety and sanctuary for Ukrainian refugees. This means ensuring access to abortion and obstetric care and making sure refugees everywhere have access to menstrual products and contraception. Let us show them that we will not break our promise and finally meet the bare minimum standard of care.
"
Viola VON CRAMON-TAUBADEL,2023-10-16,EN,Signing of acts adopted in accordance with the ordinary legislative procedure (Rule 79),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-16-INT-1-028-0000_EN.html,"  Viola von Cramon-Taubadel (Verts/ALE).   – Madame President, colleagues, the President of Georgia, Salome Zourabichvili, stood here five months ago, making a strong case for her country’s European future. President Zourabichvili does what the Georgian Government refuses to do: to bring her country closer to the EU. The president – who just like her people, is European through and through – strictly follows Article 78 of the Georgian Constitution: ‘Take all measures to ensure the full integration of Georgia into the European Union.’ For these efforts, she is now being punished by an oligarch and his officials.
Dear colleagues, I must alarm you that Georgia – once a beacon of European hope – is fast driving towards an authoritarian pro-Russian rule. The judiciary and the rule of law are broken and are now being weaponised in a farce called impeachment. We cannot and we will not give up on Georgia. We will not leave over 80% of pro-European Georgians alone against this captured regime. Georgia will once become the European Union.
"
