MP,Date,Language,Title,Url,Content
Virginie JORON,2023-12-14,FR,Improving the strategic approach to the enforcement of EU Law (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-14-INT-4-149-0000_FR.html,"  Virginie Joron,  au nom du groupe ID. – Monsieur le Président, Madame la Commissaire, chers collègues, pour une fois, je suis d'accord avec mes collègues. Quand une pétition arrive ici, quand des citoyens se plaignent, la Commission n’y donne pas suite parce que, soi-disant, ces plaintes concernent des cas particuliers ou des faits divers.
C'est aussi l'attitude de l'Agence européenne du médicament et de votre administration de Bruxelles qui comptabilisent 12 000 morts et des millions d'effets secondaires des vaccins contre la COVID-19, Pfizer et autres, sans en tirer les conséquences et qui cachent les informations au public au fond d'un tiroir. L'approche actuelle de la Commission de ne pas donner accès aux documents et aux SMS, d'ignorer les pétitions, d'ignorer les citoyens en renvoyant les pétitions dans les pays, aboutit au blocage des procédures pendant des années dans la phase précontentieuse, sans transmission aux tribunaux et sans accès aux documents essentiels.
Face à cette bureaucratie opaque de Bruxelles, la meilleure défense, c'est l'attaque, comme disait l'empereur Napoléon. Parlons du dernier rapport de la Cour des comptes européenne sur les marchés publics en Europe. Chaque année, ce sont quelque 2 000 milliards d'euros qui font l'objet de marchés publics. La Cour conclut que la durée des procédures administratives a doublé en dix ans. Ni Eurostat ni la Commission n'effectuent un suivi des prix des marchés publics. Le niveau de la concurrence a baissé au cours de la dernière décennie. Deux indicateurs clés sont utilisés par la Cour pour mesurer la non-concurrence entre les marchés publics : pas d'appel d'offres et soumissionnaire unique. Cela vous rappelle quelque chose? Moi, ça me rappelle les contrats d'achat des vaccins contre la COVID-19 avec ces prix et ces clauses secrètes. 
Pour finir, je vais citer la Cour des comptes: «les marchés publics mettant en jeu de grosses sommes d'argent public, il existe un risque de fraude et de corruption». Dans les marchés publics, la transparence est donc essentielle pour veiller à ce que les décideurs soient tous tenus responsables de leurs actions. La Médiatrice européenne nous a demandé, la semaine dernière, de lutter contre la corruption et elle a raison. Cela doit être une priorité pour nous tous, et le Qatargate ne doit surtout pas cacher le Pfizergate. 
"
Virginie JORON,2023-11-21,FR,Packaging and packaging waste (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-213-0000_FR.html,"  Virginie Joron,  rapporteure pour avis de la commission du marché intérieur et de la protection des consommateurs. – Madame la Présidente, chers collègues, nous allons voter pour interdire le vide d’un côté et de l’autre, pour faire venir des containers de vin, de lait, de bovins de Nouvelle-Zélande. Bruxelles veut donc interdire le vide dans les cartons, interdire les boîtes à camembert ou les cagettes de fruits.
Alors comme vous, si j’étais bureaucrate de Bruxelles, je forcerais aussi les enfants à finir leurs Lego dans les magasins pour éviter ces boîtes inutiles. Si j’étais bureaucrate, j’imposerais une taille unique pour les valises cabine. Si j’étais bureaucrate, je remplacerais les steaks par des insectes car les vaches menacent les glaciers argentins. J’interdirais aussi les voitures à moteur thermique et les avions pas chers. Si j’étais bureaucrate, j’interdirais aussi Twitter et mettrais en place une surveillance généralisée. J’interdirais aussi les mots «Noël», «madame», «monsieur», «il», «elle».
C’est avec ces méthodes que des bureaucrates se retrouvent à interdire nos boîtes à camembert parce qu’ils ont vu des déchets en plastique sur une plage pendant leurs vacances à Bali. Évidemment que nous sommes pour le recyclage des emballages et contre ces plastiques inutiles. Nous avons déjà une loi en France, alors laissons les Français libres de vivre en Français, et les Européens libres de vivre en Européens.
"
Virginie JORON,2023-11-20,FR,Common rules promoting the repair of goods,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-20-INT-1-170-0000_FR.html,"  Virginie Joron,  au nom du groupe ID. – Madame la Présidente, chers collègues, après des décennies de destruction industrielle, il est temps de réparer l’Europe. Par cette proposition, la Commission européenne souhaite faire en sorte que davantage de produits soient réparés dans le cadre de la garantie légale. Elle souhaite également que les consommateurs disposent d’options plus faciles et moins coûteuses pour faire réparer des produits lorsque la garantie légale a expiré. En effet, on s’en est tous rendu compte avec l’obsolescence programmée, les pièces de rechange introuvables ou qui sont plus chères que l’appareil. On l’a vu aussi avec des compagnies comme Apple qui poussent à la surconsommation avec la sortie de nouveaux portables tous les six mois.
Nous partageons l’objectif d’encourager les pratiques promouvant l’économie circulaire, où un consommateur averti choisirait d’abord de réparer un produit avant de le remplacer, principalement pour des raisons de lutte contre la surconsommation et le gaspillage, et toutes les pollutions qui en découlent. Nous ne pouvons que regretter que les services de réparation, pourvoyeurs d’emplois locaux, soient trop souvent inaccessibles en raison, par exemple, d’un manque d’accès aux pièces détachées abordables.
La Commission veut faire la chasse au gaspillage et c’est bien en responsabilisant notamment les consommateurs et les producteurs. Soit. Cette idée serait louable si cette même Commission appliquait à elle-même ses propres règles. Le meilleur mauvais exemple étant la surcommande de vaccins à Big Pharma: 4,6 milliards de doses pour 768 millions d’injections en Europe. Combien de doses détruites, de doses gaspillées? Combien cela va coûter aux contribuables européens? À qui profite ce scandale?
"
Virginie JORON,2023-10-18,FR,Presentation of the Court of Auditors' annual report 2022 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-251-0000_FR.html,"  Virginie Joron (ID).   – Monsieur le Président, Monsieur le Commissaire, Monsieur le Président de la Cour des comptes, merci pour votre rapport relatif à l’exercice 2022. Nous observons tous, à Bruxelles et à Paris, les dégâts du «quoi qu’il en coûte».
Clairement, la présidence von der Leyen aura été le mandat de la glissade budgétaire. Je vous cite: «À la fin de 2022, les engagements restant à liquider […] ont atteint le record de 453 milliards d’euros.» Le résultat économique négatif pour l’exercice 2022 était de 92 milliards d’euros. Ce sont des montants astronomiques au regard des dépenses budgétaires de l’Union européenne, qui sont de 196 milliards d’euros – avec, au final, votre opinion défavorable sur la légalité et la régularité des dépenses budgétaires.
Je note surtout que le Parquet européen a ouvert seulement trois enquêtes, alors que vous lui avez communiqué six cas de fraude. Je note aussi que nous n’avons aucune nouvelle, depuis un an, de l’enquête de ce même Parquet sur l’achat des vaccins par SMS. Aucune perquisition, aucune audition, aucun témoin. Je veux quand même revenir sur les contrats d’achat des vaccins contre la COVID-19: il est intolérable que nous, députés, et vous, auditeurs, soyons toujours tenus à l’écart de ces contrats. Pourquoi la Commission manque-t-elle autant de transparence? Qu’a-t-elle à cacher?
Oui, vous devez vérifier les avenants à ces contrats, qui nous engagent jusqu’en 2027. Car combien de doses sont périmées ou jetées? Combien de doses va-t-on encore acheter? Combien coûte la dose de Pfizer BioNTech annulée? Est-ce un cadeau à 1 milliard d’euros? Où en est-on avec les 80 millions d’euros donnés à la société allemande CureVac sans qu’elle ait produit de doses? Parce que, au final, ce sont les contribuables qui paieront. Comme le disait Margaret Thatcher: «Il n’y a pas d’argent public; il n’y a que l’argent du contribuable.»
"
Virginie JORON,2023-10-18,FR,Fighting disinformation and dissemination of illegal content in the context of the Digital Services Act and in times of conflict (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-357-0000_FR.html,"  Virginie Joron,  au nom du groupe ID. – Monsieur le Président, Madame et Monsieur les Commissaires, le 10 octobre, soit trois jours après avoir fait campagne à Bordeaux au campus du parti d’Emmanuel Macron, vous, Monsieur le Commissaire, vous êtes lancé avec véhémence dans une bataille de tweets avec Elon Musk, propriétaire de X. Vous avez accusé X – anciennement Twitter – d’en faire trop peu contre la diffusion de contenus illégaux et contre la désinformation.
Elon Musk a donc été sommé, par lettre partagée dans un tweet, d’apporter une réponse dans les vingt-quatre heures, un délai qui n’est reflété, en tant que tel, ni dans le règlement sur les services numériques, ni dans les pratiques de votre administration.
Par ailleurs, quel type de recommandation avez-vous eue de la part du comité européen des services numériques pour agir de la sorte et vous y sentir autorisé? Évidemment, nous sommes tous d’accord sur le fait qu’il faut empêcher les terroristes d’utiliser les plateformes numériques pour faire leur propagande. Votre réaction par tweet n’est finalement pas à la hauteur du sujet, hautement sensible et dangereux.
Comment expliquer qu’après cette attaque sur les réseaux sociaux contre E. Musk, vous invitiez, le lendemain matin, vos abonnés à rejoindre Bluesky Social, la plateforme rivale de l’ancien propriétaire de Twitter, Jack Dorsey? Finalement, pour vous, il faudrait quitter le Twitter d’Elon Musk pour aller sur celui de Jack Dorsey – celui qui a fermé le compte de l’ancien président Donald Trump, à cause du règlement sur les services numériques –, vraiment?
Mais qu’est-ce qui vous dérange chez E. Musk? La liberté de penser? La liberté d’expression? Ses révélations sur le fils Biden? Ses révélations sur le contrôle des informations durant la crise de la COVID-19?
Personne n’est dupe ici, et ce mélange des genres est en train de se voir, même du côté du Berlaymont. Selon une source bien placée à Bruxelles – je cite –, «Breton est un politicien désireux de rester dans le cycle de la presse le plus longtemps possible à l’approche des élections». M. Timmermans, votre collègue néerlandais, a eu le courage de démissionner pour faire campagne, lui.
Dans une lettre du 17 octobre, 29 organisations de la société civile ont elles aussi réagi à cette mauvaise lecture du règlement sur les services numériques, et vous ont rappelé de respecter les procédures prévues par la loi. En fait, ce que nous voyons ici, par votre action, ce n’est pas la lutte contre la désinformation en période de conflit, mais la diffusion de votre tract politique.
Ici, beaucoup ont parlé de vérité, c’est pourquoi je vais citer Platon: «Personne n’est plus détesté que celui qui dit la vérité.»
"
Virginie JORON,2023-10-16,FR,One-minute speeches on matters of political importance,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-16-INT-1-219-0000_FR.html,"  Virginie Joron (ID).   – Madame la Présidente, chers collègues, ce matin, dans Strasbourg, quelqu’un dans la rue m’a dit: merci! Merci de ne pas laisser passer ce scandale de contrats secrets et juteux de la Commission avec Pfizer, Moderna et les autres, soit 71 milliards d’euros pour 4,6 milliards de doses pour 445 millions d’Européens.
Mais ensuite, cette personne m’a demandé: n’avez-vous pas l’impression d’être Don Quichotte et de vous battre contre des moulins à vent? Est-ce, effectivement, extravagant de réclamer la transparence totale à cette Commission von der Leyen? Devrons-nous ressusciter les 25 chevaliers de la Table ronde pour obtenir la vérité? Dois-je rappeler que Bruxelles a encore signé pour un milliard d’euros avec Pfizer, cet été, pendant huit ans, afin de réserver une capacité de production de doses? Dois-je rappeler que c’est la presse qui nous a avertis de certaines activités du mari de la présidente, à travers l’Europe, dans le scandale d’Orgenesis? Doit-on croire que son frère est PDG d’une société de paris en ligne, qui est active dans le secteur des assurances en Roumanie? Pourquoi le rapport de l’Autorité européenne des assurances n’a-t-il pas été communiqué aux députés à ce sujet? Qu’est-ce que la Commission cache?
Les documents officiels des agences européennes doivent être publics. Les analyses des effets secondaires des médicaments par l’EMA doivent être publiques. Tout document de Bruxelles doit être public. 
"
Virginie JORON,2023-10-02,FR,One-minute speeches on matters of political importance,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-02-INT-1-222-0000_FR.html,"  Virginie Joron (ID).   – Madame la Présidente, le 2 octobre, c’est aussi le lancement de la cinquième dose anti-COVID en France. Mais personne ne vous parlera du fait que la Commission vient de changer l’autorisation du vaccin Pfizer-BioNTech. Je cite: étant donné les données disponibles sur la myocardite, l’avertissement actuel sur ce risque doit être modifié pour refléter l’évolution et l’issue cliniques. Plus souvent, après la seconde vaccination, et plus souvent chez des hommes plus jeunes, certains cas ont nécessité un soin médical intensif et des cas d’issue fatale ont été observés.
On a donc un produit Pfizer dont Bruxelles avoue qu’il peut tuer et qu’il a tué. Pourtant, cela fait deux ans que des bataillons d’influenceurs minimisent cet effet secondaire. Pourquoi obliger nos jeunes soldats à prendre ce risque? Je cite encore la Commission: la durée de protection conférée par le vaccin n’est pas établie et est toujours en cours d’évaluation. Pourquoi donc la Commission maintient-elle cette autorisation pour Pfizer-BioNTech?
"
Virginie JORON,2023-09-12,FR,Single market emergency instrument (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-164-0000_FR.html,"  Virginie Joron,  au nom du groupe ID. – Madame la Présidente, Monsieur le Commissaire, chers collègues, donc, au nom de la gestion de la prochaine urgence, vous voulez donner plus de pouvoir à la Commission. Nous soutenons déjà cette coopération entre gouvernements européens en temps de crise et toute proposition pour accélérer les décisions au sein du Conseil.
Toutefois, se confier à l’administration de la Commission en temps de crise n’est ni réaliste ni efficace. Lors de la pandémie, la Cour des comptes européenne a relevé un certain amateurisme: pas d’experts en logistique ni d’experts juridiques, et surtout un manque de transparence des contrats d’achats. Comment oublier le scandale des SMS entre Madame Von der Leyen et le PDG de Pfizer, qui a décroché le plus gros contrat, avec des commandes jusqu’en 2027 pour des milliards d’euros? Tant que cette affaire n’est pas élucidée, nous ne pouvons pas accepter de confier à cette administration de négocier des achats à notre place en payant plus cher, de préempter la production de nos entreprises sans même savoir à qui Bruxelles enverra les produits, ou encore d’intervenir dans la gestion de nos frontières. Comment expliquez-vous que l’Union européenne paye plus cher les doses Pfizer-BioNtech que le Brésil ou l’Afrique du Sud?
"
Virginie JORON,2023-09-11,FR,Consumer credits (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-11-INT-1-163-0000_FR.html,"  Virginie Joron,  au nom du groupe ID. – Monsieur le Président, chers collègues, Madame la Rapporteure, comment parler des crédits aux consommateurs sans parler de l’inflation des prix? Ce qui devait être une exception est devenu, au fil des ans, un mode de vie, voire un mode de survie. Un crédit pour payer ses factures, un crédit pour payer ses impôts ou tout simplement pour partir en vacances avec ses enfants. 
L’inflation, c’est un impôt pour les pauvres, une prime pour les riches, comme disait un ancien président français. Nous devons donc protéger les consommateurs à tous les niveaux, et surtout concernant leurs données de santé, qui ne doivent pas être utilisées par les établissements de crédit pour les exclure ou les surtaxer. 
Ce texte est un progrès pour certains pays d’Europe, mais nous n’allons pas assez loin en ce qui concerne les assurances-crédits. Les anciens malades devront encore attendre des années, après un cancer notamment, ou d’autres maladies, pour un accès égal aux assurances. Cette Union européenne a créé l’inflation. On se demande pour qui, pourquoi?
"
Virginie JORON,2023-07-13,FR,Public access to documents – annual report for the years 2019-2021 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-13-INT-4-028-0000_FR.html,"  Virginie Joron (ID).   – Monsieur le Président, chers collègues, hier, nous avons voté le rapport Pfizer et aujourd’hui je suis agréablement surprise. Est-ce que la nuit porte conseil? Parce qu’hier vous aviez l’occasion de sanctionner, dans le cadre du rapport Pfizer, le travail de la Commission qui était, nous l’avons bien vu, le reflet d’un travail de lobbyistes. En effet, ce rapport sur la COVID-19 ne mentionnait ni Pfizer ni l’affaire des SMS, encore moins les problèmes soulevés par la Cour des comptes sur le manque de transparence. Et vous connaissez le scandale de ces contrats juteux, ces contrats auxquels nous n’avons pas eu accès en entier pour protéger les intérêts financiers de Pfizer. Des contrats d’achats de centaines de millions de doses pour encore quatre ans.
C’est pourquoi votre rapport est primordial. Oui, nous devons avoir accès à tous ces documents. Oui, nous devons savoir quels lobbyistes rencontrent les commissaires et les députés au Parlement. Pfizer a des badges d’accès. Ces lobbyistes rencontrent donc qui ils veulent ici. Je propose que ces données d’accès des lobbyistes soient publiques. Les Français et les Européens doivent savoir qui vient faire du lobbying et aussi pourquoi. Idem quand certains commissaires vont à ces réunions cachées organisées au Bilderberg.
Ensuite, les documents de l’Agence européenne du médicament, qui analysent les effets secondaires des médicaments et vaccins, doivent être accessibles dans toutes les langues. Et surtout, cette agence doit répondre à nos demandes, par exemple en nous fournissant les rapports mensuels de suivi des effets secondaires de Pfizer, comme elle s’y était engagée lors des auditions de la commission COVI.
Enfin, concernant le secret imposé sur certains documents, nous devrions plutôt imposer à l’administration européenne la transparence totale ou, au minimum, une date d’expiration sur les documents à diffusion restreinte. Même la CIA ouvre ses archives. Donc la Commission doit arrêter avec cette opacité coupable et complice.
"
