MP,Date,Language,Title,Url,Content
Younous OMARJEE,2023-12-11,FR,One-minute speeches on matters of political importance,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-11-INT-1-183-0000_FR.html,"  Younous Omarjee (The Left).   – Madame la Présidente, partout en Europe, le fond de l’air est brun, devenu nauséabond et dangereux. Les fanatiques des groupuscules fascistes, racistes et antisémites courent les rues, et le racisme prend de nouveau ses aises dans le débat public, sous des formes plus policées mais pas moins abjectes, entre gens de bonne société qui, sans complexe, invoquent la défense des valeurs pour légitimer un racisme profond. Tout est devenu bon en Europe pour accabler de tous les maux l’Arabe, le musulman, le migrant, traités comme moins que rien, mais devenus responsables de tout.
Même déviance quand exprimer son horreur devant les souffrances sans nom du peuple palestinien suffit à faire de vous un supporter du terrorisme ou de l’islamisme. Tout appelle, avant qu’il ne soit trop tard, Madame la Présidente, au sursaut antiraciste pour triompher de ceux qui sont descendus dans les égouts de l’histoire européenne.
"
Younous OMARJEE,2023-11-08,FR,One-minute speeches on matters of political importance,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-08-INT-1-274-0000_FR.html,"  Younous Omarjee (The Left).   – Madame la Présidente, il est des moments rares dans une vie où les événements du monde nous donnent rendez-vous avec ce que nous sommes. Dans la fidélité à ces valeurs, l’Europe était attendue pour la condamnation ferme de tous les crimes de guerre. Elle était attendue, elle ne l’est plus. Rusant avec ses principes, elle s’est tue.
Par ses silences complices, par ses discours alambiqués, par son refus d’appeler à un cessez-le-feu, l’Europe a dévoilé au monde entier sa duplicité et son indifférence devant le massacre de milliers de femmes et d’enfants assassinés. Par son attitude, elle a ravivé la mémoire douloureuse des peuples du Sud, qui comprennent que l’Europe continue à se solidariser avec les aventures coloniales et meurtrières. En laissant périr Gaza, c’est la civilisation qui périt, et annonce la fin d’une illusion, Madame la Présidente, qui laissera des traces et entraînera une fracture pérenne entre le Sud et l’Occident.
"
Younous OMARJEE,2023-10-17,FR,General budget of the European Union for the financial year 2024 - all sections (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-17-INT-2-161-0000_FR.html,"  Younous Omarjee (The Left).   – Monsieur le Président, les crises sont multiples, se combinent et deviennent une donne permanente, ce qui rend particulièrement difficile l’élaboration du budget: crise géopolitique, crise climatique (avec la multiplication des catastrophes naturelles), crise énergétique, inflation, explosion de la pauvreté.
À toutes ces crises, nous devons répondre, alors que notre budget n’est pas suffisamment doté pour y faire face. Monsieur le Commissaire Hahn, il y a urgence à réviser le CFP à la hauteur de ces défis, et nous vous demandons d’entendre le Parlement européen.
Je veux aussi dire que, dans ces moments tragiques – en particulier à Gaza –, nous avons un devoir: un devoir d’aide humanitaire. Le Parlement européen a toujours été à la hauteur de ce devoir et j’espère que nous continuerons à l’être.
"
Younous OMARJEE,2023-10-17,FR,Water scarcity and structural investments in access to water in the EU (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-17-INT-2-323-0000_FR.html,"  Younous Omarjee,  au nom du groupe The Left. – Monsieur le Président, chers collègues, qui accepterait, ici, en Europe, de se voir priver d’eau deux jours sur trois et, dans les maigres heures où l’eau coule du robinet, d’utiliser une eau marron impropre à la consommation? Qui accepterait cela? Cette réalité, absolument incroyable, est celle de Mayotte, la région ultrapériphérique la plus pauvre de l’Union européenne, mais aussi un territoire d’un pays, la France, qui est la deuxième puissance économique la plus riche de toute l’Union européenne. 
Cette réalité – chers collègues – résulte certes des conditions climatiques nées d’une sécheresse historique, c’est indéniable. Mais elle dit aussi l’imprévoyance et la mauvaise gestion des fonds européens par l’État, car des investissements sur le long terme auraient dû être réalisés et terminés; ils ne le sont pas. 
À présent, pour répondre à l’urgence et à la souffrance des Mahorais, notre commission REGI a mis sur la table une proposition: l’utilisation des reliquats du FEAD pour l’acquisition massive et la distribution gratuite de bouteilles d’eau à la population. La Commission peut-elle nous dire si la France a retenu cette piste? 
Partout en Europe – et il en va de même pour les populations roms –, les citoyens européens doivent avoir un accès à l’eau potable, sans quoi ils vont continuer à être traités comme des populations marginalisées. 
"
Younous OMARJEE,2023-10-16,FR,Establishing the Strategic Technologies for Europe Platform (‘STEP’) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-16-INT-1-116-0000_FR.html,"  Younous Omarjee,  au nom du groupe The Left. – Madame la Présidente, Monsieur le Commissaire, en tant que président de la commission REGI, je ne peux laisser sans réponse votre attaque en règle contre la position de notre commission concernant la clôture de la programmation. D’abord, je veux vous dire que la commission a utilisé un cavalier budgétaire, en insérant, dans un règlement dont l’objectif est différent, une disposition qui concerne précisément des dispositions techniques concernant la cohésion – ce sont là de très mauvaises méthodes.
Mais, sur le fond, je veux vous dire que, lorsque nous proposons une année supplémentaire et 100 % de cofinancement, nous répondons à la demande de plus de treize États membres et nous répondons à la demande d’une très grande majorité de régions – la totalité des Länder allemands, et des régions françaises également. Et quel est l’objectif? L’objectif, c’est la meilleure absorption et éviter le maximum de dégagement d’office.
Vous ne pouvez pas ignorer, Monsieur le Commissaire, que la politique de cohésion a été fortement mise à contribution pendant cette programmation. Nous avons répondu à toutes les crises, nous avons été présents lors de toutes les crises (lors de la pandémie de COVID-19 – à travers les règlements CRII, CRII+, REACT—EU –, lors de la prise en charge des réfugiés ukrainiens – à travers les règlements CARE), et, forcément, cela a créé un certain nombre de difficultés. Donc, l’objectif, c’est de tout faire pour réussir la programmation.
"
Younous OMARJEE,2023-10-03,FR,Interim report on the proposal for a mid-term revision of the Multiannual Financial Framework 2021-2027 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-030-0000_FR.html,"  Younous Omarjee (The Left).   – Madame la Présidente, pour la révision de ce CFP, je fais partie de ceux qui demandaient l’augmentation du Fonds européen d’aide aux plus démunis, car la pauvreté explose. Mais avez-vous écouté hier soir à cette tribune le commissaire Schmit? Il disait: il faut dépenser immédiatement l’argent disponible. Il y a des milliards qui peuvent être utilisés pour réduire la précarité. Et le commissaire Schmit exhortait les États membres à consommer l’argent disponible du FEAD.
Je pose la question: combien reste-t-il exactement? Y a-t-il donc des millions qui dorment aujourd’hui dans les caisses, en particulier pour la France car non dépensés par l’État et qui n’ont pas été donnés aux banques alimentaires qui, vous le savez tous, sont aujourd’hui exsangues et menacées dans leur existence même? Et si tel est le cas, ce serait un véritable scandale car les programmes, normalement, doivent être clôturés au 31 décembre 2020. Donc, lorsqu’on demande des augmentations, très bien, mais encore faut-il d’abord dépenser les fonds et bien les absorber. 
"
Younous OMARJEE,2023-10-02,FR,One-minute speeches on matters of political importance,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-02-INT-1-210-0000_FR.html,"  Younous Omarjee (The Left).   – Madame la Présidente, Monsieur le Commissaire, si le monde est une île, le monde est aussi un monde d’îles. De la grande Australie aux plus petits atolls, c’est 300 000 îles et chacune d’elles est un monde de possibilités encore trop ignorées au regard des enjeux de ce siècle. Qu’il s’agisse du climat, de la biodiversité, de la maîtrise des routes maritimes et commerciales, des énergies et aussi des promesses des grandes profondeurs océaniques, chaque île porte en elle une force et des promesses qui en font d’ailleurs de nouveaux lieux d’accaparement et de nouveaux points de tension dans la géopolitique du moment.
L’Europe, forte de milliers d’îles, reste un archipel qui s’ignore et demeure dans une vision trop misérabiliste de l’insularité. C’est pourquoi il est temps que l’Union européenne se dote enfin d’une véritable stratégie et d’ambitions insulaires, et qu’elle comprenne enfin que l’heure des îles a déjà sonné. 
"
Younous OMARJEE,2023-09-11,FR,One-minute speeches on matters of political importance,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-11-INT-1-205-0000_FR.html,"  Younous Omarjee (The Left).   – Monsieur le Président, dans ce monde si civilisé, un terrien sur dix souffre de faim chronique. Dans notre Europe si riche, 90 millions de personnes sont menacées par la pauvreté. Aujourd’hui, avec l’inflation, des banques alimentaires, comme en France, sont à bout de souffle et c’est un français sur trois qui ne mange plus à sa faim.
Appelez cela comme vous voudrez: je dis que cela constitue des crimes, des crimes dont nous nous accommodons. Et soyons honnêtes, la tranquillité quotidienne de notre esprit suppose que nous chassions cette réalité insupportable de notre conscience, alors que c’est à cela que l’on devrait penser en permanence pour que toute notre force, toute notre intelligence, tous nos moyens soient tournés vers cette guerre qui doit être menée pour l’éradication de la faim et de la pauvreté.
"
Younous OMARJEE,2023-05-31,FR,One-minute speeches on matters of political importance,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-31-INT-1-299-0000_FR.html,"  Younous Omarjee (The Left).   – Monsieur le Président, c’est toujours une souffrance que de pointer son propre pays devant notre Parlement européen. Mais le devoir m’oblige à vous dire la dérive autoritaire du pouvoir en France, l’affaiblissement de la séparation des pouvoirs entre le législatif et l’exécutif. Et cet après-midi, très gravement, à l’Assemblée nationale française, la mise en cause des droits constitutionnels de l’opposition parlementaire, parmi lesquels le droit premier d’amendement.
Aujourd’hui, en France, un danger nouveau guette la démocratie. De dérive en dérive, d’abus de pouvoir en abus de pouvoir, c’est tout un système illibéral qui se met en place en France. Nous sommes des parlementaires européens et cela doit nous inquiéter car quand l’état de droit recule en France, c’est toute l’Europe, c’est le modèle européen, qui est attaqué.
"
Younous OMARJEE,2023-04-20,FR,Cohesion dimension of EU state aid and de minimis rules (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-20-INT-4-074-0000_FR.html,"  Younous Omarjee,  auteur. – Madame la Présidente, Monsieur le Commissaire, mes chers collègues, le mois dernier, la Commission européenne a modifié le règlement général d’exemption par catégorie afin de faciliter le soutien aux transitions verte, numérique et industrielle. La Commission a également mené une consultation en vue de la révision du règlement «de minimis». 
À la suite de la pandémie de COVID-19, face aux conséquences de la guerre en Ukraine et à la loi américaine sur la réduction de l’inflation, cette révision des règles, Monsieur le Commissaire, est bienvenue. Mais encore faut-il qu’elle soit tournée vers des objectifs de réindustrialisation justes. Autrement dit: il faut que le régime des aides d’État concoure effectivement à la convergence des économies et qu’il ne vienne pas aggraver les distorsions. Les règles d’État ne doivent pas s’appuyer uniquement sur les principes de la concurrence libre et non faussée, elles doivent aussi viser d’autres exigences. 
En commission REGI, nous avons rappelé à la commissaire Vestager combien nous étions attentifs à ce que l’objectif transversal de cohésion soit pleinement pris en compte dans les règles. Nous lui avons rappelé que la réindustrialisation de l’Europe, une réindustrialisation verte, doit se décliner concrètement dans tous les territoires européens, non pas avec des règles uniformes, mais en tenant compte de la très grande diversité de situations que connaissent les régions d’Europe et des inégalités territoriales persistantes, dans le respect, le plein respect, de l’article 174 du traité. 
Il nous a été opposé que l’article 174 du traité n’avait pas de contenu assez précis pour la DG COMP, et que nous demandions, je cite la commissaire Vestager, «des prises en compte particulières pour l’ensemble de l’Union européenne, Champs-Élysées mis à part» – dixit Mme la vice-présidente. 
Cette vision nous inquiète. Elle nous inquiète car l’article 174 du traité définit des zones ciblées, qui répondent à des critères précis, définis et limités. Elle nous inquiète car le respect des principes transversaux de la cohésion s’impose à toutes les politiques européennes, y compris à la politique de concurrence, dont les aides d’État et les règles de minimis. Elle nous inquiète parce que les aides d’État sont des outils pour dynamiser les tissus économiques régionaux et locaux, et qu’il est par conséquent fondamental que les différentes lignes directrices et les divers encadrements sectoriels ou horizontaux prévoient des intensités et des montants maximaux d’aides plus importants et des coûts éligibles plus élargis, en fonction du niveau de développement des territoires et des spécificités géographiques. En somme: des bonus dans toutes les règles sur les aides d’État pour les zones moins développées ou isolées, telles les régions ultrapériphériques ou les îles. 
Monsieur le Commissaire Schmit, les traités obligent la Commission européenne, et «Unie dans la diversité» ne signifie pas «unie dans l’uniformité». Les politiques européennes ne doivent pas non plus fragiliser les régions, déjà désavantagées, et creuser davantage les fractures territoriales. Des mesures particulières – en fait, du sur-mesure – doivent être prises pour certaines régions et pour certains secteurs, tels que l’économie sociale ou l’économie solidaire. 
Concernant les aides d’État et le régime d’exemption par catégorie, qu’en est-il des demandes des régions d’Europe? Et comment la Commission entend-elle veiller à ce que les principes de cohésion, inscrits aux articles 174 et 175 du traité, soient davantage pris en compte par les futures révisions des règles relatives aux aides d’État? Concernant les règles dites de minimis, le rehaussement du seuil qui a été proposé, à 275 000 euros, n’est pas suffisant. Nous attendons que les régions qui ont des désavantages structurels bénéficient de règles différenciées et que les surcoûts liés à ces désavantages soient pris en compte. Accorder des plafonds différenciés corrigera les distorsions de concurrence induites par les surcoûts structurels auxquels font face les économies de certaines régions, dont les îles. 
Autre question: la Commission intégrera-t-elle dans les futures règles de minimis des dispositions spécifiques et des plafonds différenciés pour les régions ultrapériphériques, les régions insulaires, les zones montagneuses, les régions les moins peuplées et les régions en situation de piège de développement – ainsi que l’a demandé le Parlement européen et que nous l’avons voté, ici même, en plénière? 
Pour conclure, je dirai que le principe «Ne pas nuire à la cohésion» édicté par la Commission européenne doit trouver aujourd’hui une pleine application dans le régime des aides d’État. Nous attendons des réponses à toutes ces questions. 
"
