MP,Date,Language,Title,Url,Content
Özlem DEMIREL,2023-12-13,DE,EU strategy to assist young people facing the housing and cost of living crisis (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-13-INT-3-197-0000_DE.html,"  Özlem Demirel (The Left).   – Herr Präsident, Kolleginnen und Kollegen! Weihnachten steht vor der Tür – eine schöne Zeit, auf die sich viele freuen. Aber wir können uns gar nicht vorstellen, für wie viele Familien mit Kindern und Jugendlichen diese Zeit eine Herausforderung ist. Steigende Lebenshaltungskosten, steigende Nahrungsmittelpreise, horrend hohe Mieten, die einen Großteil des Einkommens auffressen: Das bedeutet Unsicherheit für viele Bürgerinnen und Bürger in der Europäischen Union. Egal ob jung oder alt – Menschen kommen nicht mehr über die Runden. Arme werden an den Rand der Gesellschaft gedrängt. Mittelschichten erodieren. Junge Menschen haben Zukunftsängste.
Währenddessen höre ich immer wieder Reden von Frau von der Leyen im Parlament, wie toll diese Kommission die Krisen doch meistere. In der Bundesrepublik Deutschland werden gerade Diskussionen darüber geführt, wie die sozialen Leistungssysteme zusammengestrichen werden können. Nein, Kolleginnen und Kollegen! Wer die Sorgen und Nöte der Bürger ernst nimmt, der investiert in eine soziale Infrastruktur, nicht in Aufrüstung und Krieg. Er investiert in Wohnungen, bezahlbar für alle.
"
Özlem DEMIREL,2023-12-12,DE,Parliament’s call for the right to disconnect - three years on (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-229-0000_DE.html,"  Özlem Demirel (The Left).   – Herr Präsident! Das Recht, ausschalten und damit abschalten zu können, ist kein Exotenthema, sondern bitterernst. Über 300 Millionen Menschen erkranken weltweit jedes Jahr an Depressionen, an psychischen Störungen im Zusammenhang mit der Arbeit. Der Grund: Stress, Arbeitsverdichtung und das Fehlen der sogenannten Work-Life-Balance.
Laut einer Erhebung hat im Lockdown etwa ein Drittel der Beschäftigten angefangen, von zu Hause zu arbeiten. Viele führen die Telearbeit weiter. Digitalisierung und moderne Kommunikationsformen ermöglichen Telearbeit, Arbeiten von jedem Ort, und sorgen für permanente Erreichbarkeit. Das Resultat dessen ist tatsächlich, dass das Private und das Berufliche immer weiter verschwimmen. Das Resultat dessen ist, dass immer mehr Menschen gestresst sind und erkranken.
Eigentlich sind Arbeitszeiten geregelt, am besten tarifvertraglich oder sonst zur Not auch gesetzlich. Doch an der Stelle, wo eben die Arbeitgeberseite dieses Recht nicht einhält, da, Herr Kommissar, braucht es neue Regelungen und vor allen Dingen Durchsetzung der bestehenden Regelungen. Da braucht es mehr Kontrolle. Wie gesagt, es ist kein Exotenthema, sondern bittere Realität.
"
Özlem DEMIREL,2023-12-12,DE,"Need to release all hostages, to achieve a humanitarian ceasefire and prospect of the two-state solution (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-315-0000_DE.html,"  Özlem Demirel (The Left),  Frage nach dem Verfahren der „blauen Karte“. – Dankeschön, Frau Beer, für Ihre Ausführungen. Ich hätte aber eine Frage, weil Sie sagen, es ist noch nicht die Zeit für einen dauerhaften Waffenstillstand. Ich möchte Sie ernsthaft fragen: Wie viele Menschen in Gaza müssen noch getötet werden? Wie viele Kinder müssen noch weinen um ihre Eltern oder selber Tote durch die Gegend tragen, damit auch die Bundesregierung in der Bundesrepublik Deutschland endlich sagt, es braucht einen dauerhaften Waffenstillstand?
Merken Sie eigentlich nicht, wie zynisch das ist, was Sie, Ihre Partei und die Bundesregierung in der Bundesrepublik Deutschland vertreten? Merken Sie eigentlich nicht, wie die Völker weltweit denken müssen, während Sie auf der einen Seite für die Ukraine ...
(Der Präsident entzieht der Rednerin das Wort.)
"
Özlem DEMIREL,2023-10-18,DE,"The despicable terrorist attacks by Hamas against Israel, Israel’s right to defend itself in line with humanitarian and international law and the humanitarian situation in Gaza (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-063-0000_DE.html,"  Özlem Demirel (The Left),  Frage nach dem Verfahren der „blauen Karte“. – Ich habe jetzt mehrmals von Kollegen aus Ihrer Fraktion gehört, die Linke würde ja irgendwie den Terrorismus der Hamas, den islamischen Reaktionismus oder ähnliches verniedlichen, verharmlosen, relativieren. Das haben Sie behauptet.
Ist Ihnen bewusst, dass die Linke in den muslimischen Ländern die Kraft ist, die gegen den Reaktionismus auch der Islamisten kämpft? Ist Ihnen bewusst, lieber Herr Bellamy, dass nicht die Linken die Brüder und Schwestern im Geiste der reaktionären Islamisten sind, sondern dass es auch faschistische Kräfte hier in Europa sind? Ich möchte Sie bitten und aufrichtig dazu auffordern, diesen Vergleich zu unterlassen. Es sind die Linken und progressiven Kräfte in diesen Ländern, die für die Brüderlichkeit der Völker kämpfen ...
(Der Präsident entzieht der Rednerin das Wort)
"
Özlem DEMIREL,2023-10-04,DE,Need for a speedy adoption of the asylum and migration package (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-100-0000_DE.html,"  Özlem Demirel (The Left).   – Herr Präsident! Seit einer Stunde höre ich mir von da drüben an, dass Migranten Kriminelle wären. Ich möchte hier ganz deutlich sagen: Ich selbst bin mit fünf Jahren als Tochter einer politischen Flüchtlingsfamilie aus der Türkei nach Deutschland gekommen.
Ich und Menschen wie ich sind nicht kriminell, aber wie kriminell Faschisten sind und waren, das wissen wir nicht zuletzt aus der Geschichte, das wissen wir nicht zuletzt aus den Häusern, die brannten in Deutschland, weil Nazis Migranten umbringen wollten.
Herr Präsident! Ein Freund rief mich letztes Jahr an, ein Oppositioneller aus der Türkei, der Lehrer war. Er wurde von der Erdoğan-Regierung aus seinem Beruf entfernt, seine Frau auch. Er arbeitete als Tagelöhner auf Tabakplantagen. Er rief mich an, dass seine Frau inzwischen krank geworden ist und er über die Balkanroute nach Norwegen gegangen ist. Wohlgemerkt: jemand, der flieht vor jemand, mit dem die EU einen Flüchtlingsdeal macht; jemand, der flieht vor den Flüchtlingsdeals, die die EU …
(Der Präsident entzieht der Rednerin das Wort.)
"
Özlem DEMIREL,2023-09-12,DE,Ukrainian grain exports after Russia’s exit from the Black Sea Grain Initiative (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-394-0000_DE.html,"  Özlem Demirel,  im Namen der Fraktion The Left – Frau Präsidentin! Ich bin etwas verwundert über die Debatte. Es geht um das Getreideabkommen mit Russland, damit die Weltbevölkerung mit Nahrungsmitteln versorgt werden kann. Und ich verstehe nicht, worüber Sie hier diskutieren. Letzte Woche hat Herr Guterres noch einmal einen Vorstoß geleistet, um wieder ein Getreideabkommen mit Russland erzielen zu können und kommt Russland da etwas entgegen, weil es eben darum geht, das Hungern der Menschen weltweit zu verhindern. Es geht darum, dass eben die Nahrungsmittelpreise seit dem Krieg und auch mit Ihren Sanktionen zusammen über 37 % gestiegen sind.
Ich verstehe ja, dass in diesen Tagen alles der Geopolitik untergeordnet wird in diesem Hause, und ich kritisiere das massiv, weil das bedeutet, dass Verarmung, das bedeutet, dass Hunger, das bedeutet, dass das Erodieren der Mittelschichten hier gerade auch in Kauf genommen wird. Es gibt Gründe dafür, dass die Nahrungsmittelpreise und die Getreidepreise gestiegen sind. Spekulation zum einen, das zweite aber auch Ihre Sanktionen. Und hier müsste man doch etwas machen im Interesse der Bevölkerung der EU, aber auch des globalen Südens.
Kollegen, haben Sie sich mal gefragt, warum die Mehrheit der Weltbevölkerung den russischen Überfall auf die Ukraine vehement und auch in der UN-Generalversammlung verurteilt hat, aber eben Ihren Waffenlieferungen und Ihren Sanktionen nicht Folge leistet? Weil Kollateralschaden ist eben nicht, dass Menschen weltweit hungern müssen. Ein Kollateralschaden ist es auch nicht, dass die Menschen in der EU massiv verarmen wegen Ihrer brutalen Politik.
"
Özlem DEMIREL,2023-07-12,DE,"Conclusions of the European Council meeting of 29-30 June 2023, in particular the recent developments in the war against Ukraine and in Russia (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-12-INT-3-017-0000_DE.html,"  Özlem Demirel,  im Namen der Fraktion The Left. – Herr Präsident, Kolleginnen und Kollegen! Egal, ob EU-Gipfel oder NATO-Gipfel, die Devise scheint zu lauten: „Waffen, Waffen, Waffen. Lang lebe der Krieg!“ Aktuell: Die neueste Eskalation lautet: Streumunition aus den USA, Langstreckenraketen aus Frankreich, weitere Panzer aus Deutschland. Der Krieg soll seinen Lauf nehmen. Die Botschaft an die Ukraine lautet: „Kämpft, Jungs, kämpft weiter! Ihr kämpft auch für unsere Freiheit.“ Und wenn nötig, bewaffnen wir euch auch wie ein Stachelschwein, damit ihr diesen Krieg auf Jahre und Jahrzehnte führen könnt, wenn es um unsere Interessen geht.
Das Resultat in der Ukraine: Zerstörung, Tod und Leid für die Menschen. Das Resultat in Europa: Die Reichen werden reicher, Mittelschichten erodieren, und die Armen werden zahlreicher. Im Zusammenhang mit der Ankurbelung der Munitionsproduktion in Europa spricht der Kommissar sogar davon, dass wir, wenn nötig, auch eine Kriegswirtschaft führen würden. Kriegswirtschaft bedeutet, dass alle Ebenen der Produktion auf die Interessen des Krieges ausgerichtet werden. Die Botschaft an die Arbeiter hier in Europa lautet: „Wenn nötig, arbeitet ihr auch mehr für den Krieg.“ Es geht ja schließlich um geopolitische Interessen. Um Demokratie geht es nicht.
Es geht um den Zugang zu großen Ressourcen, zu großen Märkten. Und es geht um einen robusten Wettkampf großer Mächte – einen Wettkampf militärischer, ökonomischer und politischer Mächte in der Welt, um die Aufteilung der Welt. Darunter Russland, darunter China, darunter die USA und darunter die EU. Deshalb rüsten sie gerade massiv auf. Das bedeutet aber nicht nur, dass das Geld für Soziales fehlt. Das bedeutet auch, dass die Welt unsicherer wird.
Das ist der Grund, warum wir als Linke Nein sagen zu diesem Krieg und warum wir sagen: Wir wollen, dass der Frieden in der Welt verteidigt wird! Und der einzige Weg dahin ist eben nicht Aufrüstung, Aufrüstung, Aufrüstung, sondern Diplomatie und politische Lösungen für Konflikte in aller Welt. Hören Sie auf, geopolitische Interessen, die geopolitischen Interessen der EU über das Leben der Menschen in der Ukraine zu stellen. Solidarität, echte Solidarität sieht wirklich anders aus, Kolleginnen und Kollegen.
"
Özlem DEMIREL,2023-07-11,DE,Relations with the Palestinian Authority (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-11-INT-2-387-0000_DE.html,"  Özlem Demirel (The Left).   – Frau Präsidentin! Es gibt einen Zusammenhang zwischen der geplanten Justizreform der ultrarechten Regierung in Israel und den neuesten Entwicklungen in Palästina. Es ist kein Zufall, dass dieselbe Regierung, die gerade das Justizsystem aushebeln möchte, besonders aggressiv gegenüber Palästinensern vorgeht. Denn ein wesentliches Ziel dieser Reform ist auch, die rechtlichen Hürden in der Siedlungs- und Annexionspolitik zu umgehen und zu übergehen. Diese Siedlungspolitik ist eine Politik, die die Rechte der Palästinenser mit Füßen tritt, internationales Recht missachtet. Ja, und diese Politik ist eine Politik, die den Nahostkonflikt wieder weiter anheizt und zuspitzt.
Deshalb ist kein Schweigen im Moment gefragt, sondern es braucht einen Aufschrei. Wo war der Aufschrei bei den Bildern aus dem Flüchtlingslager in Dschenin? Wo war der Aufschrei, als die Journalistin Shireen Abu Akleh ermordet wurde? Kolleginnen, Doppelstandards und Werte sind nicht zusammengehörig. Wenn Sie Wertepolitik vertreten, dann brechen Sie Ihr Schweigen über das Leid der Palästinenser, kritisieren sie diese orthodoxe rechte, nationalistische Regierung …
(Die Präsidentin entzieht der Rednerin das Wort.)
"
Özlem DEMIREL,2023-06-14,DE,"Preparation of the European Council meeting of 29-30 June 2023, in particular in the light of recent steps towards concluding the Migration Pact (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-14-INT-3-054-0000_DE.html,"  Özlem Demirel (The Left).   – Herr Präsident! Die von den Innenministern gefundene Lösung für das gemeinsame Asylsystem der EU ist keine Lösung, und es verschärft im Kern das Elend. Das bereits jetzt bestehende Falsche wird verstetigt, und mit Solidarität hat dieses System nichts zu tun.
Kolleginnen, weltweit müssen immer mehr Menschen fliehen und ihre Heimat verlassen. Sie müssen es wegen bewaffneter Konflikte, die auch mit Waffen made in EU geführt werden. Sie müssen es, weil ihre Lebensgrundlagen zerstört werden, auch von großen Konzernen aus der EU, die ihre Länder ausbeuten, ihre Ressourcen plündern und ihre Märkte mit ihrem Müll vollschwemmen. Sie müssen es, weil ihre Landwirtschaft kaputt ist, weil sie ihre Fischerei nicht mehr betreiben können, weil es auch EU-Quoten gibt, die eben ihre Meere leerfischen.
Die EU ist in der Verantwortung dafür, diesen Menschen natürlich auch eine Zukunftsperspektive zu geben. Ja, Kolleginnen, Flucht ist keine Lösung, aber für viele Menschen scheint es akut die einzige Aussicht zu sein. Deshalb sagen wir ganz klar: Wir verteidigen das Recht auf Asyl, aber wir stellen auch die Ordnung, die Sie geschaffen haben, mit der globalen Ungerechtigkeit infrage. Wir stellen uns der rechten Hetze …
(Der Präsident unterbricht die Rednerin.)
"
Özlem DEMIREL,2023-06-13,DE,Humanitarian and environmental consequences of the destruction of the Nova Kakhovka dam - Sustainable reconstruction and integration of Ukraine into the Euro-Atlantic community (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-13-INT-2-024-0000_DE.html,"  Özlem Demirel (The Left).   – Herr Präsident, Kolleginnen und Kollegen! Merken Sie das eigentlich? Sie diskutieren gerade über den Wiederaufbau der Ukraine, über die euro-transatlantische Integration, während in der Ukraine ein Krieg tobt und während dieser Krieg immer brutalere Ausmaße annimmt. Und Sie diskutieren das, ohne eine einzige Initiative für ein Ende des Krieges ergriffen zu haben. Sie tun das, indem sie beispielsweise alle Friedensinitiativen − diplomatischen Friedensinitiativen −, die es gab − egal ob aus Brasilien, aus Afrika, aus China oder von Herrn Guterres − beiseitewischen. Nicht nur das: Sie befeuern diesen Krieg immer weiter mit Waffen und sagen der Bevölkerung in Europa, sie solle den Gürtel enger schnallen.
Liebe Kolleginnen und Kollegen, glauben Sie ernsthaft, Sie werden die Ukraine in die NATO aufnehmen oder in die EU aufnehmen, während dort ein ganz brutaler Krieg läuft? Sie müssen etwas unternehmen, damit dieser Krieg endet. Und ich sage Ihnen ganz deutlich: Die NATO ist nicht Teil der Lösung, sie ist Teil des Problems.
Die USA erklären bereits heute, sie werden die Ukraine nicht nur unterstützen, sondern komplett neu gestalten. Ich dachte, es ginge um Souveränität, um Selbstbestimmung! Woher nehmen Sie sich das Recht heraus, die Ukraine neu gestalten zu können? Ja, Russland führt einen brutalen und völkerrechtswidrigen Angriffskrieg, und dieser ist zu verurteilen, aber Russland macht das, was die NATO zuvor in Jugoslawien, in Afghanistan und in anderen Ländern dieser Welt gemacht hat. Mit gleichen Lügen begann Russland einen Krieg. Und deshalb sage ich ganz deutlich, liebe Kolleginnen und Kollegen: Sie wollen, dass sich die Bevölkerung in Europa an Krieg gewöhnt, deshalb gibt es Initiativen wie Air Defender. Die Bevölkerung wird sich nicht an diesen Krieg gewöhnen. Je länger er dauert, umso mehr wird die Ablehnung aus der Bevölkerung stärker …
(Der Präsident entzieht der Rednerin das Wort.)
"
